DESCRIPTION	INPUT 1	INPUT 2	INPUT 3	INPUT 4	INPUT 5	INPUT 6	INPUT 7	OUTPUT	OUTPUT 2	OUTPUT 3	MOD 1	MOD 1 MIN	MOD 1 MAX	MOD 2	MOD 2 MIN	MOD 2 MAX
Tier 6 Create Token Map Warped Worldstone	Warped Worldstone Tier 5	Pure Baleful Bastnasite x10						Warped Worldstone Tier 6	Warped Worldstone Tier 5							
Tier 6 Create Token Map Chaos Palace	Chaos Palace Tier 5	Pure Diabolic Diaboleite x10						Chaos Palace Tier 6	Chaos Palace Tier 5							
Tier 6 Create Token Map Lost Tombs	Lost Tombs Tier 5	Pure Convoking Covellite x10						Lost Tombs Tier 6	Lost Tombs Tier 5							
Tier 6 Create Token Map Hidden Durance	Hidden Durance Tier 5	Pure Mephitic Malachite x10						Hidden Durance Tier 6	Hidden Durance Tier 5							
Create: Helm Aura Stone Defiance	Any same pure uber material x5	Ring Contract x10	Perfect Amethyst (6 Pack)	Minor Healing Potion				Aura Stone Defiance								
Create: Helm Aura Stone Cleansing	Any same pure uber material x5	Ring Contract x10	Perfect Topaz (6 Pack)	Light Healing Potion				Aura Stone Cleansing								
Create: Helm Aura Stone Resist Fire	Any same pure uber material x5	Ring Contract x10	Perfect Saphire (6 Pack)	Healing Potion				Aura Stone Resist Fire								
Create: Helm Aura Stone Resist Cold	Any same pure uber material x5	Ring Contract x10	Perfect Emerald (6 Pack)	Greater Healing Potion				Aura Stone Resist Cold								
Create: Helm Aura Stone Resist Lightning	Any same pure uber material x5	Ring Contract x10	Perfect Ruby (6 Pack)	Super Healing Potion				Aura Stone Resist Lightning								
Create: Helm Aura Stone Vigour	Any same pure uber material x5	Ring Contract x10	Perfect Diamond (6 Pack)	Minor Mana Potion				Aura Stone Vigour								
Create: Helm Aura Stone Salvation	Any same pure uber material x5	Ring Contract x10	Perfect Skull (6 Pack)	Light Mana Potion				Aura Stone Salvation								
Create: Helm Aura Stone Doom	Any same pure uber material x5	Ring Contract x10	Perfect Obsidian (6 Pack)	Mana Potion				Aura Stone Doom								
Create: Helm Aura Stone Arcane Vulnerability	Any same pure uber material x5	Ring Contract x10	Perfect Obsidian (6 Pack)	Greater Mana Potion				Aura Stone Arcane Vulnerability								
Create: Helm Aura Stone Conviction	Any same pure uber material x5	Ring Contract x10	Perfect Obsidian (6 Pack)	Super Mana Potion				Aura Stone Conviction								
Upgrade Splashstone: Small > Medium	Small Splashstone	Maple Leaf x3						Medium Splashstone								
Upgrade Splashstone: Medium > Large	Medium Splashstone	Maple Leaf x9						Large Splashstone								
Upgrade Splashstone: Large > Huge	Large Splashstone	Maple Leaf x15	Null Rune x2					Huge Splashstone								
Upgrade Splashstone: Huge > Perfect	Huge Splashstone	Any same pure uber material x5						Perfect Huge Splashstone								
Create Uber Boss Token : The Undying Inferno	Pure Diabolic Diaboleite x10	Chaos Palace Tier 6						The Undying Inferno	Chaos Palace Tier 6							
Create Uber Boss Token : The Frozen Waste	Pure Mephitic Malachite x10	Hidden Durance Tier 6						The Frozen Waste	Hidden Durance Tier 6							
Create Uber Boss Token : The Static Plateau	Pure Baleful Bastnasite x10	Warped Worldstone Tier 6						The Static Plateau	Warped Worldstone Tier 6							
Create Uber Boss Token : The Decaying Mire	Pure Pained Petalite x10	Ancient Temple Tier 6						The Decaying Mire	Ancient Temple Tier 6							
Create Uber Boss Token : The Firmament Enduring	Pure Anguishing Andalusite x10	Shifting Sands Tier 6						The Firmament Enduring	Shifting Sands Tier 6							
Create Uber Boss Token : The Nexus Arcana	Pure Convoking Covellite x10	Lost Tombs Tier 6						The Nexus Arcana	Lost Tombs Tier 6							
Create Uber-Uber Boss Token: Wish of Night Eternal																
Add Wings To Endless Potential: Red	Endless Potential	Ufrag's Heart							Ufrag's Heart							
Add Wings To Endless Potential: Blue	Endless Potential	Tyoh's Heart							Tyoh's Heart							
Add Wings To Endless Potential: Yellow	Endless Potential	Emitnwod's Heart							Emitnwod's Heart							
Add Wings To Endless Potential: Green	Endless Potential	Effellarr's Heart							Effellarr's Heart							
Add Wings To Endless Potential: White	Endless Potential	Mudeyhnne's Heart							Mudeyhnne's Heart							
Add Wings To Endless Potential: Purple	Endless Potential	Lyrtsa's Heart							Lyrtsa's Heart							
Remove Wings From Endless Potential: Red	Endless Potential	Chipped Ruby														
Remove Wings From Endless Potential: Blue	Endless Potential	Chipped Saphire														
Remove Wings From Endless Potential: Yellow	Endless Potential	Chipped Topaz														
Remove Wings From Endless Potential: Green	Endless Potential	Chipped Emerald														
Remove Wings From Endless Potential: White	Endless Potential	Chipped Diamond														
Remove Wings From Endless Potential: Purple	Endless Potential	Chipped Amethyst														
