description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
rune downgrade	1			100					2	r82	tsc						r81																													tsc																																																										0
rune downgrade	1			100					2	r83	tsc						r82																													tsc																																																										0
rune transmute Ka ->Qa	1			100					1	r04							r47																																																																																							0
rune transmute Qa ->Ka	1			100					1	r47							r04																																																																																							0
rune transmute Fu ->Hu	1			100					1	r32							r48																																																																																							0
rune transmute Hu ->Fu	1			100					1	r48							r32																																																																																							0
Mi Rune (r10): BM + CG	1			100					2	eee	ggg						r10																																																																																							0
Make Scroll 01	1			100					2	01b	ddd						01a	99																																																																																						0
Make Scroll 02	1			100					2	02b	ddd						02a	99																																																																																						0
Make Scroll 03	1			100					2	03b	ddd						03a	99																																																																																						0
Make Scroll 04	1			100					2	04b	ddd						04a	99																																																																																						0
Make Scroll 05	1			100					2	05b	ddd						05a	99																																																																																						0
Make Scroll 06	1			100					2	06b	ddd						06a	99																																																																																						0
Make Scroll 07	1			100					2	07b	ddd						07a	99																																																																																						0
Make Scroll 08	1			100					2	08b	ddd						08a	99																																																																																						0
Make Scroll 09	1			100					2	09b	ddd						09a	99																																																																																						0
Make Scroll 10	1			100					2	10b	ddd						10a	99																																																																																						0
Make Scroll 11	1			100					2	11b	ddd						11a	99																																																																																						0
Make Scroll 12	1			100					2	12b	ddd						12a	99																																																																																						0
Make Scroll 13	1			100					2	13b	ddd						13a	99																																																																																						0
Make Scroll 14	1			100					2	14b	ddd						14a	99																																																																																						0
Make Scroll 15	1			100					2	15b	ddd						15a	99																																																																																						0
Make Scroll 16	1			100					2	16b	ddd						16a	99																																																																																						0
Make Scroll 17	1			100					2	17b	ddd						17a	99																																																																																						0
Make Scroll 18	1			100					2	18b	ddd						18a	99																																																																																						0
Make Scroll 19	1			100					2	19b	ddd						19a	99																																																																																						0
Make Scroll 20	1			100					2	20b	ddd						20a	99																																																																																						0
Make Scroll 21	1			100					2	21b	ddd						21a	99																																																																																						0
Make Scroll 22	1			100					2	22b	ddd						22a	99																																																																																						0
Make Scroll 23	1			100					2	23b	ddd						23a	99																																																																																						0
Make Scroll 24	1			100					2	24b	ddd						24a	99																																																																																						0
Make Scroll 25	1			100					2	25b	ddd						25a	99																																																																																						0
Make Scroll 26	1			100					2	26b	ddd						26a	99																																																																																						0
Make Scroll 27	1			100					2	27b	ddd						27a	99																																																																																						0
Make Scroll 28	1			100					2	28b	ddd						28a	99																																																																																						0
