skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Cold Arrow	11	ama	cold arrow	4										coldarrow																																																																													11					coldarrow													1	4	1	rng		miss										A1	A1	A1				1																						1	30													1		1				1	5	20	1	1																														5	length synergy	7	damage synergy	1								8	128														cold	7	7	14	28	56	56	14	7	14	28	56	56	(skill('Magic Arrow'.blvl)+skill('Freezing Arrow'.blvl)+skill('Fire Arrow'.blvl)+skill('SFrost Nova'.blvl))*(par8*(1+stat('cold_multi'.accr)))	125	25	25	25					100
Multiple Shot	12	ama	multiple shot	4	8												multipleshotarrow	multipleshotbolt																																																																									11	17					multipleshotarrow	multipleshotbolt											1	7	1	rng		miss										A1	A1	xx				1																						6	30													1		1				1	8	4	1	1										(min(24,ln12)+blvl)/2	# missiles	par3	activation frame	(min(24,ln12)+blvl)/2	triggered			3	number of arrows to fire	1	additional arrows per level	0	Acivation frame of arrows.											1								8	96	1	1	1	1	1	1	2	2	2	2	2	2	stat('dexterity'.accr)+stat('damagepercent'.accr)																							100
Dodge	13	ama	dodge																																																																											amazon_dodge_1																															1	0		h2h												SC	SC	xx																										12	25													1						0	8	0	0	1						1												1	min % dodge	25	max % dodge											0	dodge synergy	1								8																																					100
Power Strike	14	ama	power strike	6	2																																																																																																								1	4		h2h		mele										A1	A1	xx				1		1	1								1											1	30													1						1	6	8	1	1																																7	damage synergy	1	20	12						8	128														fire	12	12	24	48	96	96	24	12	24	48	96	96	(skill('Jab'.blvl)+skill('Fend'.blvl)+skill('Impale'.blvl)+skill('Lightning Strike'.blvl)+skill('Charged Strike'.blvl)+skill('Poison Javelin'.blvl)+skill('SFire Wall'.blvl))*(par8*(1+stat('fire_multi'.accr)))									100
Poison Javelin	15	ama	poison javelin	4										pyrejavelin																																																																	1												11					pyrejavelin													1	2	1	rng		thro										TH	TH	xx				1																						6	30													1						1	6	16	1	1																																6	damage synergy	1								8	128														fire	5	5	10	20	40	40	20	5	10	20	40	40	(skill('Jab'.blvl)+skill('Power Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Plague Javelin'.blvl)+skill('Lightning Fury'.blvl)+skill('SFire Wall'.blvl))*(par8*(1+stat('fire_multi'.accr)))									100
Exploding Arrow	16	ama	exploding arrow	4										explodingarrow																																																																													11					explodingarrow													1	5		rng		miss										A1	A1	A1				1																						6	30													1		1				1	7	10	1	1																																6	damage synergy	1								8	128														fire	5	5	10	20	40	40	20	5	10	20	40	40	(skill('Magic Arrow'.blvl)+skill('Immolation Arrow'.blvl)+skill('Ice Arrow'.blvl)+skill('SFire Wall'.blvl))*(par8*(1+stat('fire_multi'.accr)))									100
Slow Missiles	17	ama	slow missiles		6																34179		slowmissiles	ln34	par7	skill_handofathena	ln12																																																		amazon_handofathena											cast_slowmissiles																					1	8		none												SC	SC	SC					4												1						amazon_handofathena	cast_slowmissiles		12	25								1											1	7	10	0	1																		33	% velocity for missiles	0	% velocity per level	600	duration	75	duration per level	0	reduce enemy ar min	35	reduce enemy ar max	24	radius of effect			1								8																																					100
Avoid	18	ama	avoid																																											avoid		armorclass	(blvl<1)?(0):(edmn*(100+(skill('Dodge'.blvl)+skill('Evade'.blvl))*par8)/100)	damageresist	blvl																																																										1	0		h2h												S1	S1	xx																										6	30													1						0	8	0	0	1						1																										10	def synergy	1								8																10	10	20	30	40	40																100
Impale	19	ama	impale	6	11												viperbitebolt	viperbitebolt	viperbitebolt																																																																									19					viperbitebolt	viperbitebolt	viperbitebolt										1	5		h2h		mele										A1	A1	A1				1		1	1								1											12	25													1						1	6	16	1	1										par1+lvl/par2	# bolts							3	Bolts to send out	5	Additional bolts per N levels											6	damage synergy	1								0		128	128	256	384	512	512	256	128	256	384	512	512	((100+(skill('Power Strike'.blvl)+skill('Fend'.blvl)+skill('Lightning Strike'.blvl)+skill('Charged Strike'.blvl)+skill('Plague Javelin'.blvl))*(par8*(1+stat('phys_multi'.accr))))*(100+stat('passive_wind_mastery'.accr))/100)*64	pois	20	20	40	60	80	80	40	20	40	60	80	80	(skill('Jab'.blvl)+skill('Power Strike'.blvl)+skill('Fend'.blvl)+skill('Lightning Strike'.blvl)+skill('Charged Strike'.blvl)+skill('Plague Javelin'.blvl))*(par8*(1+stat('poison_multi'.accr)))	50								100
Lightning Bolt	20	ama	lightning bolt	4										frostjavelin										ln34*(100+skill('Plague Javelin'.blvl) * par7) / 100	ln12 + (skill('Plague Javelin'.blvl)*par6)																																																																		11					frostjavelin													1	6	1	rng		thro										TH	TH	xx																										24	20													1						1	6	24	1	1																		4	radius	0	radius per level	50	freeze frames	0	freeze frames per level			1	radius synergy	5	freeze synergy	4	damage synergy	1								8	128														cold	14	14	18	23	28	28	28	14	18	23	28	28	(skill('Jab'.blvl)+skill('Poison Javelin'.blvl)+skill('Plague Javelin'.blvl)+skill('Lightning Fury'.blvl)+skill('SFrost Nova'.blvl))*(par8*(1+stat('cold_multi'.accr)))	50								100
Ice Arrow	21	ama	ice arrow	4										lightningarrow							42371				par3																																																																		11					lightningarrow													1	6	1	rng		miss										A1	A1	A1				1																						30	20													1		1				1	7	20	1	1										(ln12+min(30,ln12))/2	num targets							9	lightning spells from target	1	extra spells/level	45	Target search radius									7	damage synergy	1								8	128														ltng	1	0	0	0	0	0	30	18	24	30	36	36	(skill('Magic Arrow'.blvl)+skill('Immolation Arrow'.blvl)+skill('Exploding Arrow'.blvl))*(par8*(1+stat('ltng_multi'.accr)))									100
Guided Arrow	22	ama	guided arrow	4	10												guidedarrow	guidedarrow	guidedarrow																																																																								11	18					guidedarrow	guidedarrow	guidedarrow										1	4	1	rng		miss										A1	A1	xx				1																						18	25													1		1				1	7	16	-1	1										ln34+(skill('Magic Arrow'.blvl)+skill('Multiple Shot'.blvl)+skill('Legendary Arrow'.blvl)+skill('Strafe'.blvl))*par8	dmg%											100	Damage percent	25	damage % per level							15	damage synergy	1								8	128																																				100
Penetrate	23	ama	penetrate																																											penetrate		item_tohit_percent	ln12																																																												1	1		rng														xx																										18	25													1						0	8	0	0	1						1												35	add % to hit with missiles base	10	add % to hit with missiles/level													1								8																																					100
Charged Strike	24	ama	charged strike	6	11												chargedstrikebolt	chargedstrikebolt	chargedstrikebolt																																																																									19					chargedstrikebolt	chargedstrikebolt	chargedstrikebolt										1	5		h2h		mele										A1	A1	xx				1		1	1								1											30	20													1						1	6	16	1	1										par1+lvl/par2	# bolts							8	Bolts to send out	3	Additional bolts per N levels											7	damage synergy	1								0	128														mag	21	21	28	35	42	42	42	21	28	35	42	42	((100+(skill('Jab'.blvl)+skill('Power Strike'.blvl)+skill('Fend'.blvl)+skill('Impale'.blvl)+skill('Lightning Strike'.blvl))*(par8*(1+stat('magic_multi'.accr))))*(100+stat('passive_mag2_mastery'.accr))/100)*256									100
Plague Javelin	25	ama	plague javelin	4										plaguejavelin																																																															amazon_cast_poison		1												11					plaguejavelin													1	3	1	rng		thro										TH	TH	xx				1																						12	25													1				1		1	7	14	1	1																														10	length synergy	5	damage synergy	1								2	96														pois	15	15	30	45	60	60	30	15	30	45	60	60	(skill('Jab'.blvl)+skill('Impale'.blvl)+skill('Poison Javelin'.blvl)+skill('Lightning Bolt'.blvl)+skill('Lightning Fury'.blvl))*(par8*(1+stat('pois_multi'.accr)))	100	5	5	5					100
Strafe	26	ama	strafe	8	12												strafearrow	strafebolt							par5																																																					amazon_dodge_1				paladin_charge									13	20					strafearrow	strafebolt											1	0	1	rng		miss										A1	A1	A1				1	1																					30	20													1	1	1				1	8	11	0											(blvl>0)?(min(par4,par3+lvl-1)):(min(par4,par3+lvl-1)/2)	#missiles	ln12+(skill('Magic Arrow'.blvl)+skill('Multiple Shot'.blvl)+skill('Guided Arrow'.blvl)+skill('Legendary Arrow'.blvl))*par8	damage %	(blvl>0)?(min(par4,2+lvl/4)):(min(par4,2+lvl/4)/2)	min # missiles			50	Damage increase	12	Damage increase per level	8	Base Shots to take (+1 per level)	8	Max shots to take	32	Radius	25	% frame rollback			6	damage synergy	1								8	160																																				100
Immolation Arrow	27	ama	immolation arrow	4										immolationarrow																																																																													11					immolationarrow													1	6	1	rng		miss										A1	A1	A1				1																						18	25													1		1				1	7	12	1	1										par1	fire disc radius	par2	damage radius					2	Fire disc radius	3	Radial Damage Radius											5	damage synergy	1								8	128														fire	8	8	16	24	32	32	16	8	16	24	32	32	(skill('Magic Arrow'.blvl)+skill('Exploding Arrow'.blvl)+skill('Ice Arrow'.blvl)+skill('SFire Wall'.blvl))*(par8*(1+stat('fire_multi'.accr)))									100
Dopplezon	28	ama	dopplezon		15																	dopplezon				fireresist	min(lvl*par7,85)	lightresist	min(lvl*par7,85)	coldresist	min(lvl*par7,85)	poisonresist	min(lvl*par7,85)																											dopplezon	dopplezon	1	NU												dopllezon_appear		amazon_valkyrie_cast																																1	4		none												SC	SC	xx					4																					18	25								1											1	6	76	-3	1										par4*lvl+skill('Valkyrie'.blvl)*par8	bonus hp%	ln12	duration	par3	%hp of caster			250	duration of decoy	125	duration per level	50	percent hitpoints of caster	10	hp % bonus per level					4	resistances	10	hp synergy	1								8																																					100
Evade	29	ama	evade		30																3		stoned	ln34+skill('Inner Sight'.blvl)*par7	ln12+blvl/3	velocitypercent	ln56+skill('Slow Missiles'.blvl)*par8																																																		amazon_eyeofzeus											warcry			18	30																	1	0		none												SC	SC	xx					4												1						amazon_eyeofzeus	warcry		1	30								1											1	8	4	0	1																		2	radius	0	radius per level	150	duration	5	duration/lvl	-50	slow	-3	slow/lvl	5	duration synergy	3	slow synergy	1								8																																					100
Fend	30	ama	fend	37	13																																																																									amazon_jab_1	1												53	21																	1	0		h2h		mele										A1	A1	xx	9		1			1	1								1											6	30													1						1	8	4	0											4	max targets	((blvl<1)?(ln34/2):(ln34))+(skill('Jab'.blvl)+skill('Power Strike'.blvl)+skill('Impale'.blvl)+skill('Lightning Strike'.blvl)+skill('Charged Strike'.blvl))*par8	damage %					1	additional target/level	60	% frame rollback	0	% damage percent	14	damage % per level							8	damage % per level	1	10	10						8	128																																				100
Freezing Arrow	31	ama	freezing arrow	4										freezingarrow																																																																													11					freezingarrow													1	7	1	rng		miss										A1	A1	A1				1																						24	20													1		1				1	7	18	1	1										par1	damage radius							35	Radius of impact											5	length synergy	5	damage synergy	1								8	128														cold	14	14	18	23	28	28	28	14	18	23	28	28	(skill('Magic Arrow'.blvl)+skill('Cold Arrow'.blvl)+skill('Fire Arrow'.blvl)+skill('SFrost Nova'.blvl))*(par8*(1+stat('cold_multi'.accr)))	50				(skill('Cold Arrow'.blvl)+skill('SFrost Nova'.blvl))*par7				100
Valkyrie	32	ama	valkyrie		16																					strength	lvl * par2	dexterity	lvl * par4	fireresist	min(lvl*2,75)	lightresist	min(lvl*2,75)	coldresist	min(lvl*2,75)	poisonresist	min(lvl*2,75)											item_armor_percent	par3*(lvl-1)	tohit	toht	damagepercent	stat('passive_summ_mastery'.accr)							valkyrie	valkyrie	1+(skill('Dopplezon'.blvl)+skill('Valkyrie'.blvl))/5	NU	Dodge	10+skill('Dodge'.blvl)+stat('item_summskills'.accr)	Avoid	10+skill('Avoid'.blvl)+stat('item_summskills'.accr)	Critical Strike	10+skill('Critical Strike'.blvl)+stat('item_summskills'.accr)								amazon_valkyrie_cast																																1	6		none												SC	SC	xx					4												1									30	20								1				20-((stat('cooldownrate'.accr)*2)/10)							1	8	25	1	1	1									par1*(lvl-1)	bonus hp%	min(ln56,99)	itemlevel					60	% hitpoints more per level	50	str per level	30	% AC increase per level	24	dex per level	18	Magic Item level	3	Magic Item level per level	4	resistances	20	hp & ac synergy	1			80*(lvl*2)+80*skill('Penetrate'.blvl)					8																																					100
Pierce	33	ama	pierce																																											pierce		skill_pierce	min(100,ln12)																																																												1	0		rng		miss												xx																										30	20													1						0	8	0	0	1	1					1												20	min % chance pierce	3	% chance pierce per level													1								8																																					100
Lightning Strike	34	ama	lightning strike	10	14												lightningstrike	lightningstrike	lightningstrike						par1																																																																			22					lightningstrike	lightningstrike	lightningstrike										1	8		h2h		mele										A1	A1	A1				1		1	1								1											24	20													1						1	8	9	0	1										par1	radius	ln34	hits					16	radius of jump to next target			2	Target hits	1	Target hits per level							5	damage synergy	1								8	128														ltng	1	0	0	0	0	0	40	32	42	53	64	64	(skill('Jab'.blvl)+skill('Power Strike'.blvl)+skill('Fend'.blvl)+skill('Impale'.blvl)+skill('Charged Strike'.blvl)+skill('Lightning Fury'.blvl))*(par8*(1+stat('ltng_multi'.accr)))									100
Lightning Fury	35	ama	lightning fury	4										lightningfury							42371				par3																																																																		11					lightningfury													1	8	1	rng		thro										TH	TH	xx																										30	20													1						1	7	20	1	1										(ln12+min(30,ln12))/2	num targets							8	lightning spells from target	1	extra spells/level	30	Target search radius									7	damage synergy	1								8	128														ltng	1	0	0	0	0	0	30	18	24	30	36	36	(skill('Jab'.blvl)+skill('Lightning Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Poison Javelin'.blvl)+skill('Plague Javelin'.blvl))*(par8*(1+stat('ltng_multi'.accr)))									100
Fire Bolt	36	sor	fire bolt		8												firebolt																																																												sorceress_cast_fire											fire_cast_1			19	17					firebolt	firebolt	bonecast										1	1		none												SC	SC	SC																	1						sorceress_cast_fire			1	30													1						1	6	10	1	1										1+blvl/15	# missiles	par3	activation frame					0	number of missiles	0	additional missiles/level	0	Acivation frame of teeth									7	damage synergy	1								7															fire	11	11	22	33	44	44	22	11	22	33	44	44	(skill('Fire Ball'.blvl)+skill('Meteor'.blvl)+skill('Nova'.blvl))*par8									100
Warmth	37	sor	warmth																																											warmth		manarecoverybonus	(blvl<1)?(0):(ln12)																																																												1	0		none												SC	SC	xx																										1	30													1						0	8	0	0	1	1					1												30	increase in mana recovery	12	additional increase/level													1								8															cold																						100
Charged Bolt	38	sor	charged bolt		17												chargedbolt	chargedbolt	chargedbolt																																																										sorceress_cast_lightning											light_cast_1				23					chargedbolt												1	1		none												SC	SC	xx																	1						sorceress_cast_lightning			1	30													1						1	5	16	4	1										min(30,ln12/2)	# bolts							6	Bolts to send out (1/2)	1	Additional bolts per level (1/2)											7	damage synergy	1								8															ltng	4	2	4	6	8	8	8	2	4	6	8	8	(skill('Lightning'.blvl)+skill('Inferno'.blvl)+skill('Hydra'.blvl)+skill('Chain Lightning'.blvl))*(par8*(1+stat('ltng_multi'.accr)))									100
Ice Bolt	39	sor	ice bolt		8												icebolt																																																												sorceress_cast_cold											ice_cast_1			19	17					icebolt	icebolt	bonecast										1	1		none												SC	SC	SC																	1						sorceress_cast_cold			1	30													1						1	6	12	1	1										1+blvl/15	# missiles	par3	activation frame					0	number of missiles	0	additional missiles/level	0	Acivation frame of teeth									7	damage synergy	1								8															cold	5	5	10	15	20	20	10	5	10	15	20	20	(skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*(par8*(1+stat('cold_multi'.accr)))	150	35	35	35	(skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par7				100
Frozen Armor	40	sor	frozen armor		18																	frozenarmor		ln34+(skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12+(skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par8	passive_ltng_pierce	blvl	item_absorblight_percent	skill('Aerial Shield'.blvl)/2							damagedinmelee	2																																						sorceress_cast_lightning				sorceress_frozenarmor							light_cast_1	frozenarmor_hit																				1	0		none												SC	SC	xx																	1						sorceress_cast_cold	ice_cast_1		1	30								1											1	7	22	1	1	1									ln56	freeze length							20	% AC base	7	% AC per level	3000	Duration	300	Duration per level	50	Freeze Frames	3	Freeze Frames per level	250	duration synergy	10	ac synergy	1								8																																					100
Inferno	41	sor	inferno	11	19												infernoflame1	infernoflame1	infernoflame1						ln12/4-2																																																																		15	24					infernoflame1	infernoflame1											1	7		rng												SQ	SQ	xx	6	10																								12	25													1	1				6	0	2	36	1	1										ln12/2	range	20	frames if monster					20	base ranged (doubled)	3	level range (doubled)	5	Min Mana to start casting									6	damage synergy	1								0		35	35	70	105	140	140	70	35	70	105	140	140	((100+(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Chain Lightning'.blvl)+skill('Hydra'.blvl))*(par8*(1+stat('phys_multi'.accr))))*(100+stat('passive_wind_mastery'.accr)+stat('passive_ltng_mastery'.accr))/100)*4	ltng	35	35	70	105	140	140	70	35	70	105	140	140	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Chain Lightning'.blvl)+skill('Hydra'.blvl))*(par8*(1+stat('ltng_multi'.accr)))									100
Static Field	42	sor	static field		20																34691				ln12																																																				sorceress_cast_lightning											light_cast_1																					1	10		none												SC	SC	SC					4												1						sorceress_cast_lightning			18	25																			1	8	9	0	1										par4	damage %	par3	min damage					5	Base radius of effect.	1	Level radius bonus.	0	Minimum Damage.	10	Percent Damage.							1	min dmg synergy	1								8															burn														1								100
Telekinesis	43	sor	telekinesis	12	21																				par1																																																				sorceress_cast_lightning				sorceress_telekinesis							light_cast_2																					1	10		none												SC	SC	xx														1			1						sorceress_telekinesis			12	25													1						1	6	28	-1	1	1																	25	On-screen cast range.	35	Chance to knockback/stun.											6	damage synergy	1				5	2	109		8															ltng	10	10	20	30	40	40	20	10	20	30	40	40	(skill('Teleport'.blvl)+skill('Static Field'.blvl)+skill('Energy Shield'.blvl))*(par8*(1+stat('ltng_multi'.accr)))									100
