"Echo Chamber"	"Perfect Cell's Memorial"
"Enemycritred"	"Enemy's Critical Chance: - 25 percent"
"enemyarred"	"Enemy's Attack Rating: "
"cooldowndesc"	"Cooldown: "
"percents"	" percent"
"Skillname504"	"Earthquake"
"Skillan504"	"Earthquake"
"Skillsd504"	"dealing 75% of weapon damage in area\n\red;(requires a Stave or Necromancer Scythe)\grey;"
"Skillld504"	"after 1 sec delay the ground bursts dealing weapon damage to nearby enemies\nsmashes a ground with staff dealing 75% of weapon damage in area\n\red;(requires a Stave or Necromancer Scythe)\grey;"
"Convphy2elemalt"	"Converts %d%% Physical Damage to Magic Damage"
"WeapDamsk"	"Weapon Damage"
"aftershockstr"	"Aftershock deals 100 percent weapon damage"
"Skillname505"	"Cold Embrace"
"Skillan505"	"Cold Embrace"
"Skillsd505"	"\purple;(Amazon Skill - Passive and Magic Skills)\grey;\nbuff yourself with cold winds\n\red;(requires a Bow or Crossbow)\grey;"
"Skillld505"	"chilling them for 2 seconds\nand fires cold arrows at nearby enemies\nbuff increasing your cold and maximum cold resistances\n\red;(requires a Bow or Crossbow)\grey;"
"Skillname506"	"Grim Triangle"
"Skillan506"	"Grim Triangle"
"Skillsd506"	"\purple;(Necromancer Skill - Poison and Bone Spells)\grey;\nputs grim triangle around you\n\red;(requires a Dagger)\grey;"
"Skillld506"	"throwing magic daggers at nearby enemies\nspell - puts a fearful triangle of wards around you\n\red;(requires a Dagger)\grey;"
"Skillname507"	"Stars of Death"
"Skillan507"	"Stars of Death"
"Skillsd507"	"\purple;(Necromancer Skill - Poison and Bone Spells)\grey;\ncreates a pull of poison stars with melee attack\n\red;(requires a Dagger/Necro Scythe)\grey;"
"Skillld507"	"dealing poison damage over time\nrelease green stars on strike \n\red;(requires a Dagger/Necro Scythe)\grey;\n"
"shootstr"	"Release "
"timesstr"	" missile"
"Skillname508"	"Sharp Array"
"Skillan508"	"Sharp Array"
"Skillsd508"	"\purple;(Amazon Skill - Bow and Crossbow Skills)\grey;\ndeadly array of bolts\n\red;(requires a Bow or Crossbow)\grey;"
"Skillld508"	"deadly bolts to all sides\ntarget an enemy to release 3 big arrays of\n\red;(requires a Bow or Crossbow)\grey;"
"Hidden Treasure 9"	"Thunder's Treasure"
"Hidden Treasure 10"	"Dildor's Treasure"
"Hidden Treasure 11"	"Voids's Treasure"
"Hidden Treasure 12"	"Read's Treasure"
"Skillname509"	"Branching Blaze"
"Skillan509"	"Branching Blaze"
"Skillsd509"	"\purple;(Sorceress Skill - Fire Spells)\grey;\nlongrange fireball that splits"
"Skillld509"	"or on impact targeting nearby monsters\nfireball that splits after certain range "
"Skillname510"	"Burning Seekers"
"Skillan510"	"Burning Seekers"
"Skillsd510"	"\purple;(Sorceress Skill - Fire Spells)\grey;\nshortrange firebolt that target nearby monster"
"Skillld510"	"firing multiple missiles\ntarget nearby monsters after a short range "
"Skillname511"	"Fury of the Heavens"
"Skillan511"	"Fury of the Heavens"
"Skillsd511"	"\purple;(Paladin - Combat SkillS)\grey;\nstatic star that deals damage to nearby monsters"
"Skillld511"	"static star that deals magic damage to nearby monsters"
"Skillname512"	"Toxic Spike"
"Skillan512"	"Toxic Spike"
"Skillsd512"	"\purple;(Amazon Skill - Javelin and Spear Skills)\grey;\njavelin that splits or explode on impact\n\red;(requires a Javelin)\grey;"
"Skillld512"	"explode into a poison nova on impact\njavelin that splits after a certain range or\n\red;(requires a Javelin)\grey;"
"increasedwithgold"	"(Based on Extra Gold From Monsters)"
"ModStrAmaHawk"	"to Raven and Fire Hawk Damage"
"ModStrAmaHawk2"	"to Raven and Fire Hawk Crushing Blow"
"coldresstr"	"Cold Resist: "
"maxcoldresstr"	"Maximum Cold Resistance: "
"durationstr"	"Duration: "
"Gheeds Lost Treasure"	"Gheeds Lost Treasure"
"toadesc"	"Right click to reset all skill and stat points"
"ModStrPalaBolt"	"Additional Holy Bolt Missiles"
"ModStrPalaTick"	"Increase Holy Aura's Tick Rate by"
"Skillname513"	"Gale Bearer"
"Skillan513"	"Gale Bearer"
"Skillsd513"	"\purple;(Paladin - Combat Skills)\grey;\nrelease lightning bolts from sky on attack\n\red;Requires Melee Weapon\grey;"
"Skillld513"	"bolts on random foes around your target\nhits an enemy to release deadly lightning\nConverts 100 percent of weapon damage to lightning\n\red;Requires Melee Weapon\grey;"
"Skillname514"	"Icy Pest"
"Skillan514"	"Icy Pest"
"Skillsd514"	"\purple;(Paladin - Combat Skills)\grey;\nHit an enemy to spread a chilling plague around\n\red;Requires Melee Weapon\grey;"
"Skillld514"	"Spreads chilling plague through enemies around you\n\red;Requires Melee Weapon\grey;"
"Skillname515"	"Shards of Hellfire"
"Skillan515"	"Shards of Hellfire"
"Skillsd515"	"\purple;(Paladin - Combat Skills)\grey;\nmelee attack releasing homing shards of fire\n\red;Requires Melee Weapon\grey;"
"Skillld515"	"shards of hellfire seeking around\nhits an enemy with burning rage releasing multiple\nConverts 100 percent of weapon damage to fire\n\red;Requires Melee Weapon\grey;"
"Skillname516"	"Rude Offense"
"Skillan516"	"Rude Offense"
"Skillsd516"	"teleport with knockback nova"
"Skillld516"	"knocking back enemies dealing magic damage \nteleport yourself releasing a nova \n"
"ModStrPalaTele"	"Rude Offense Castdelay Reduction"
"Skillname517"	"Shield Throw"
"Skillan517"	"Shield Throw"
"Skillsd517"	"throw your shield to crush them all\n\red;Requires Shield\grey;"
"Skillld517"	"100% of weapon damage\nAffected by "
"Convphy2elemalt"	"Converts %d%% Physical Damage to Magic Damage"
"t76"	"output: \red;Orb of Corruption\grey;\nCube to select output\nCube with a key to extract\nCube with a material to store"
"t62"	"output: \dgrey;Fang\grey;\nCube to select output\nCube with a key to extract\nCube with a material to store"
"StrSkillA1"	" shield(s) thrown"
"Skillname518"	"Sculptor of Suns"
"Skillan518"	"Sculptor of Suns"
"Skillsd518"	"\purple;(Paladin - Combat Skills)\grey;\nattack enemy to release balls of lightning around you\n\red;Requires Sword, Mace or Hammer\grey;"
"Skillld518"	"dealing half of your weapon damage and additional lightning damage\nmelee attack that releases a ring of electrical balls around you\nHits Up To 8 Times Per Second\n\red;Requires Sword, Mace or Hammer\grey;"
"Skillname519"	"Field of Battle"
"Skillan519"	"Field of Battle"
"Skillsd519"	"\purple;(Assassin Skill - Traps)\grey;\ntrap-spawning strike\n\red;Requires Claw\grey;"
"Skillld519"	"emitting shurikens piercing monsters\nhit an enemy to spawn a static trap\n\red;Requires Claw\grey;"
"Skillname520"	"Behemoth Skin"
"Skillan520"	"Behemoth Skin"
"Skillsd520"	"\purple;(Assassin Skill - Shadow Discipline)\grey;\nmelee buff"
"Skillld520"	"the ability to pierce enemy's skin\nphysical resistance and armor while giving you\na buff - makes your skin harder raising"
"Skillname521"	"Temple of Fury"
"Skillan521"	"Temple of Fury"
"Skillsd521"	"\purple;(Assassin Skill - Traps)\grey;\nplace a spawner which drops lightning bombs around it"
"Skillld521"	"lightning bombs at nearby enemies\nplants an essense of thunderous wrath that throws\nHits Up To 8 Times Per Second"
"Skillname522"	"Blade Fission"
"Skillan522"	"Blade Fission"
"Skillsd522"	"\purple;(Assassin Skill - Martial Arts)\grey;\nsplitting knife\n\red;Requires Throwing Knife\grey;"
"Skillld522"	"into multiple deadly knives\nthrows a knife that splits on hit\n\red;Requires Throwing Knife\grey;"
"physpiercestr"	"Pierces Enemy's Physical Resistance By "
"percentwdmstr"	"% Weapon Damage"
"totalknivecountstr"	"Knives Released: "
"StrSkill181"	"Physical Damage Taken Reduced By: "
"basedefstr"	"Base Defense "
"of Reassembling"	"of Reassembling"
"of the Underworld"	"of the Underworld"
"of Fire Bolts"	"of Burning Seekers"
"of Branching Blaze"	"of Fire Balls"
"ModStrMinion2"	"additional Fire Golem, Valkyrie and Shadow Master"
"ModStrBlood"	"Bloody"
"ModSorcBolt"	"1 Fire and Ice Bolt Missile per 5 Basepoints instead of 15"
"ModStrNecSpear"	"Additional Bone Spear Missiles"
"Dfuzzz's Fingerguard 1"	"Dfuzzz's Fingerguard"
"Dfuzzz's Fingerguard 2"	"Dfuzzz's Fingerguard"
"Killashandra Ree's Black C 1"	"Killashandra Ree's Black Crystal"
"Killashandra Ree's Black C 2"	"Killashandra Ree's Black Crystal"
"BlackMage's Knucklebone 1"	"BlackMage's Knucklebone"
"BlackMage's Knucklebone 2"	"BlackMage's Knucklebone"
"The Tipsy Donut 1"	"The Tipsy Donut"
"The Tipsy Donut 2"	"The Tipsy Donut"
"Brennus's Plunder 1"	"Brennus's Plunder"
"Brennus's Plunder 2"	"Brennus's Plunder"
"Yagul's Wrath 1"	"Yagul's Wrath"
"Yagul's Wrath 2"	"Yagul's Wrath"
"Killjoy's Attitude 1"	"Killjoy's Attitude"
"Killjoy's Attitude 2"	"Killjoy's Attitude"
"Soulstone"	"Soulstone"
"increaseswithvit"	"(Based on Vitality)"
"Dark Universe"	"Dark Universe"
"hiddendesc"	"\red;Cannot be rerolled"
"StrSkillLowerRes"	"\yellow;Pierces Enemy Resists By 1% Per Base Point\grey;"
"StrSkillPoisonMas"	"\yellow;Pierces Enemy Resists By 1% Per Base Point\grey;"
"StrSkillAmplifyDmg"	"\yellow;Pierces Enemy Resist By 1% Per Base Point\grey;"
"StrSkillInnerCorr"	"\yellow;Pierces Enemy Resists By 2% Per Base Point\grey;"
"StrSkillHorrForm"	"\yellow;Pierces Enemy Resists By 1% Per Base Point\grey;"
"StrSkillAthenaPre"	"\yellow;Pierces Enemy Resists By 1% Per Base Point\grey;"
"StrSkillConviction"	"\yellow;Pierces Enemy Resists By 1% Per Base Point\grey;"
"StrSkillPoisCreeper"	"\yellow;Pierces Enemy Resist By 1% Per Base Point\grey;"
"StrSkillFireCreeper"	"\yellow;Pierces Enemy Resist By 1% Per Base Point\grey;"
"StrSkillColdCreeper"	"\yellow;Pierces Enemy Resist By 1% Per Base Point\grey;"
"strModAllResistances2"	"All Resistances"
"0s1"	"Alder Twig"
"0s2"	"Alder Branch"
"0s3"	"Alder Bough"
"Sturdy"	"Sturdy"
"Strong"	"Strong"
"Glorious"	"Glorious"
"Blessed"	"Blessed"
"Godly"	"Godly"
"Stout"	"Stout"
"Burly"	"Burly"
"Stalwart"	"Stalwart"
"Saintly"	"Saintly"
"Holy"	"Holy"
"Armadillo's"	"Armadillo's"
"Rhino's"	"Rhino's"
"Elephant's"	"Elephant's"
"Mammoth's"	"Mammoth's"
"Fecund"	"Fecund"
"Rapturous"	"Rapturous"
"Vigorous"	"Vigorous"
"Prime"	"Prime"
"Virile"	"Virile"
"Vivid"	"Vivid"
"Gladiator's"	"Gladiator's"
"Legend's"	"Legend's"
"Brisk"	"Brisk"
"Swift"	"Swift"
"Lizard's"	"Lizard's"
"Snake's"	"Snake's"
"Serpent's"	"Serpent's"
"Wyrm's"	"Wyrm's"
"Great Wyrm's"	"Great Wyrm's"
"Sage"	"Sage"
"Omniscient"	"Omniscient"
"Pixie's"	"Pixie's"
"Seraphim's"	"Seraphim's"
"Djinn's"	"Djinn's"
"Rainbow"	"Rainbow"
"Shimmering"	"Shimmering"
"Scintillating"	"Scintillating"
"Prismatic"	"Prismatic"
"Chromatic"	"Chromatic"
"Azure"	"Azure"
"Lapis"	"Lapis"
"Cobalt"	"Cobalt"
"Sapphire"	"Sapphire"
"Lapis Lazuli"	"Lapis Lazuli"
"Crimson"	"Crimson"
"Russet"	"Russet"
"Garnet"	"Garnet"
"Ruby"	"Ruby"
"Tangerine"	"Tangerine"
"Ocher"	"Ocher"
"Coral"	"Coral"
"Amber"	"Amber"
"Ambergris"	"Ambergris"
"Beryl"	"Beryl"
"Viridian"	"Viridian"
"Jade"	"Jade"
"Emerald"	"Emerald"
"Amazonit"	"Amazonit"
"Corundum"	"Corundum"
"Diamond"	"Diamond"
"Bathyal"	"Bathyal"
"Abyssal"	"Abyssal"
"Hadal"	"Hadal"
"Unseen"	"Unseen"
"Barricaded"	"Barricaded"
"Bulwarked"	"Bulwarked"
"Bastioned"	"Bastioned"
"Buttressed"	"Buttressed"
"Jagged"	"Jagged"
"Massive"	"Massive"
"Savage"	"Savage"
"Ravening"	"Ravening"
"Ferocious"	"Ferocious"
"Deadly"	"Deadly"
"Vicious"	"Vicious"
"Brutal"	"Brutal"
"Merciless"	"Merciless"
"Warrior's"	"Warrior's"
"Soldier's"	"Soldier's"
"Knight's"	"Knight's"
"Lord's"	"Lord's"
"Glinting"	"Glinting"
"Polished"	"Polished"
"Gleaming"	"Gleaming"
"Tempered"	"Tempered"
"Relentless"	"Relentless"
"Burnished"	"Burnished"
"Honed"	"Honed"
"Annealed"	"Annealed"
"Flaring"	"Flaring"
"Unforgiving"	"Unforgiving"
"Squire's"	"Squire's"
"Reaver's"	"Reaver's"
"Conqueror's"	"Conqueror's"
"Dictator's"	"Dictator's"
"Tyrant's"	"Tyrant's"
"Combatant's"	"Combatant's"
"Journeyman's"	"Journeyman's"
"Mercenary's"	"Mercenary's"
"Emperor's"	"Emperor's"
"Imperator's"	"Imperator's"
"Screaming"	"Screaming"
"Howling"	"Howling"
"Wailing"	"Wailing"
"Shrieking"	"Shrieking"
"Unchained"	"Unchained"
"Empowering"	"Empowering"
"Overpowering"	"Overpowering"
"Wounding"	"Wounding"
"Unleashed"	"Unleashed"
"Devastating"	"Devastating"
"Ronald's"	"Ronald's"
"Kron's"	"Kron's"
"Volcazar's"	"Volcazar's"
"Zaal's"	"Zaal's"
"Frosted"	"Frosted"
"Chilled"	"Chilled"
"Glaciated"	"Glaciated"
"Entombing"	"Entombing"
"Crystallizing"	"Crystallizing"
"Heated"	"Heated"
"Smouldering"	"Smouldering"
"Flaming"	"Flaming"
"Scorching"	"Scorching"
"Cremating"	"Cremating"
"Humming"	"Humming"
"Crackling"	"Crackling"
"Arcing"	"Arcing"
"Electrocuting"	"Electrocuting"
"Vapourising"	"Vapourising"
"Septic"	"Septic"
"Foul"	"Foul"
"Corrosive"	"Corrosive"
"Toxic"	"Toxic"
"Pestilent"	"Pestilent"
"Boreal"	"Boreal"
"Hibernal"	"Hibernal"
"Fiery"	"Fiery"
"Ignited"	"Ignited"
"Arctic"	"Arctic"
"Frigid"	"Frigid"
"Frizzling"	"Frizzling"
"Zapping"	"Zapping"
"Hellish"	"Hellish"
"Infernal"	"Infernal"
"Fuming"	"Fuming"
"Blistering"	"Blistering"
"Boiling"	"Boiling"
"Firebreathing"	"Firebreathing"
"Immolating"	"Immolating"
"Numbing"	"Numbing"
"Biting"	"Biting"
"Icy"	"Icy"
"Alpine"	"Alpine"
"Burying"	"Burying"
"Glowing"	"Glowing"
"Static"	"Static"
"Bolting"	"Bolting"
"Striking"	"Striking"
"Vanishing"	"Vanishing"
"Paralyzing"	"Paralyzing"
"Crippling"	"Crippling"
"Infecting"	"Infecting"
"Coroding"	"Coroding"
"Dissolving"	"Dissolving"
"Consecrated"	"Consecrated"
"Sacred"	"Sacred"
"Hallowed"	"Hallowed"
"Divine"	"Divine"
"Celestial"	"Celestial"
"Breezy"	"Breezy"
"Stormy"	"Stormy"
"Windswept"	"Windswept"
"Blusterous"	"Blusterous"
"Weltering"	"Weltering"
"Persisting"	"Persisting"
"Perennial"	"Perennial"
"Ageless"	"Ageless"
"Undying"	"Undying"
"Imperishable"	"Imperishable"
"Blazing"	"Blazing"
"Incinerating"	"Incinerating"
"Annihilating"	"Annihilating"
"Frosty"	"Frosty"
"Frozen"	"Frozen"
"Polar"	"Polar"
"Hyperborean"	"Hyperborean"
"Sizzling"	"Sizzling"
"Parching"	"Parching"
"Ionising"	"Ionising"
"Torrid"	"Torrid"
"Virulent"	"Virulent"
"Nocuous"	"Nocuous"
"Malicious"	"Malicious"
"Contaminating"	"Contaminating"
"Stellar"	"Stellar"
"Seraphic"	"Seraphic"
"Revered"	"Revered"
"Cherubic"	"Cherubic"
"Gusting"	"Gusting"
"Hailing"	"Hailing"
"Wuthering"	"Wuthering"
"Tempestuous"	"Tempestuous"
"Iguana's"	"Iguana's"
"Zilant's"	"Zilant's"
"Wyvern's"	"Wyvern's"
"Monitor Lizard's"	"Monitor Lizard's"
"Quetzalcoatl's"	"Quetzalcoatl's"
"Ophidian's"	"Ophidian's"
"Kukulkan's"	"Kukulkan's"
"Erudite's"	"Erudite's"
"Sagacious"	"Sagacious"
"Motley"	"Motley"
"Coruscating"	"Coruscating"
"Polychromatic"	"Polychromatic"
"Variegated"	"Variegated"
"Kaleidoscopic"	"Kaleidoscopic"
"Decaying"	"Decaying"
"Putrescent"	"Putrescent"
"Putrid"	"Putrid"
"Festering"	"Festering"
"Flyblown"	"Flyblown"
"Leprechaun's"	"Leprechaun's"
"Hobgoblin's"	"Hobgoblin's"
"Archfiend's"	"Archfiend's"
"Vital"	"Vital"
"Fertile"	"Fertile"
"Lush"	"Lush"
"Lavish"	"Lavish"
"Posh"	"Posh"
"Zaffre"	"Zaffre"
"Cerulean"	"Cerulean"
"Glaucous"	"Glaucous"
"Ultramarine"	"Ultramarine"
"Periwinkle"	"Periwinkle"
"Opulent"	"Opulent"
"Sumptuous"	"Sumptuous"
"Terisiare's"	"Terisiare's"
"Kaldheim's"	"Kaldheim's"
"Keldon's"	"Keldon's"
"Balduvian's"	"Balduvian's"
"Chandra's"	"Chandra's"
"Ghitu's"	"Ghitu's"
"Shiv's"	"Shiv's"
"Bogardan's"	"Bogardan's"
"Rousing"	"Rousing"
"Roaring"	"Roaring"
"Thunderous"	"Thunderous"
"Deafening"	"Deafening"
"Bezoar"	"Bezoar"
"Hornbill"	"Hornbill"
"Celadon"	"Celadon"
"Mithridates"	"Mithridates"
"Stone"	"Stone"
"Bronze"	"Bronze"
"Iron"	"Iron"
"Ravaging"	"Ravaging"
"Seething"	"Seething"
"Searing"	"Searing"
"Wintry"	"Wintry"
"Shivering"	"Shivering"
"Gelid"	"Gelid"
"Chaining"	"Chaining"
"Forking"	"Forking"
"Homing"	"Homing"
"Toad's"	"Toad's"
"Cockatrice's"	"Cockatrice's"
"Basilisk's"	"Basilisk's"
"Devout"	"Devout"
"Pious"	"Pious"
"Virtuous"	"Virtuous"
"Windscouter's"	"Windscouter's"
"Windseeker's"	"Windseeker's"
"Windrider's"	"Windrider's"
"Gnawing"	"Gnawing"
"Munching"	"Munching"
"Devouring"	"Devouring"
"Hellhound's"	"Hellhound's"
"Cherufe's"	"Cherufe's"
"Basan's"	"Basan's"
"Ijiraq's"	"Ijiraq's"
"Qiqirn's"	"Qiqirn's"
"Amarok's"	"Amarok's"
"Thunderbird's"	"Thunderbird's"
"Raiju's"	"Raiju's"
"Raijin's"	"Raijin's"
"Lavellan's"	"Lavellan's"
"Zhenniao's"	"Zhenniao's"
"Manticore's"	"Manticore's"
"Baku's"	"Baku's"
"Satori's"	"Satori's"
"Oni's"	"Oni's"
"Onryo's"	"Onryo's"
"Machai's"	"Machai's"
"Wendigo's"	"Wendigo's"
"Frore"	"Frore"
"Rimy"	"Rimy"
"Algid"	"Algid"
"Crepitating"	"Crepitating"
"Snapping"	"Snapping"
"Glistening"	"Glistening"
"Stygian"	"Stygian"
"Chthonic"	"Chthonic"
"Tartarean"	"Tartarean"
"Gelid"	"Gelid"
"Hiemal"	"Hiemal"
"Adarkar's"	"Adarkar's"
"Rutilant"	"Rutilant"
"Incandescent"	"Incandescent"
"Hellkite's"	"Hellkite's"
"Nebulous"	"Nebulous"
"Misty"	"Misty"
"Opaque"	"Opaque"
"Defiled"	"Defiled"
"Tainted"	"Tainted"
"Ravished"	"Ravished"
"Broiling"	"Broiling"
"Lighted"	"Lighted"
"Harsh"	"Harsh"
"Siberian"	"Siberian"
"Fulgurous"	"Fulgurous"
"Fulminous"	"Fulminous"
"Mordacious"	"Mordacious"
"Mordant"	"Mordant"
"Satanic"	"Satanic"
"Fiendish"	"Fiendish"
"Sanguinary"	"Sanguinary"
"Mortal"	"Mortal"
"Trenchant"	"Trenchant"
"Scathing"	"Scathing"
"Scornful"	"Scornful"
"Cruel"	"Cruel"
"Barbaric"	"Barbaric"
"Barbarous"	"Barbarous"
"Ruthless"	"Ruthless"
"Bestial"	"Bestial"
"Unbroken"	"Unbroken"
"Iridal"	"Iridal"
"Catalysing"	"Catalysing"
"Loathsome"	"Loathsome"
"Odious"	"Odious"
"Chalybeous"	"Chalybeous"
"Gentian"	"Gentian"
"Opalescent"	"Opalescent"
"Cool"	"Cool"
"Snowy"	"Snowy"
"Hypothermic"	"Hypothermic"
"Charred"	"Charred"
"Red-Hot"	"Red-Hot"
"White-Hot"	"White-Hot"
"Pulsating"	"Pulsating"
"Oscillating"	"Oscillating"
"Reverberating"	"Reverberating"
"Malignant"	"Malignant"
"Morbid"	"Morbid"
"Diseased"	"Diseased"
"Slushy"	"Slushy"
"Brumal"	"Brumal"
"Bleak"	"Bleak"
"Combusted"	"Combusted"
"Torching"	"Torching"
"Carbonizing"	"Carbonizing"
"Flickering"	"Flickering"
"Dazzling"	"Dazzling"
"Glittering"	"Glittering"
"Pernicious"	"Pernicious"
"Pestilential"	"Pestilential"
"Malevolent"	"Malevolent"
"Atrocious"	"Atrocious"
"Abhorrent"	"Abhorrent"
"Revolting"	"Revolting"
"Heinous"	"Heinous"
"Hateful"	"Hateful"
"Horrible"	"Horrible"
"Impish"	"Impish"
