Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add	sort
Prismatic	100	1	1	95		66				22	110	res-all		30	32											shld												0	0	0	109
Chromatic	100	1	1	95		66				20	110	res-all		33	35											shld												0	0	0	110
																																									111
Azure	100	1	1	1	10	1				28	111	res-cold		1	3											tors	shld	helm										0	0	0	112
Azure	100	1	1	5	15	3				28	111	res-cold		4	7											tors	shld	helm										0	0	0	113
Azure	100	1	1	10	20	6				28	111	res-cold		8	11											tors	shld	helm										0	0	0	114
Lapis	100	1	1	15	35	12				28	111	res-cold		12	15											tors	shld	helm										0	0	0	115
Lapis	100	1	1	20	45	18				28	111	res-cold		16	19											tors	shld	helm										0	0	0	116
Lapis	100	1	1	25	60	24				28	111	res-cold		20	23											tors	shld	helm										0	0	0	117
Cobalt	100	1	1	35		33				26	111	res-cold		24	27											tors												0	0	0	118
Cobalt	100	1	1	45		42				24	111	res-cold		28	31											tors												0	0	0	119
Cobalt	100	1	1	35	80	33				28	111	res-cold		24	27											shld	helm											0	0	0	120
Cobalt	100	1	1	45	95	42				28	111	res-cold		28	31											shld	helm											0	0	0	121
Cobalt	100	1	1	60		48				26	111	res-cold		32	35											shld	helm											0	0	0	122
Sapphire	100	1	1	80		60				24	111	res-cold		36	39											shld	helm											0	0	0	123
Sapphire	100	1	1	95		66				22	111	res-cold		40	43											shld												0	0	0	124
Lapis Lazuli	100	1	1	95		66				20	111	res-cold		44	47											shld												0	0	0	125
																																									126
Crimson	100	1	1	1	10	1				28	112	res-fire		1	3											tors	shld	boot										0	0	0	127
Crimson	100	1	1	5	15	3				28	112	res-fire		4	7											tors	shld	boot										0	0	0	128
Crimson	100	1	1	10	20	6				28	112	res-fire		8	11											tors	shld	boot										0	0	0	129
Russet	100	1	1	15	35	12				28	112	res-fire		12	15											tors	shld	boot										0	0	0	130
Russet	100	1	1	20	45	18				28	112	res-fire		16	19											tors	shld	boot										0	0	0	131
Russet	100	1	1	25	60	24				28	112	res-fire		20	23											tors	shld	boot										0	0	0	132
Garnet	100	1	1	35		33				26	112	res-fire		24	27											tors												0	0	0	133
Garnet	100	1	1	45		42				24	112	res-fire		28	31											tors												0	0	0	134
Garnet	100	1	1	35	80	33				28	112	res-fire		24	27											shld	boot											0	0	0	135
Garnet	100	1	1	45	95	42				28	112	res-fire		28	31											shld	boot											0	0	0	136
Garnet	100	1	1	60		48				26	112	res-fire		32	35											shld	boot											0	0	0	137
Ruby	100	1	1	80		60				24	112	res-fire		36	39											shld	boot											0	0	0	138
Ruby	100	1	1	95		66				22	112	res-fire		40	43											shld												0	0	0	139
Proustite	100	1	1	95		66				20	112	res-fire		44	47											shld												0	0	0	140
																																									141
Tangerine	100	1	1	1	10	1				28	113	res-ltng		1	3											tors	shld	belt										0	0	0	142
Tangerine	100	1	1	5	15	3				28	113	res-ltng		4	7											tors	shld	belt										0	0	0	143
Tangerine	100	1	1	10	20	6				28	113	res-ltng		8	11											tors	shld	belt										0	0	0	144
Ocher	100	1	1	15	35	12				28	113	res-ltng		12	15											tors	shld	belt										0	0	0	145
Ocher	100	1	1	20	45	18				28	113	res-ltng		16	19											tors	shld	belt										0	0	0	146
Ocher	100	1	1	25	60	24				28	113	res-ltng		20	23											tors	shld	belt										0	0	0	147
Coral	100	1	1	35		33				26	113	res-ltng		24	27											tors												0	0	0	148
Coral	100	1	1	45		42				24	113	res-ltng		28	31											tors												0	0	0	149
Coral	100	1	1	35	80	33				28	113	res-ltng		24	27											shld	belt											0	0	0	150
Coral	100	1	1	45	95	42				28	113	res-ltng		28	31											shld	belt											0	0	0	151
Coral	100	1	1	60		48				26	113	res-ltng		32	35											shld	belt											0	0	0	152
Amber	100	1	1	80		60				24	113	res-ltng		36	39											shld	belt											0	0	0	153
Amber	100	1	1	95		66				22	113	res-ltng		40	43											shld												0	0	0	154
Ambergris	100	1	1	95		66				20	113	res-ltng		44	47											shld												0	0	0	155
																																									156
Beryl	100	1	1	1	10	1				28	114	res-pois		1	3											tors	shld	glov										0	0	0	157
Beryl	100	1	1	5	15	3				28	114	res-pois		4	7											tors	shld	glov										0	0	0	158
Beryl	100	1	1	10	20	6				28	114	res-pois		8	11											tors	shld	glov										0	0	0	159
Viridian	100	1	1	15	35	12				28	114	res-pois		12	15											tors	shld	glov										0	0	0	160
Viridian	100	1	1	20	45	18				28	114	res-pois		16	19											tors	shld	glov										0	0	0	161
Viridian	100	1	1	25	60	24				28	114	res-pois		20	23											tors	shld	glov										0	0	0	162
Jade	100	1	1	35		33				26	114	res-pois		24	27											tors												0	0	0	163
Jade	100	1	1	45		42				24	114	res-pois		28	31											tors												0	0	0	164
Jade	100	1	1	35	80	33				28	114	res-pois		24	27											shld	glov											0	0	0	165
Jade	100	1	1	45	95	42				28	114	res-pois		28	31											shld	glov											0	0	0	166
Jade	100	1	1	60		48				26	114	res-pois		32	35											shld	glov											0	0	0	167
Emerald	100	1	1	80		60				24	114	res-pois		36	39											shld	glov											0	0	0	168
Emerald	100	1	1	95		66				22	114	res-pois		40	43											shld												0	0	0	169
Amazonit	100	1	1	95		66				20	114	res-pois		44	47											shld												0	0	0	170
																																									171
Corundum	100	1	1	20	60	18				16	115	res-all-max		1	2											tors												0	0	0	172
Corundum	100	1	1	60		48				14	115	res-all-max		2	3											tors												0	0	0	173
Diamond	100	1	1	80		60				12	115	res-all-max		3	4											tors												0	0	0	174
Diamond	100	1	1	95		66				10	115	res-all-max		4	5											tors												0	0	0	175
																																									176
Maiden's	100	1	1	45	95	42	ama		33	8	116	ama		1	1											tors												0	0	0	177
Maiden's	100	1	1	80		60	ama		42	6	116	ama		1	2											tors												0	0	0	178
Valkyrie's	100	1	1	95		66	ama		60	4	116	ama		2	3											tors												0	0	0	179
Angel's	100	1	1	45	95	42	sor		33	8	116	sor		1	1											tors												0	0	0	180
Angel's	100	1	1	80		60	sor		42	6	116	sor		1	2											tors												0	0	0	181
Arch-Angel's	100	1	1	95		66	sor		60	4	116	sor		2	3											tors												0	0	0	182
Summoner's	100	1	1	45	95	42	nec		33	8	116	nec		1	1											tors												0	0	0	183
Summoner's	100	1	1	80		60	nec		42	6	116	nec		1	2											tors												0	0	0	184
Necromancer's	100	1	1	95		66	nec		60	4	116	nec		2	3											tors												0	0	0	185
Monk's	100	1	1	45	95	42	pal		33	8	116	pal		1	1											tors												0	0	0	186
Monk's	100	1	1	80		60	pal		42	6	116	pal		1	2											tors												0	0	0	187
Priest's	100	1	1	95		66	pal		60	4	116	pal		2	3											tors												0	0	0	188
Slayer's	100	1	1	45	95	42	bar		33	8	116	bar		1	1											tors												0	0	0	189
Slayer's	100	1	1	80		60	bar		42	6	116	bar		1	2											tors												0	0	0	190
Berserker's	100	1	1	95		66	bar		60	4	116	bar		2	3											tors												0	0	0	191
Shaman's	100	1	1	45	95	42	dru		33	8	116	dru		1	1											tors												0	0	0	192
Shaman's	100	1	1	80		60	dru		42	6	116	dru		1	2											tors												0	0	0	193
Hierophant's	100	1	1	95		66	dru		60	4	116	dru		2	3											tors												0	0	0	194
Magekiller's	100	1	1	45	95	42	ass		33	8	116	ass		1	1											tors												0	0	0	195
Magekiller's	100	1	1	80		60	ass		42	6	116	ass		1	2											tors												0	0	0	196
Witch-hunter's	100	1	1	95		66	ass		60	4	116	ass		2	3											tors												0	0	0	197
																																									198
Fletcher's	100	1	1	25	60	24	ama		18	16	117	skilltab	0	1	1											glov	helm											0	0	0	199
Bowyer's	100	1	1	45		42	ama		33	12	117	skilltab	0	1	2											glov	helm											0	0	0	200
Archer's	100	1	1	60		48	ama		42	8	117	skilltab	0	2	3											glov												0	0	0	201
Acrobat's	100	1	1	25	60	24	ama		18	16	117	skilltab	1	1	1											glov	helm											0	0	0	202
Gymnast's	100	1	1	45		42	ama		33	12	117	skilltab	1	1	2											glov	helm											0	0	0	203
Athlete's	100	1	1	60		48	ama		42	8	117	skilltab	1	2	3											glov												0	0	0	204
Harpoonist's	100	1	1	25	60	24	ama		18	16	117	skilltab	2	1	1											glov	helm											0	0	0	205
Spearmaiden's	100	1	1	45		42	ama		33	12	117	skilltab	2	1	2											glov	helm											0	0	0	206
Lancer's	100	1	1	60		48	ama		42	8	117	skilltab	2	2	3											glov												0	0	0	207
																																									208
Burning	100	1	1	25	60	24	sor		18	16	117	skilltab	3	1	1											glov	helm											0	0	0	209
Blazing	100	1	1	45		42	sor		33	12	117	skilltab	3	1	2											glov	helm											0	0	0	210
Volcanic	100	1	1	60		48	sor		42	8	117	skilltab	3	2	3											glov												0	0	0	211
Sparking	100	1	1	25	60	24	sor		18	16	117	skilltab	4	1	1											glov	helm											0	0	0	212
Charged	100	1	1	45		42	sor		33	12	117	skilltab	4	1	2											glov	helm											0	0	0	213
Powered	100	1	1	60		48	sor		42	8	117	skilltab	4	2	3											glov												0	0	0	214
Chilling	100	1	1	25	60	24	sor		18	16	117	skilltab	5	1	1											glov	helm											0	0	0	215
Freezing	100	1	1	45		42	sor		33	12	117	skilltab	5	1	2											glov	helm											0	0	0	216
Glacial	100	1	1	60		48	sor		42	8	117	skilltab	5	2	3											glov												0	0	0	217
																																									218
Hexing	100	1	1	25	60	24	nec		18	16	117	skilltab	6	1	1											glov	helm											0	0	0	219
Blighting	100	1	1	45		42	nec		33	12	117	skilltab	6	1	2											glov	helm											0	0	0	220
Accursed	100	1	1	60		48	nec		42	8	117	skilltab	6	2	3											glov												0	0	0	221
Fungal	100	1	1	25	60	24	nec		18	16	117	skilltab	7	1	1											glov	helm											0	0	0	222
Noxious	100	1	1	45		42	nec		33	12	117	skilltab	7	1	2											glov	helm											0	0	0	223
Venomous	100	1	1	60		48	nec		42	8	117	skilltab	7	2	3											glov												0	0	0	224
Graverobber's	100	1	1	25	60	24	nec		18	16	117	skilltab	8	1	1											glov	helm											0	0	0	225
Vodoun	100	1	1	45		42	nec		33	12	117	skilltab	8	1	2											glov	helm											0	0	0	226
Golemlord's	100	1	1	60		48	nec		42	8	117	skilltab	8	2	3											glov												0	0	0	227
																																									228
Lion Branded	100	1	1	25	60	24	pal		18	16	117	skilltab	9	1	1											glov	helm											0	0	0	229
Hawk Branded	100	1	1	45		42	pal		33	12	117	skilltab	9	1	2											glov	helm											0	0	0	230
Rose Branded	100	1	1	60		48	pal		42	8	117	skilltab	9	2	3											glov												0	0	0	231
Captain's	100	1	1	25	60	24	pal		18	16	117	skilltab	10	1	1											glov	helm											0	0	0	232
Commander's	100	1	1	45		42	pal		33	12	117	skilltab	10	1	2											glov	helm											0	0	0	233
Marshal's	100	1	1	60		48	pal		42	8	117	skilltab	10	2	3											glov												0	0	0	234
Preserver's	100	1	1	25	60	24	pal		18	16	117	skilltab	11	1	1											glov	helm											0	0	0	235
Warder's	100	1	1	45		42	pal		33	12	117	skilltab	11	1	2											glov	helm											0	0	0	236
Guardian's	100	1	1	60		48	pal		42	8	117	skilltab	11	2	3											glov												0	0	0	237
																																									238
Expert's	100	1	1	25	60	24	bar		18	16	117	skilltab	12	1	1											glov	helm											0	0	0	239
Veteran's	100	1	1	45		42	bar		33	12	117	skilltab	12	1	2											glov	helm											0	0	0	240
Master's	100	1	1	60		48	bar		42	8	117	skilltab	12	2	3											glov												0	0	0	241
Fanatic	100	1	1	25	60	24	bar		18	16	117	skilltab	13	1	1											glov	helm											0	0	0	242
Raging	100	1	1	45		42	bar		33	12	117	skilltab	13	1	2											glov	helm											0	0	0	243
Furious	100	1	1	60		48	bar		42	8	117	skilltab	13	2	3											glov												0	0	0	244
Sounding	100	1	1	25	60	24	bar		18	16	117	skilltab	14	1	1											glov	helm											0	0	0	245
Resonant	100	1	1	45		42	bar		33	12	117	skilltab	14	1	2											glov	helm											0	0	0	246
Echoing	100	1	1	60		48	bar		42	8	117	skilltab	14	2	3											glov												0	0	0	247
																																									248
Trainer's	100	1	1	25	60	24	dru		18	16	117	skilltab	15	1	1											glov	helm											0	0	0	249
Caretaker's	100	1	1	45		42	dru		33	12	117	skilltab	15	1	2											glov	helm											0	0	0	250
Keeper's	100	1	1	60		48	dru		42	8	117	skilltab	15	2	3											glov												0	0	0	251
Spiritual	100	1	1	25	60	24	dru		18	16	117	skilltab	16	1	1											glov	helm											0	0	0	252
Feral	100	1	1	45		42	dru		33	12	117	skilltab	16	1	2											glov	helm											0	0	0	253
Communal	100	1	1	60		48	dru		42	8	117	skilltab	16	2	3											glov												0	0	0	254
Nature's	100	1	1	25	60	24	dru		18	16	117	skilltab	17	1	1											glov	helm											0	0	0	255
Terra's	100	1	1	45		42	dru		33	12	117	skilltab	17	1	2											glov	helm											0	0	0	256
Gaea's	100	1	1	60		48	dru		42	8	117	skilltab	17	2	3											glov												0	0	0	257
																																									258
Entrapping	100	1	1	25	60	24	ass		18	16	117	skilltab	18	1	1											glov	helm											0	0	0	259
Trickster's	100	1	1	45		42	ass		33	12	117	skilltab	18	1	2											glov	helm											0	0	0	260
Cunning	100	1	1	60		48	ass		42	8	117	skilltab	18	2	3											glov												0	0	0	261
Mentalist's	100	1	1	25	60	24	ass		18	16	117	skilltab	19	1	1											glov	helm											0	0	0	262
Psychic	100	1	1	45		42	ass		33	12	117	skilltab	19	1	2											glov	helm											0	0	0	263
Shadow	100	1	1	60		48	ass		42	8	117	skilltab	19	2	3											glov												0	0	0	264
Shogukusha's	100	1	1	25	60	24	ass		18	16	117	skilltab	20	1	1											glov	helm											0	0	0	265
Sensei's	100	1	1	45		42	ass		33	12	117	skilltab	20	1	2											glov	helm											0	0	0	266
Kenshi's	100	1	1	60		48	ass		42	8	117	skilltab	20	2	3											glov												0	0	0	267
																																									268
Fletcher's	100	1	1	25	60	24	ama		10	16	118	skilltab	0	1	1	att%		20	25							scrn												0	0	0	269
Bowyer's	100	1	1	45		42	ama		20	12	118	skilltab	0	1	2	att%		26	30							scrn												0	0	0	270
Archer's	100	1	1	60		48	ama		30	8	118	skilltab	0	2	3	att%		31	35							scrn												0	0	0	271
Acrobat's	100	1	1	25	60	24	ama		10	16	118	skilltab	1	1	1	pierce		10	14							scrn												0	0	0	272
Gymnast's	100	1	1	45		42	ama		20	12	118	skilltab	1	1	2	pierce		15	19							scrn												0	0	0	273
Athlete's	100	1	1	60		48	ama		30	8	118	skilltab	1	2	3	pierce		20	24							scrn												0	0	0	274
Harpoonist's	100	1	1	25	60	24	ama		10	16	118	skilltab	2	1	1	swing1		4	6							scrn												0	0	0	275
Spearmaiden's	100	1	1	45		42	ama		20	12	118	skilltab	2	1	2	swing1		7	9							scrn												0	0	0	276
Lancer's	100	1	1	60		48	ama		30	8	118	skilltab	2	2	3	swing2		10	12							scrn												0	0	0	277
Styganor 's	100	1	1	80		60	ama		33	6	118	ama		1	1	pierce-fire		1	2							scrn												0	0	0	278
Styganor 's	100	1	1	80		60	ama		42	6	118	ama		1	1	pierce-cold		1	2							scrn												0	0	0	279
Styganor 's	100	1	1	80		60	ama		42	6	118	ama		1	1	pierce-ltng		1	2							scrn												0	0	0	280
Styganor 's	100	1	1	80		60	ama		42	6	118	ama		1	1	pierce-pois		1	2							scrn												0	0	0	281
																																									282
Burning	100	1	1	25	60	24	sor		18	16	118	skilltab	3	1	1	extra-fire		1	3							robe												0	0	0	283
Blazing	100	1	1	45		42	sor		33	12	118	skilltab	3	1	2	extra-fire		3	6							robe												0	0	0	284
Volcanic	100	1	1	60		48	sor		42	8	118	skilltab	3	2	3	extra-fire		6	9							robe												0	0	0	285
Sparking	100	1	1	25	60	24	sor		18	16	118	skilltab	4	1	1	extra-ltng		1	3							robe												0	0	0	286
Charged	100	1	1	45		42	sor		33	12	118	skilltab	4	1	2	extra-ltng		3	6							robe												0	0	0	287
Powered	100	1	1	60		48	sor		42	8	118	skilltab	4	2	3	extra-ltng		6	9							robe												0	0	0	288
Chilling	100	1	1	25	60	24	sor		18	16	118	skilltab	5	1	1	extra-cold		1	3							robe												0	0	0	289
Freezing	100	1	1	45		42	sor		33	12	118	skilltab	5	1	2	extra-cold		3	6							robe												0	0	0	290
Glacial	100	1	1	60		48	sor		42	8	118	skilltab	5	2	3	extra-cold		6	9							robe												0	0	0	291
Elementalist's	100	1	1	90		67	sor		45	2	118	sor		1	2	skilltab	3	1	2							robe												0	0	0	292
Elementalist's	100	1	1	90		67	sor		45	2	118	sor		1	2	skilltab	4	1	2							robe												0	0	0	293
Elementalist's	100	1	1	90		67	sor		45	2	118	sor		1	2	skilltab	5	1	2							robe												0	0	0	294
																																									295
Entrapping	100	1	1	25	60	24	ass		18	16	118	skilltab	18	1	1	crush		2	3							clok												0	0	0	296
Trickster's	100	1	1	45		42	ass		33	12	118	skilltab	18	1	2	crush		3	4							clok												0	0	0	297
Cunning	100	1	1	60		48	ass		42	8	118	skilltab	18	2	3	crush		4	5							clok												0	0	0	298
Mentalist's	100	1	1	25	60	24	ass		18	16	118	skilltab	19	1	1	move2		3	6							clok												0	0	0	299
Psychic	100	1	1	45		42	ass		33	12	118	skilltab	19	1	2	move2		7	10							clok												0	0	0	300
Shadow	100	1	1	60		48	ass		42	8	118	skilltab	19	2	3	move2		11	14							clok												0	0	0	301
Shogukusha's	100	1	1	25	60	24	ass		18	16	118	skilltab	20	1	1	extra-all		1	2							clok												0	0	0	302
Sensei's	100	1	1	45		42	ass		33	12	118	skilltab	20	1	2	extra-all		2	3							clok												0	0	0	303
Kenshi's	100	1	1	60		48	ass		42	8	118	skilltab	20	2	3	extra-all		3	4							clok												0	0	0	304
Saboteur's	100	1	1	95		66	ass		45	2	118	ass		1	2	skilltab	18	1	2							clok												0	0	0	305
Saboteur's	100	1	1	95		66	ass		45	2	118	ass		1	2	skilltab	19	1	2							clok												0	0	0	306
Saboteur's	100	1	1	95		66	ass		45	2	118	ass		1	2	skilltab	20	1	2							clok												0	0	0	307
																																									308
Bathyal	100	1	1	5	15	3				28	119	res-mag		2	5											lmnb												0	0	0	309
Bathyal	100	1	1	15	35	12				28	119	res-mag		3	6											lmnb												0	0	0	310
Abyssal	100	1	1	25	60	24				26	119	res-mag		4	7											lmnb												0	0	0	311
Abyssal	100	1	1	45	95	42				24	119	res-mag		5	8											lmnb												0	0	0	312
Hadal	100	1	1	80		60				22	119	res-mag		6	9											lmnb												0	0	0	313
Hadal	100	1	1	95		66				20	119	res-mag		7	10											lmnb												0	0	0	314
Unseen	100	1	1	95		66				2	119	abs-mag		5	6	abs-mag%	3	4								lmnb												0	0	0	315
																																									316
Barricaded	100	1	1	5	15	3				28	120	red-dmg		3	6											bshd												0	0	0	317
Barricaded	100	1	1	15	35	12				28	120	red-dmg		7	10											bshd												0	0	0	318
Bulwarked	100	1	1	25	60	24				26	120	red-dmg		11	14											bshd												0	0	0	319
Bulwarked	100	1	1	45	95	42				24	120	red-dmg		15	18											bshd												0	0	0	320
Bastioned	100	1	1	80		60				22	120	red-dmg		19	21											bshd												0	0	0	321
Bastioned	100	1	1	95		66				20	120	red-dmg		22	25											bshd												0	0	0	322
Buttressed	100	1	1	95		66				1	120	oskill	Defiance	1	4											bshd												0	0	0	323
																																									324
