Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add	sort
of Sorcery	100	1	1	35		33				24	3	enr		20	22											glov	belt	boot	shld							0	0	0	37
of Sorcery	100	1	1	45		42				24	3	enr		23	25											glov	belt	boot	shld							0	0	0	38
of Sorcery	100	1	1	35	80	33				24	3	enr		20	22											tors	helm									0	0	0	39
of Sorcery	100	1	1	45	95	42				24	3	enr		23	25											tors	helm									0	0	0	40
of Sorcery	100	1	1	60		48				22	3	enr		26	30											tors	helm									0	0	0	41
of Wizardry	100	1	1	80		60				20	3	enr		31	35											tors	helm									0	0	0	42
of Wizardry	100	1	1	95		66				18	3	enr		36	40											tors										0	0	0	43
of Enlightenment	100	1	1	95		66				16	3	enr		41	45											tors										0	0	0	44
																																							45
of the Jackal	100	1	1	1	10	1				18	4	vit		4	8											armo										0	0	0	46
of the Jackal	100	1	1	5	15	3				18	4	vit		7	9											armo										0	0	0	47
of the Jackal	100	1	1	10	20	6				18	4	vit		10	12											armo										0	0	0	48
of the Wolf	100	1	1	15	35	12				18	4	vit		13	15											armo										0	0	0	49
of the Wolf	100	1	1	20	45	18				18	4	vit		16	18											armo										0	0	0	50
of the Wolf	100	1	1	25	60	24				18	4	vit		19	21											armo										0	0	0	51
of the Tiger	100	1	1	35		33				18	4	vit		22	24											helm	belt	glov	shld							0	0	0	52
of the Tiger	100	1	1	45		42				18	4	vit		25	27											helm	belt	glov	shld							0	0	0	53
of the Tiger	100	1	1	35	80	33				18	4	vit		22	24											tors	boot									0	0	0	54
of the Tiger	100	1	1	45	95	42				18	4	vit		25	27											tors	boot									0	0	0	55
of the Tiger	100	1	1	60		48				16	4	vit		30	34											tors	boot									0	0	0	56
of the Colossus	100	1	1	80		60				14	4	vit		35	39											tors	boot									0	0	0	57
of the Colossus	100	1	1	95		66				12	4	vit		40	44											tors										0	0	0	58
of the Whale	100	1	1	95		66				10	4	vit		45	49											tors										0	0	0	59
																																							60
of the Bear	100	1	1	5	15	3				9	5	str%		1	2											tors	belt									0	0	0	61
of the Bear	100	1	1	15	35	12				9	5	str%		2	4											tors	belt									0	0	0	62
of the Bear	100	1	1	25	60	24				8	5	str%		5	7											tors	belt									0	0	0	63
of the Gorilla	100	1	1	45	95	42				7	5	str%		8	10											tors	belt									0	0	0	64
of the Gorilla	100	1	1	80		60				6	5	str%		11	13											tors	belt									0	0	0	65
of the Gorilla	100	1	1	95		66				5	5	str%		14	16											tors										0	0	0	66
																																							67
of the Jaguar	100	1	1	5	15	3				9	6	dex%		1	2											tors	glov									0	0	0	68
of the Jaguar	100	1	1	15	35	12				9	6	dex%		2	4											tors	glov									0	0	0	69
of the Jaguar	100	1	1	25	60	24				8	6	dex%		5	7											tors	glov									0	0	0	70
of the Panther	100	1	1	45	95	42				7	6	dex%		8	10											tors	glov									0	0	0	71
of the Panther	100	1	1	80		60				6	6	dex%		11	13											tors	glov									0	0	0	72
of the Panther	100	1	1	95		66				5	6	dex%		14	16											tors										0	0	0	73
																																							74
of the Prodigy	100	1	1	5	15	3				9	7	enr%		1	2											tors	helm									0	0	0	75
of the Prodigy	100	1	1	15	35	12				9	7	enr%		2	4											tors	helm									0	0	0	76
of the Prodigy	100	1	1	25	60	24				8	7	enr%		5	7											tors	helm									0	0	0	77
of the Genius	100	1	1	45	95	42				7	7	enr%		8	10											tors	helm									0	0	0	78
of the Genius	100	1	1	80		60				6	7	enr%		11	13											tors	helm									0	0	0	79
of the Genius	100	1	1	95		66				5	7	enr%		14	16											tors										0	0	0	80
																																							81
of the Squid	100	1	1	5	15	3				9	8	vit%		1	2											tors	boot									0	0	0	82
of the Squid	100	1	1	15	35	12				9	8	vit%		2	4											tors	boot									0	0	0	83
of the Squid	100	1	1	25	60	24				8	8	vit%		5	7											tors	boot									0	0	0	84
of the Mumakil	100	1	1	45	95	42				7	8	vit%		8	10											tors	boot									0	0	0	85
of the Mumakil	100	1	1	80		60				6	8	vit%		11	13											tors	boot									0	0	0	86
of the Mumakil	100	1	1	95		66				5	8	vit%		14	16											tors										0	0	0	87
																																							88
of Velocity	100	1	1	20	60	18				24	9	swing1		5	10											glov										0	0	0	89
of Velocity	100	1	1	60	95	48				24	9	swing2		10	15											glov										0	0	0	90
of Acceleration	100	1	1	80		60				24	9	swing2		16	20											glov										0	0	0	91
of Acceleration	100	1	1	95		66				24	9	swing2		21	25											glov										0	0	0	92
																																							93
of Blocking	100	1	1	5	15	3				28	10	block		1	3	block2		4	6							shld										0	0	0	94
of Blocking	100	1	1	15	35	12				28	10	block		4	6	block2		7	9							shld										0	0	0	95
of Blocking	100	1	1	25	60	24				26	10	block		7	9	block2		10	12							shld										0	0	0	96
of Deflecting	100	1	1	45	95	42				24	10	block		10	12	block2		13	15							shld										0	0	0	97
of Deflecting	100	1	1	80		60				22	10	block		13	15	block2		16	18							shld										0	0	0	98
of Deflecting	100	1	1	95		66				20	10	block		16	18	block2		20	22							shld										0	0	0	99
																																							100
of Balance	100	1	1	5	15	3				28	11	balance1		10	12	tinkerflag2		2	12							tors	belt									0	0	0	101
of Balance	100	1	1	15	35	12				28	11	balance1		13	15	tinkerflag2		4	18							tors	belt									0	0	0	102
of Balance	100	1	1	25	60	24				26	11	balance2		16	18	tinkerflag2		6	24							tors	belt									0	0	0	103
of Stability	100	1	1	45	95	42				24	11	balance2		19	21	tinkerflag2		8	30							tors	belt									0	0	0	104
of Stability	100	1	1	80		60				22	11	balance3		22	24	tinkerflag2		10	36							tors	belt									0	0	0	105
of Stability	100	1	1	95		66				20	11	balance3		25	27	tinkerflag2		12	42							tors	belt									0	0	0	106
																																							107
of Regeneration	100	1	1	5	15	3				28	12	regen		10	15	hp/lvl	2									helm	tors									0	0	0	108
of Regeneration	100	1	1	15	35	12				28	12	regen		16	20	hp/lvl	2									helm	tors									0	0	0	109
of Regeneration	100	1	1	25		24				26	12	regen		21	25	hp/lvl	3									tors										0	0	0	110
of Regrowth	100	1	1	45		42				24	12	regen		26	30	hp/lvl	4									tors										0	0	0	111
of Regeneration	100	1	1	25	60	24				26	12	regen		21	25	hp/lvl	3									helm	tors									0	0	0	112
of Regrowth	100	1	1	45	95	42				24	12	regen		26	30	hp/lvl	4									helm	tors									0	0	0	113
of Regrowth	100	1	1	80		60				22	12	regen		31	35	hp/lvl	5									helm										0	0	0	114
of Regrowth	100	1	1	95		66				20	12	regen		36	40	hp/lvl	6									helm										0	0	0	115
																																							116
of the Psyche	100	1	1	5	15	3				28	13	regen-mana		10	15	mana/lvl	2									helm	tors									0	0	0	117
of the Psyche	100	1	1	15	35	12				28	13	regen-mana		16	20	mana/lvl	2									helm	tors									0	0	0	118
of the Psyche	100	1	1	25		24				26	13	regen-mana		21	25	mana/lvl	3									tors										0	0	0	119
of Euphoria	100	1	1	45		42				24	13	regen-mana		26	30	mana/lvl	4									tors										0	0	0	120
of the Psyche	100	1	1	25	60	24				26	13	regen-mana		21	25	mana/lvl	3									helm	tors									0	0	0	121
of Euphoria	100	1	1	45	95	42				24	13	regen-mana		26	30	mana/lvl	4									helm	tors									0	0	0	122
of Euphoria	100	1	1	80		60				22	13	regen-mana		31	35	mana/lvl	5									helm										0	0	0	123
of Euphoria	100	1	1	95		66				20	13	regen-mana		36	40	mana/lvl	6									helm										0	0	0	124
																																							125
of Ages	100	1	1	20	60	18				2	14	indestruct				ease		5	10	red-dmg		4	8			armo										0	0	0	126
of Ages	100	1	1	60	95	48				2	14	indestruct				ease		11	15	red-dmg		9	13			armo										0	0	0	127
of Eternity	100	1	1	80		60				2	14	indestruct				ease		16	20	red-dmg		14	18			armo										0	0	0	128
of Eternity	100	1	1	95		66				2	14	indestruct				ease		21	25	red-dmg		19	23			armo										0	0	0	129
																																							130
of Aurora	100	1	1	80		60				4	15	aura	Defiance	3	6											tors	helm									0	0	0	131
of Aurora	100	1	1	95		66				2	15	aura	Defiance	7	10											tors										0	0	0	132
of Aurora	100	1	1	80		60				4	15	aura	Cleansing	1	2											tors	helm									0	0	0	133
of Aurora	100	1	1	95		66				2	15	aura	Cleansing	2	4											tors										0	0	0	134
of Aurora	100	1	1	80		60				4	15	aura	Meditation	1	2											helm										0	0	0	135
of Aurora	100	1	1	95		66				2	15	aura	Meditation	2	4											helm										0	0	0	136
of Aurora	100	1	1	80		60				4	15	aura	Prayer	1	2											helm										0	0	0	137
of Aurora	100	1	1	95		66				2	15	aura	Prayer	2	4											helm										0	0	0	138
of Aurora	100	1	1	80		60				4	15	aura	Vigor	1	4											tors	boot									0	0	0	139
of Aurora	100	1	1	95		66				2	15	aura	Vigor	4	7											tors										0	0	0	140
of Aurora	100	1	1	80		60				4	15	aura	Salvation	1	2											tors	shld									0	0	0	141
of Aurora	100	1	1	95		66				2	15	aura	Salvation	2	4											tors										0	0	0	142
of Aurora	100	1	1	80		60				4	15	aura	Thorns	6	18											tors										0	0	0	143
of Aurora	100	1	1	95		66				2	15	aura	Thorns	8	24											tors										0	0	0	144
of Aurora	100	1	1	80		60				4	15	aura	Holy Fire T	18	36											tors										0	0	0	145
of Aurora	100	1	1	95		66				2	15	aura	Holy Fire T	30	60											tors										0	0	0	146
of Aurora	100	1	1	80		60				4	15	aura	Holy Freeze T	18	36											tors										0	0	0	147
of Aurora	100	1	1	95		66				2	15	aura	Holy Freeze T	30	60											tors										0	0	0	148
of Aurora	100	1	1	80		60				4	15	aura	Holy Shock T	18	36											tors										0	0	0	149
of Aurora	100	1	1	95		66				2	15	aura	Holy Shock T	30	60											tors										0	0	0	150
																																							151
of Blitz Armor	100	1	1	5	15	3				9	16	gethit-skill	Frozen Armor	8	10											belt										0	0	0	152
of Blitz Armor	100	1	1	15	35	12				9	16	gethit-skill	Frozen Armor	8	12											belt										0	0	0	153
of Blitz Armor	100	1	1	25	60	24				8	16	gethit-skill	Frozen Armor	8	14											belt										0	0	0	154
of Blitz Armor	100	1	1	45	95	42				7	16	gethit-skill	Frozen Armor	8	16											belt										0	0	0	155
of Blitz Armor	100	1	1	80		60				6	16	gethit-skill	Frozen Armor	8	18											belt										0	0	0	156
of Blitz Armor	100	1	1	95		66				5	16	gethit-skill	Frozen Armor	8	20											belt										0	0	0	157
of Fire Armor	100	1	1	5	15	3				9	16	gethit-skill	Shiver Armor	8	10											belt										0	0	0	158
of Fire Armor	100	1	1	15	35	12				9	16	gethit-skill	Shiver Armor	8	12											belt										0	0	0	159
of Fire Armor	100	1	1	25	60	24				8	16	gethit-skill	Shiver Armor	8	14											belt										0	0	0	160
of Fire Armor	100	1	1	45	95	42				7	16	gethit-skill	Shiver Armor	8	16											belt										0	0	0	161
of Fire Armor	100	1	1	80		60				6	16	gethit-skill	Shiver Armor	8	18											belt										0	0	0	162
of Fire Armor	100	1	1	95		66				5	16	gethit-skill	Shiver Armor	8	20											belt										0	0	0	163
of Shiver Armor	100	1	1	5	15	3				9	16	gethit-skill	Chilling Armor	8	10											belt										0	0	0	164
of Shiver Armor	100	1	1	15	35	12				9	16	gethit-skill	Chilling Armor	8	12											belt										0	0	0	165
of Shiver Armor	100	1	1	25	60	24				8	16	gethit-skill	Chilling Armor	8	14											belt										0	0	0	166
of Shiver Armor	100	1	1	45	95	42				7	16	gethit-skill	Chilling Armor	8	16											belt										0	0	0	167
of Shiver Armor	100	1	1	80		60				6	16	gethit-skill	Chilling Armor	8	18											belt										0	0	0	168
of Shiver Armor	100	1	1	95		66				5	16	gethit-skill	Chilling Armor	8	20											belt										0	0	0	169
																																							170
of Ease	100	1	1	5	15	3				16	17	ease		-10	-15	red-dmg		2	4							armo										0	0	0	171
of Ease	100	1	1	15	35	12				16	17	ease		-16	-20	red-dmg		4	8							armo										0	0	0	172
of Simplicity	100	1	1	25		24				15	17	ease		-21	-25	red-dmg		6	12							glov	belt	boot	shld	helm						0	0	0	173
of Simplicity	100	1	1	45		42				14	17	ease		-26	-30	red-dmg		8	16							glov	belt	boot	shld	helm						0	0	0	174
of Simplicity	100	1	1	25	60	24				15	17	ease		-21	-25	red-dmg		6	12							tors										0	0	0	175
of Simplicity	100	1	1	45	95	42				14	17	ease		-26	-30	red-dmg		8	16							tors										0	0	0	176
of Alleviation	100	1	1	80		60				13	17	ease		-31	-35	red-dmg		10	20							tors										0	0	0	177
of Alleviation	100	1	1	95		66				12	17	ease		-36	-40	red-dmg		12	24							tors										0	0	0	178
																																							179
of Greed	100	1	1	20	60	18				13	18	gold%		10	15											armo										0	0	0	180
of Greed	100	1	1	60		48				12	18	gold%		16	20											armo										0	0	0	181
of Plunder	100	1	1	80		60				11	18	gold%		21	25											boot										0	0	0	182
of Plunder	100	1	1	95		66				10	18	gold%		26	30											boot										0	0	0	183
																																							184
of Fortune	100	1	1	20	60	18				13	18	mag%		10	15											armo										0	0	0	185
of Fortune	100	1	1	60		48				12	18	mag%		16	20											armo										0	0	0	186
of Riches	100	1	1	80		60				11	18	mag%		21	25											boot										0	0	0	187
of Riches	100	1	1	95		66				10	18	mag%		26	30											boot										0	0	0	188
																																							189
of the Whelpling	100	1	1	20	60	18				13	19	abs-fire		1	2	abs-fire%		1	2							shld										0	0	0	190
of the Whelpling	100	1	1	60	95	48				12	19	abs-fire		3	4	abs-fire%		2	3							shld										0	0	0	191
of the Kiln	100	1	1	80		60				11	19	abs-fire		4	5	abs-fire%		3	4							shld										0	0	0	192
of the Kiln	100	1	1	95		66				10	19	abs-fire		5	6	abs-fire%		4	5							shld										0	0	0	193
																																							194
of the Walrus	100	1	1	20	60	18				13	19	abs-cold		1	2	abs-cold%		1	2							shld										0	0	0	195
of the Walrus	100	1	1	60	95	48				12	19	abs-cold		3	4	abs-cold%		2	3							shld										0	0	0	196
of the Polar Bear	100	1	1	80		60				11	19	abs-cold		4	5	abs-cold%		3	4							shld										0	0	0	197
of the Polar Bear	100	1	1	95		66				10	19	abs-cold		5	6	abs-cold%		4	5							shld										0	0	0	198
																																							199
of the Tempest	100	1	1	20	60	18				13	19	abs-ltng		1	2	abs-ltng%		1	2							shld										0	0	0	200
of the Tempest	100	1	1	60	95	48				12	19	abs-ltng		3	4	abs-ltng%		2	3							shld										0	0	0	201
of the Maelstrom	100	1	1	80		60				11	19	abs-ltng		4	5	abs-ltng%		3	4							shld										0	0	0	202
of the Maelstrom	100	1	1	95		66				10	19	abs-ltng		5	6	abs-ltng%		4	5							shld										0	0	0	203
																																							204
of Flames	100	1	1	20	60	18				16	20	extra-fire		2	6											glov										0	0	0	205
of Flames	100	1	1	60	95	48				16	20	extra-fire		4	8											glov										0	0	0	206
of Immolation	100	1	1	80		60				14	20	extra-fire		6	10											glov										0	0	0	207
of Immolation	100	1	1	95		66				12	20	extra-fire		8	12											glov										0	0	0	208
																																							209
of Shock	100	1	1	20	60	18				16	20	extra-ltng		2	6											glov										0	0	0	210
of Shock	100	1	1	60	95	48				16	20	extra-ltng		4	8											glov										0	0	0	211
of Zapping	100	1	1	80		60				14	20	extra-ltng		6	10											glov										0	0	0	212
of Zapping	100	1	1	95		66				12	20	extra-ltng		8	12											glov										0	0	0	213
																																							214
of Chilling	100	1	1	20	60	18				16	20	extra-cold		2	6											glov										0	0	0	215
of Chilling	100	1	1	60	95	48				16	20	extra-cold		4	8											glov										0	0	0	216
of Freezing	100	1	1	80		60				14	20	extra-cold		6	10											glov										0	0	0	217
of Freezing	100	1	1	95		66				12	20	extra-cold		8	12											glov										0	0	0	218
																																							219
of Blight	100	1	1	20	60	18				16	20	extra-pois		2	6											glov										0	0	0	220
of Blight	100	1	1	60	95	48				16	20	extra-pois		4	8											glov										0	0	0	221
of Venom	100	1	1	80		60				14	20	extra-pois		6	10											glov										0	0	0	222
of Venom	100	1	1	95		66				12	20	extra-pois		8	12											glov										0	0	0	223
																																							224
of Banishment	100	1	1	20	60	18				16	20	extra-mag2		2	6											glov										0	0	0	225
of Banishment	100	1	1	60	95	48				16	20	extra-mag2		4	8											glov										0	0	0	226
of Exile	100	1	1	80		60				14	20	extra-mag2		6	10											glov										0	0	0	227
of Exile	100	1	1	95		66				12	20	extra-mag2		8	12											glov										0	0	0	228
																																							229
of Dazing	100	1	1	20	60	18				16	20	extra-wind		2	6											glov										0	0	0	230
of Dazing	100	1	1	60	95	48				16	20	extra-wind		4	8											glov										0	0	0	231
of Impact	100	1	1	80		60				14	20	extra-wind		6	10											glov										0	0	0	232
of Impact	100	1	1	95		66				12	20	extra-wind		8	12											glov										0	0	0	233
																																							234
of Knowledge	100	1	1	20	60	18				10	21	allskills		1	1											tors										0	0	0	235
of Knowledge	100	1	1	60	95	48				8	21	allskills		1	2											tors										0	0	0	236
of Dogma	100	1	1	80		60				6	21	allskills		2	2											tors										0	0	0	237
of Dogma	100	1	1	95		66				4	21	allskills		2	3											tors										0	0	0	238
																																							239
of Archaeology	100	1	1	5	15	3				13	18	gold%		10	15	mag%		10	15							dwav										0	0	0	240
of Archaeology	100	1	1	15	35	12				12	18	gold%		16	20	mag%		16	20							dwav										0	0	0	241
of Excavation	100	1	1	25	60	24				11	18	gold%		21	25	mag%		21	25							dwav										0	0	0	242
of Excavation	100	1	1	45		42				10	18	gold%		26	30	mag%		26	30							dwav										0	0	0	243
of Excavation	100	1	1	80		60				10	18	gold%		26	30	mag%		26	30							dwav										0	0	0	244
of Exhuming	100	1	1	95		66				3	18	oskill	Find Potion	1	4											dwav										0	0	0	245
of Exhuming	100	1	1	95		66				3	18	oskill	Find Item	1	4											dwav										0	0	0	246
																																							247
of the Oiorpata	100	1	1	95		66	ama		60	4	15	aura	Holy Fire H	12	24											scrn												0	248
of the Oiorpata	100	1	1	95		66	ama		60	4	15	aura	Holy Freeze H	12	24											scrn												0	249
of the Oiorpata	100	1	1	95		66	ama		60	4	15	aura	Holy Shock H	12	24											scrn												0	250
																																							251
of Thorns	100	1	1	5	15	3				28	22	thorns/lvl	16	0	0											spike										0	0	0	252
of Thorns	100	1	1	15	35	12				28	22	thorns/lvl	16	0	0											spike										0	0	0	253
of Spikes	100	1	1	25	60	24				26	22	thorns/lvl	32	0	0											spike										0	0	0	254
of Spikes	100	1	1	45	95	42				24	22	thorns/lvl	48	0	0											spike										0	0	0	255
of Razors	100	1	1	80		60				22	22	thorns/lvl	64	0	0											spike										0	0	0	256
of Razors	100	1	1	95		66				20	22	thorns/lvl	80	0	0											spike										0	0	0	257
of Swords	100	1	1	95		66				4	22	oskill	Thorns	1	10											spike										0	0	0	258
																																							259
of Shade Armor	100	1	1	5	15	3				9	16	gethit-skill	Shade Armor	8	10											slyv										0	0	0	260
of Shade Armor	100	1	1	15	35	12				9	16	gethit-skill	Shade Armor	8	12											slyv										0	0	0	261
of Shade Armor	100	1	1	25	60	24				8	16	gethit-skill	Shade Armor	8	14											slyv										0	0	0	262
of Shade Armor	100	1	1	45	95	42				7	16	gethit-skill	Shade Armor	8	16											slyv										0	0	0	263
of Shade Armor	100	1	1	80		60				6	16	gethit-skill	Shade Armor	8	18											slyv										0	0	0	264
of Shade Armor	100	1	1	95		66				5	16	gethit-skill	Shade Armor	8	20											slyv										0	0	0	265
of Haer Dalis	100	1	1	95		66				2	16	oskill	Shade Armor	1	4											slyv										0	0	0	266
																																							267
of the Apprentice	100	1	1	5	15	3				28	22	cast1		8	12											circ										0	0	0	268
of the Apprentice	100	1	1	15	35	12				28	22	cast1		13	17											circ										0	0	0	269
of the Mage	100	1	1	25	60	24				26	22	cast2		18	22											circ										0	0	0	270
of the Mage	100	1	1	45	95	42				24	22	cast2		23	27											circ										0	0	0	271
of the Arch Mage	100	1	1	80		60				22	22	cast3		28	32											circ										0	0	0	272
of the Arch Mage	100	1	1	95		66				20	22	cast3		33	37											circ										0	0	0	273
of the Royal Wizard	100	1	1	95		66				4	22	cast3		38	42	nofreeze		1	1							circ										0	0	0	274
																																							275
of the Clouds	100	1	1	5	15	3				9	23	all-stats		1	2											wrap										0	0	0	276
of the Clouds	100	1	1	15	35	12				9	23	all-stats		2	4											wrap										0	0	0	277
of the Sky	100	1	1	25	60	24				8	23	all-stats		5	7											wrap										0	0	0	278
of the Sky	100	1	1	45	95	42				7	23	all-stats		8	10											wrap										0	0	0	279
of the Heavens	100	1	1	80		60				6	23	all-stats		11	13											wrap										0	0	0	280
of the Heavens	100	1	1	95		66				5	23	all-stats		14	16											wrap										0	0	0	281
																																							282
of Slaying	100	1	1	5	15	3				8	20	deadly		5	7											gurd										0	0	0	283
of Slaying	100	1	1	15	35	12				8	20	deadly		7	9											gurd										0	0	0	284
of Destruction	100	1	1	25	60	24				8	20	deadly		9	11											gurd										0	0	0	285
of Destruction	100	1	1	45	95	42				7	20	deadly		11	13											gurd										0	0	0	286
of Carnage	100	1	1	80		60				6	20	deadly		13	15											gurd										0	0	0	287
of Carnage	100	1	1	95		66				5	20	deadly		15	17											gurd										0	0	0	288
of Crushing	100	1	1	95		66				4	20	deadly		9	11	crush		3	6							gurd										0	0	0	289
																																							290
of Mighty	100	1	1	1	10	1				24	50	str		4	8											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	291
of Mighty	100	1	1	5	15	3				24	50	str		7	9											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	292
of Mighty	100	1	1	10	20	6				24	50	str		10	12											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	293
of the Bull	100	1	1	15	35	12				24	50	str		13	15											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	294
of the Bull	100	1	1	20	45	18				24	50	str		16	18											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	295
of the Bull	100	1	1	25	60	24				24	50	str		19	21											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	296
of the Ogre	100	1	1	35	80	33				24	50	str		22	24											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	297
of the Ogre	100	1	1	45	95	42				24	50	str		25	27											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	298
of the Ogre	100	1	1	60	95	48				24	50	str		30	34											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	299
of the Goliath	100	1	1	80		60				22	50	str		35	39											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	300
of the Goliath	100	1	1	95		66				20	50	str		40	44											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	301
of Prometheus	100	1	1	95		66				18	50	str		45	49											2hsw	2hcw	miss								0	0	0	302
																																							303
of the Spectre	100	1	1	1	10	1				24	51	dex		4	8											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	304
of the Spectre	100	1	1	5	15	3				24	51	dex		7	9											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	305
of the Spectre	100	1	1	10	20	6				24	51	dex		10	12											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	306
of the Gale	100	1	1	15	35	12				24	51	dex		13	15											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	307
of the Gale	100	1	1	20	45	18				24	51	dex		16	18											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	308
of the Gale	100	1	1	25	60	24				24	51	dex		19	21											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	309
of the Falcon	100	1	1	35	80	33				24	51	dex		22	24											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	310
of the Falcon	100	1	1	45	95	42				24	51	dex		25	27											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	311
of the Falcon	100	1	1	60	95	48				24	51	dex		30	34											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	312
of Excellence	100	1	1	80		60				22	51	dex		35	39											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	313
of Excellence	100	1	1	95		66				20	51	dex		40	44											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	314
of Oblivion	100	1	1	95		66				18	51	dex		45	49											2hsw	2hcw	miss								0	0	0	315
																																							316
of Lucidity	100	1	1	1	10	1				24	52	enr		2	4											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	317
of Lucidity	100	1	1	5	15	3				24	52	enr		5	7											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	318
of Lucidity	100	1	1	10	20	6				24	52	enr		8	10											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	319
of Luminosity	100	1	1	15	35	12				24	52	enr		11	13											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	320
of Luminosity	100	1	1	20	45	18				24	52	enr		14	16											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	321
of Luminosity	100	1	1	25	60	24				24	52	enr		17	19											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	322
