Name	version	spawnable	rare	level	maxlevel	levelreq	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
null	100	1	1	25		24			32	901	tinkerflag2		10	30	str		15	19							tors	helm	glov	boot							0	0	0
null	100	1	1	45		33			32	901	tinkerflag2		10	30	str		22	26							tors	helm	glov	boot							0	0	0
null	100	1	1	60		42			16	901	tinkerflag2		10	30	str		29	33							tors	helm	glov	boot							0	0	0
null	100	1	1	80		60			8	901	tinkerflag2		10	30	str		36	40							tors	helm	glov	boot							0	0	0
null	100	1	1	95		66			2	901	tinkerflag2		10	30	str%		6	12							tors	helm	glov	boot							0	0	0
																																					
null	100	1	1	5	45	3			32	901	tinkerflag2		10	30	vit		1	5							tors	helm	glov	boot							0	0	0
null	100	1	1	15	60	12			32	901	tinkerflag2		10	30	vit		8	12							tors	helm	glov	boot							0	0	0
null	100	1	1	25		24			32	901	tinkerflag2		10	30	vit		15	19							tors	helm	glov	boot							0	0	0
null	100	1	1	45		33			32	901	tinkerflag2		10	30	vit		22	26							tors	helm	glov	boot							0	0	0
null	100	1	1	60		42			16	901	tinkerflag2		10	30	vit		29	33							tors	helm	glov	boot							0	0	0
null	100	1	1	80		60			8	901	tinkerflag2		10	30	vit		36	40							tors	helm	glov	boot							0	0	0
null	100	1	1	95		66			2	901	tinkerflag2		10	30	vit%		6	12							tors	helm	glov	boot							0	0	0
																																					
null	100	1	1	5	45	3			32	901	tinkerflag2		20	60											tors	belt									0	0	0
null	100	1	1	15	60	12			32	901	tinkerflag2		25	65											tors	belt									0	0	0
null	100	1	1	25		24			32	901	tinkerflag2		30	70											tors	belt									0	0	0
null	100	1	1	45		33			32	901	tinkerflag2		35	75											tors	belt									0	0	0
null	100	1	1	60		42			16	901	tinkerflag2		40	80											tors	belt									0	0	0
null	100	1	1	80		60			8	901	tinkerflag2		45	85											tors	belt									0	0	0
null	100	1	1	95		66			2	901	tinkerflag2		50	90											tors	belt									0	0	0
																																					
null	100	1	1	5	45	3			32	901	tinkerflag2		10	30	ac%/lvl	4									tors	shie									0	0	0
null	100	1	1	15	60	12			32	901	tinkerflag2		10	30	ac%/lvl	6									tors	shie									0	0	0
null	100	1	1	25		24			32	901	tinkerflag2		10	30	ac%/lvl	8									tors	shie									0	0	0
null	100	1	1	45		33			32	901	tinkerflag2		10	30	ac%/lvl	10									tors	shie									0	0	0
null	100	1	1	60		42			16	901	tinkerflag2		10	30	ac%/lvl	12									tors	shie									0	0	0
null	100	1	1	80		60			8	901	tinkerflag2		10	30	ac%/lvl	14									tors	shie									0	0	0
null	100	1	1	95		66			2	901	tinkerflag2		10	30	ac%/lvl	16									tors	shie									0	0	0
																																					
null	100	1	1	5	45	3			32	901	tinkerflag2		10	30	ac/lvl	4									tors	shie									0	0	0
null	100	1	1	15	60	12			32	901	tinkerflag2		10	30	ac/lvl	6									tors	shie									0	0	0
null	100	1	1	25		24			32	901	tinkerflag2		10	30	ac/lvl	8									tors	shie									0	0	0
null	100	1	1	45		33			32	901	tinkerflag2		10	30	ac/lvl	10									tors	shie									0	0	0
null	100	1	1	60		42			16	901	tinkerflag2		10	30	ac/lvl	12									tors	shie									0	0	0
null	100	1	1	80		60			8	901	tinkerflag2		10	30	ac/lvl	14									tors	shie									0	0	0
null	100	1	1	95		66			2	901	tinkerflag2		10	30	ac/lvl	16									tors	shie									0	0	0
																																					
null	100	1	1	5	45	3			32	901	tinkerflag2		10	30	move2		4	10							boot										0	0	0
null	100	1	1	15	60	12			32	901	tinkerflag2		10	30	move2		5	12							boot										0	0	0
null	100	1	1	25		24			32	901	tinkerflag2		10	30	move2		6	14							boot										0	0	0
null	100	1	1	45		33			32	901	tinkerflag2		10	30	move2		7	16							boot										0	0	0
null	100	1	1	60		42			16	901	tinkerflag2		10	30	move2		9	20							boot										0	0	0
null	100	1	1	80		60			8	901	tinkerflag2		10	30	move2		11	24							boot										0	0	0
null	100	1	1	95		66			2	901	tinkerflag2		10	30	move2		13	28							boot										0	0	0
																																					
null	100	1	1	5	45	3			32	901	tinkerflag2		10	30	res-fire/lvl	4			res-fire-max		0	0			helm	shie									0	0	0
null	100	1	1	15	60	12			32	901	tinkerflag2		10	30	res-fire/lvl	6			res-fire-max		0	0			helm	shie									0	0	0
null	100	1	1	25		24			32	901	tinkerflag2		10	30	res-fire/lvl	8			res-fire-max		0	-1			helm	shie									0	0	0
null	100	1	1	45		33			32	901	tinkerflag2		10	30	res-fire/lvl	10			res-fire-max		0	-1			helm	shie									0	0	0
null	100	1	1	60		42			16	901	tinkerflag2		10	30	res-fire/lvl	12			res-fire-max		-1	-2			helm	shie									0	0	0
null	100	1	1	80		60			8	901	tinkerflag2		10	30	res-fire/lvl	14			res-fire-max		-1	-2			helm	shie									0	0	0
null	100	1	1	95		66			2	901	tinkerflag2		10	30	res-fire/lvl	16			res-fire-max		-2	-3			helm	shie									0	0	0
																																					
null	100	1	1	5	45	3			32	901	tinkerflag2		10	30	res-ltng/lvl	4			res-ltng-max		0	0			helm	shie									0	0	0
null	100	1	1	15	60	12			32	901	tinkerflag2		10	30	res-ltng/lvl	6			res-ltng-max		0	0			helm	shie									0	0	0
null	100	1	1	25		24			32	901	tinkerflag2		10	30	res-ltng/lvl	8			res-ltng-max		0	-1			helm	shie									0	0	0
null	100	1	1	45		33			32	901	tinkerflag2		10	30	res-ltng/lvl	10			res-ltng-max		0	-1			helm	shie									0	0	0
null	100	1	1	60		42			16	901	tinkerflag2		10	30	res-ltng/lvl	12			res-ltng-max		-1	-2			helm	shie									0	0	0
null	100	1	1	80		60			8	901	tinkerflag2		10	30	res-ltng/lvl	14			res-ltng-max		-1	-2			helm	shie									0	0	0
null	100	1	1	95		66			2	901	tinkerflag2		10	30	res-ltng/lvl	16			res-ltng-max		-2	-3			helm	shie									0	0	0
																																					
null	100	1	1	5	45	3			32	901	tinkerflag2		10	30	res-cold/lvl	4			res-cold-max		0	0			helm	shie									0	0	0
null	100	1	1	15	60	12			32	901	tinkerflag2		10	30	res-cold/lvl	6			res-cold-max		0	0			helm	shie									0	0	0
null	100	1	1	25		24			32	901	tinkerflag2		10	30	res-cold/lvl	8			res-cold-max		0	-1			helm	shie									0	0	0
null	100	1	1	45		33			32	901	tinkerflag2		10	30	res-cold/lvl	10			res-cold-max		0	-1			helm	shie									0	0	0
null	100	1	1	60		42			16	901	tinkerflag2		10	30	res-cold/lvl	12			res-cold-max		-1	-2			helm	shie									0	0	0
null	100	1	1	80		60			8	901	tinkerflag2		10	30	res-cold/lvl	14			res-cold-max		-1	-2			helm	shie									0	0	0
null	100	1	1	95		66			2	901	tinkerflag2		10	30	res-cold/lvl	16			res-cold-max		-2	-3			helm	shie									0	0	0
																																					
null	100	1	1	5	45	3			32	901	tinkerflag2		10	30	res-pois/lvl	4			res-pois-max		0	0			helm	shie									0	0	0
null	100	1	1	15	60	12			32	901	tinkerflag2		10	30	res-pois/lvl	6			res-pois-max		0	0			helm	shie									0	0	0
null	100	1	1	25		24			32	901	tinkerflag2		10	30	res-pois/lvl	8			res-pois-max		0	-1			helm	shie									0	0	0
null	100	1	1	45		33			32	901	tinkerflag2		10	30	res-pois/lvl	10			res-pois-max		0	-1			helm	shie									0	0	0
null	100	1	1	60		42			16	901	tinkerflag2		10	30	res-pois/lvl	12			res-pois-max		-1	-2			helm	shie									0	0	0
null	100	1	1	80		60			8	901	tinkerflag2		10	30	res-pois/lvl	14			res-pois-max		-1	-2			helm	shie									0	0	0
null	100	1	1	95		66			2	901	tinkerflag2		10	30	res-pois/lvl	16			res-pois-max		-2	-3			helm	shie									0	0	0
																																					
null	100	1	1	5	45	3			32	901	tinkerflag2		10	30	hp		3	12							glov	belt									0	0	0
null	100	1	1	15	60	12			32	901	tinkerflag2		10	30	hp		6	24							glov	belt									0	0	0
null	100	1	1	25		24			32	901	tinkerflag2		10	30	hp		9	36							glov	belt									0	0	0
null	100	1	1	45		33			32	901	tinkerflag2		10	30	hp		12	48							glov	belt									0	0	0
null	100	1	1	60		42			16	901	tinkerflag2		10	30	hp		15	60							glov	belt									0	0	0
null	100	1	1	80		60			8	901	tinkerflag2		10	30	hp		18	72							glov	belt									0	0	0
null	100	1	1	95		66			2	901	tinkerflag2		10	30	hp%		3	12							glov	belt									0	0	0
																																					
null	100	1	1	5	45	3			32	901	tinkerflag2		10	30	mana		6	12							glov	belt									0	0	0
null	100	1	1	15	60	12			32	901	tinkerflag2		10	30	mana		12	24							glov	belt									0	0	0
null	100	1	1	25		24			32	901	tinkerflag2		10	30	mana		18	36							glov	belt									0	0	0
null	100	1	1	45		33			32	901	tinkerflag2		10	30	mana		24	48							glov	belt									0	0	0
null	100	1	1	60		42			16	901	tinkerflag2		10	30	mana		30	60							glov	belt									0	0	0
null	100	1	1	80		60			8	901	tinkerflag2		10	30	mana		36	72							glov	belt									0	0	0
null	100	1	1	95		66			2	901	tinkerflag2		10	30	mana%		6	12							glov	belt									0	0	0
																																					
null	100	1	1	5	45	3			32	901	tinkerflag2		10	30	gold%		5	10							dwav										0	0	0
null	100	1	1	15	60	12			32	901	tinkerflag2		10	30	gold%		7	14							dwav										0	0	0
null	100	1	1	25		24			32	901	tinkerflag2		10	30	gold%		9	18							dwav										0	0	0
null	100	1	1	45		33			32	901	tinkerflag2		10	30	gold%		11	22							dwav										0	0	0
null	100	1	1	60		42			16	901	tinkerflag2		10	30	gold%		13	26							dwav										0	0	0
null	100	1	1	80		60			8	901	tinkerflag2		10	30	gold%		15	30							dwav										0	0	0
null	100	1	1	95		66			2	901	tinkerflag2		10	30	gold%/lvl	4									dwav										0	0	0
																																					
null	100	1	1	5	45	3			32	901	tinkerflag2		10	30	mag%		6	12							circ										0	0	0
null	100	1	1	15	60	12			32	901	tinkerflag2		10	30	mag%		7	14							circ										0	0	0
null	100	1	1	25		24			32	901	tinkerflag2		10	30	mag%		8	16							circ										0	0	0
null	100	1	1	45		33			32	901	tinkerflag2		10	30	mag%		9	18							circ										0	0	0
null	100	1	1	60		42			16	901	tinkerflag2		10	30	mag%		10	20							circ										0	0	0
null	100	1	1	80		60			8	901	tinkerflag2		10	30	mag%		11	22							circ										0	0	0
null	100	1	1	95		66			2	901	tinkerflag2		10	30	mag%		12	24							circ										0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	extra-fire		1	3							1hcw							wdnr			0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	extra-fire		4	7							1hcw							wdnr			0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	extra-fire		7	11							1hcw							wdnr			0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	extra-fire		10	15							1hcw							wdnr			0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	extra-fire		13	19							1hcw							wdnr			0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	extra-fire		16	23							1hcw							wdnr			0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	extra-fire		19	27							1hcw							wdnr			0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	extra-cold		1	3							1hcw							wdnr			0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	extra-cold		4	7							1hcw							wdnr			0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	extra-cold		7	11							1hcw							wdnr			0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	extra-cold		10	15							1hcw							wdnr			0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	extra-cold		13	19							1hcw							wdnr			0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	extra-cold		16	23							1hcw							wdnr			0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	extra-cold		19	27							1hcw							wdnr			0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	extra-ltng		1	3							1hcw							wdnr			0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	extra-ltng		4	7							1hcw							wdnr			0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	extra-ltng		7	11							1hcw							wdnr			0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	extra-ltng		10	15							1hcw							wdnr			0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	extra-ltng		13	19							1hcw							wdnr			0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	extra-ltng		16	23							1hcw							wdnr			0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	extra-ltng		19	27							1hcw							wdnr			0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	extra-wind		1	3							1hcw							wdnr			0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	extra-wind		4	7							1hcw							wdnr			0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	extra-wind		7	11							1hcw							wdnr			0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	extra-wind		10	15							1hcw							wdnr			0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	extra-wind		13	19							1hcw							wdnr			0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	extra-wind		16	23							1hcw							wdnr			0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	extra-wind		19	27							1hcw							wdnr			0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	extra-fleshbone		1	3							1hcw							orb			0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	extra-fleshbone		4	7							1hcw							orb			0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	extra-fleshbone		7	11							1hcw							orb			0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	extra-fleshbone		10	15							1hcw							orb			0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	extra-fleshbone		13	19							1hcw							orb			0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	extra-fleshbone		16	23							1hcw							orb			0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	extra-fleshbone		19	27							1hcw							orb			0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	enr		1	5							1hcw										0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	enr		8	12							1hcw										0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	enr		15	19							1hcw										0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	enr		22	26							1hcw										0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	enr		29	33							1hcw										0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	enr		36	40							1hcw										0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	enr%		6	12							1hcw										0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	mana/lvl	4									1hcw										0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	mana/lvl	6									1hcw										0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	mana/lvl	8									1hcw										0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	mana/lvl	10									1hcw										0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	mana/lvl	12									1hcw										0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	mana/lvl	14									1hcw										0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	mana/lvl	16									1hcw										0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	extra-fire		2	6							2hcw										0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	extra-fire		6	11							2hcw										0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	extra-fire		10	16							2hcw										0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	extra-fire		14	21							2hcw										0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	extra-fire		18	26							2hcw										0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	extra-fire		22	31							2hcw										0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	extra-fire		26	36							2hcw										0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	extra-cold		2	6							2hcw										0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	extra-cold		6	11							2hcw										0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	extra-cold		10	16							2hcw										0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	extra-cold		14	21							2hcw										0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	extra-cold		18	26							2hcw										0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	extra-cold		22	31							2hcw										0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	extra-cold		26	36							2hcw										0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	extra-ltng		2	6							2hcw										0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	extra-ltng		6	11							2hcw										0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	extra-ltng		10	16							2hcw										0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	extra-ltng		14	21							2hcw										0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	extra-ltng		18	26							2hcw										0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	extra-ltng		22	31							2hcw										0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	extra-ltng		26	36							2hcw										0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	extra-wind		2	6							2hcw										0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	extra-wind		6	11							2hcw										0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	extra-wind		10	16							2hcw										0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	extra-wind		14	21							2hcw										0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	extra-wind		18	26							2hcw										0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	extra-wind		22	31							2hcw										0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	extra-wind		26	36							2hcw										0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	extra-fleshbone		2	6							2hcw										0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	extra-fleshbone		6	11							2hcw										0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	extra-fleshbone		10	16							2hcw										0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	extra-fleshbone		14	21							2hcw										0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	extra-fleshbone		18	26							2hcw										0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	extra-fleshbone		22	31							2hcw										0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	extra-fleshbone		26	36							2hcw										0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	enr		10	15							2hcw										0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	enr		18	22							2hcw										0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	enr		25	29							2hcw										0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	enr		32	36							2hcw										0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	enr		39	43							2hcw										0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	enr		46	50							2hcw										0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	enr%		8	14							2hcw										0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	mana/lvl	2			mana%		2	4			2hcw										0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	mana/lvl	3			mana%		3	5			2hcw										0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	mana/lvl	4			mana%		4	6			2hcw										0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	mana/lvl	5			mana%		5	7			2hcw										0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	mana/lvl	6			mana%		6	8			2hcw										0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	mana/lvl	7			mana%		7	9			2hcw										0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	mana/lvl	8			mana%		8	10			2hcw										0	0	0
																																					
null	100	1	1	5	45	3			30	950	tinkerflag2		20	60											1hcw	2hcw									0	0	0
null	100	1	1	15	60	12			30	950	tinkerflag2		25	65											1hcw	2hcw									0	0	0
null	100	1	1	25		24			30	950	tinkerflag2		30	70											1hcw	2hcw									0	0	0
null	100	1	1	45		33			8	950	tinkerflag2		35	75											1hcw	2hcw									0	0	0
null	100	1	1	60		42			2	950	tinkerflag2		40	80											1hcw	2hcw									0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		45	85											1hcw	2hcw									0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		50	90											1hcw	2hcw									0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dex		1	5			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dex		8	12			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dex		15	19			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dex		22	26			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dex		29	33			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dex		36	40			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dex%		6	12			1hsw							tkni	taxe	jave	0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	str		1	5			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	str		8	12			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	str		15	19			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	str		22	26			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	str		29	33			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	str		36	40			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	str%		6	12			1hsw							tkni	taxe	jave	0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dmg%		5	10			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dmg%		15	30			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dmg%		25	50			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dmg%		40	80			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dmg%		60	120			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dmg%		85	170			1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dmg%		115	230			1hsw							tkni	taxe	jave	0	0	0
																																					
null	100	1	1	5	45	3			32	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dmg-cold/lvl	8					1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	15	60	12			32	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dmg-cold/lvl	12					1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	25		24			32	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dmg-cold/lvl	16					1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	45		33			32	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dmg-cold/lvl	20					1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	60		42			16	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dmg-cold/lvl	24					1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	80		60			8	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dmg-cold/lvl	28					1hsw							tkni	taxe	jave	0	0	0
null	100	1	1	95		66			2	950	tinkerflag2		10	30	hit-splash	WeaponSplash	100	1	dmg-cold/lvl	32					1hsw							tkni	taxe	jave	0	0	0
																																					
