skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	item proc text	item proc descline count	*eol
multiple shot	1	2	1	1	12	27	skillname12	skillld12	skillld12	skillan12	7	clc5											1				36	StrSkill3		usmc	256	74	StrSkill9		clc1		7	StrSkill231		clc3		75	StrSkill4		pnma	pxma											74	WeapDamsk		125		74	phystomagicdesc		min(100,skill('Magic Arrow'.blvl)*4)		18	strdexbonus														40	Sksyn	skillname12	2		76	phystomagic	skillname6	4		76	Damplev	skillname6	par8		76	Damplev	tornadoshot1	par8		76	Damplev	Skillname363	par8		76	Damplev	skillname26	par8									0
dodge	2	3	3	2	14		skillname13	dodge3	dodge3	skillan13																	74	StrSkill24		pst1																											18	StrSkill263				18	StrSkill269																					skillname13																																			0
power strike	3	3	2	3	16		firestrike1	firestrike2	firestrike3	firestrike1	5												1				36	StrSkill3		usmc	256	75	StrSkill5		enma	exma	74	StrSkill22		toht																																										40	Sksyn	firestrike1	2		76	Firedplev	StrSkill226	par8		76	Firedplev	skillname19	par8		76	Firedplev	skillname34	par8		76	Firedplev	shadowstrike1	par8		76	Firedplev	pyrejavelin1	par8		76	Firedplev	Skillname365	par8				0
poison javelin	3	2	3	3	18		pyrejavelin1	pyrejavelin2	pyrejavelin3	pyrejavelin1	22												1				36	StrSkill3		usmc	256	75	StrSkill5		enma	exma																																														40	Sksyn	pyrejavelin1	2		76	Firedplev	skillname10	par8		76	Firedplev	skillname20	par8		76	Firedplev	skillname25	par8		76	Firedplev	skillname35	par8		76	Firedplev	firestrike1	par8		76	Firedplev	Skillname365	par8				0
exploding arrow	1	5	3	1	20	2	skillname16	explodingarrow2	explodingarrow3	skillan16	6												1				36	StrSkill3		usmc	256	75	StrSkill5		enma	exma	74	StrSkill22		toht							74	fireconvert		min(90,49+lvl)							74	WeapDamsk		50																						40	Sksyn	skillname16	2		76	damageandar	skillname6	par8		76	damageandar	skillname11	par8		76	damageandar	Skillname363	par8																			0
slow missiles	2	3	1	2	22	31	skillname17	skillld17	skillld17	skillan17																	36	StrSkillDurationSingular	StrSkill20	ln34	25																										36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln56*2	3	74	ModStr2uPercent		dm78		74	StrSkill67		100-dm12																																												0
avoid	2	2	3	2	46		sway1	sway2	sway3	sway1																	74	flatdefense		pst1																											74	ModStr2uPercent		blvl		18	StrSkill282																			40	Sksyn	sway1	2		76	Defplev	skillname13	par8																						0							0
impale	3	3	2	3	26		viperbite1	viperbite2	viperbite3	viperbite1	5																36	StrSkill3		usmc	256	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht		74	StrSkill72		clc1																																					40	Sksyn	viperbite1	2		63	skillname10	Alldplev	par8		63	firestrike1	Alldplev	par8		63	skillname30	Alldplev	par8		63	skillname34	Alldplev	par8		63	shadowstrike1	Alldplev	par8		63	skillname25	Alldplev	par8				0
lightning bolt	3	5	3	3	28		frostjavelin1	frostjavelin2	frostjavelin3	frostjavelin1	3																36	StrSkill3		usmc	256	75	StrSkill6		enma	exma																																														40	Sksyn	frostjavelin1	2		76	Colddplev	skillname10	par8		76	Colddplev	pyrejavelin1	par8		76	Colddplev	skillname25	par8		76	Colddplev	skillname35	par8		76	Colddplev	Skillname366	par8									0
ice arrow	1	6	2	1	30	62	lightningarrow1	lightningarrow2	lightningarrow3	lightningarrow1	5												1				36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	74	StrSkill22		toht		74	StrSkill72		clc1		8																																			40	Sksyn	lightningarrow1	2		76	Ltngdplev	poisonarrow1	par8		76	Ltngdplev	skillname27	par8		76	Ltngdplev	skillname31	par8																			0
guided arrow	1	4	1	1	32	29	skillname22	skillld22	skillld22	skillan22	7	clc1															36	StrSkill3		"max(usmc, 1)"	256	74	StrSkillDamagePercent		clc1																						18	StrSkillAlwaysHits				66	Convphy2elemalt		skill('Magic Arrow'.blvl)																	40	Sksyn	skillname22	2		76	Damplev	skillname6	par8		76	Damplev	skillname12	par8		76	Damplev	Skillname363	par8		76	Damplev	skillname26	par8														0
penetrate	2	4	3	2	34		skillname23	skillld23	skillld23	skillan23																	74	StrSkill22		pst1																											74	ModStr5o		pst2		18	ReduceDefense																																																								0
charged strike	3	5	2	3	36		shadowstrike1	shadowstrike2	shadowstrike3	shadowstrike1	17																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma	74	StrSkill72		par1 + lvl/par2																																										40	Sksyn	shadowstrike1	2		76	Magdplev	skillname10	par8		76	Magdplev	firestrike1	par8		76	Magdplev	skillname30	par8		76	Magdplev	viperbite1	par8		76	Magdplev	skillname34	par8									0
plague javelin	3	3	3	3	38		skillname25	plaguejavelin2	plaguejavelin3	skillan25	22																36	StrSkill3		usmc	256	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht																																					40	Sksyn	skillname25	2		76	Poisdplev	splinteringjavelin1	par8		76	Poisdplev	frostjavelin1	par8		76	Poisdplev	pyrejavelin1	par8		76	Poisdplev	skillname35	par8														0
strafe	1	6	1	1	40	30	skillname26	skillld26	skillld26	skillan26	7	clc2											1				36	StrSkill3		usmc	256	74	StrSkillDamagePercent		clc2		74	StrSkill22		toht		74	StrSkill86		clc1												74	WeapDamsk		75		18	strafechain																			40	Sksyn	skillname26	2		76	Damplev	skillname6	par8		76	Damplev	skillname12	par8		76	Damplev	tornadoshot1	par8		76	Damplev	Skillname363	par8														0
immolation arrow	1	2	2	1	42	32	skillname27	skillxld27	skillxld27	skillan27	6												1	immolationfire			36	StrSkill3		usmc	256	36	StrSkillFireDurationSingular	StrSkill82	miss('immolationfire'.rang)	25	75	StrSkillFireDamageAveragePerSecond		m1eo*25*3*(mael+100)/100/256	m1ey*25*3*(mael+100)/100/256	75	StrSkill83		enma	exma																																				40	Sksyn	skillname27	2		76	Firedplev	poisonarrow1	par8		76	Firedplev	skillname31	par8		76	Firedplev	lightningarrow1	par8																			0
valkyrie mastery	2	6	1	2	44		valkyriemastery1	valkyriemastery2	valkyriemastery3	valkyriemastery1																	74	valkyriemasterypets		lvl/20		74	valkyriemasterylife		lvl*20		74	valkyriemasteryequipmentlevel		lvl		74	valkyriemasterydamage		10*lvl		74	valkyriemasterylevels		lvl/10																																																																					0
evade	2	1	1	2	70		petrify1	petrify2	petrify3	petrify1																	36	Cgslow		-ast1		36	StrSkillDurationSingular	StrSkill20	len	25																					18	petdurplvl				18	StrSkill227				36	StrSkillRadiusSingular	StrSkill18	rng												40	Sksyn	petrify1	2		25	skillname8	012secplev			76	Slowfrwplev	skillname17	par8																								0
fend	3	2	1	3	48	24	skillname30	skillld30	skillld30	skillan30	7	clc2											1				36	StrSkill3		usmc	256	74	StrSkillDamagePercent		clc2		74	StrSkill22		toht		74	StrSkill11		clc1												18	spearorjavelinrequirement				74	additionalhitsperleveldesc		12																	40	Sksyn	skillname30	2		76	damageandar	spearstorm1	par8		76	damageandar	Skillname364	par8		76	damageandar	splinteringjavelin1	par8		76	damageandar	shadowstrike1	par8		76	damageandar	firestrike1	par8		76	damageandar	skillname34	par8				0
freezing arrow	1	4	2	1	50	4	skillname31	skillxld31	skillxld31	skillan31	6												1				36	StrSkill3		usmc	256	36	StrSkillFreezeLengthSingular	StrSkill62	edln	25	75	StrSkill6		enma	exma	74	StrSkill22		toht		5	ESkillMiss		clc1							36	StrSkillRadiusSingular	StrSkill18	par1*2	3						18	StrSkill286														40	Sksyn	skillname31	2		76	Colddplev	poisonarrow1	par8		76	Colddplev	skillname27	par8		76	Colddplev	lightningarrow1	par8																			0
valkyrie	2	4	1	2	52		skillname32	skillld32	skillld32	skillan32																	74	StrSkill21		pst1		74	StrSkillDamagePercent		pst3		74	StrSkill22		toht		13	StrSkill42		clc1		5	StrSkill156		clc2		74	StrSkill54		ast3		36	StrSkill3		usmc	256	18	StrSkill157				5	ESkillValk		pets		18	valkyrieaura									40	Sksyn	skillname32	2		76	AttRateplev	skillname23	40		18	skillname9				18	skillname13				18	sway1																0
pierce	2	6	3	2	54		skillname33	skillld33	skillld33	skillan33																	74	StrSkill24		"min(100,ln12)"		74	ModStr6j		pst2		18	replenishoncrit																																																																																	0
lightning strike	3	6	2	3	56	35	skillname34	lightningstrike2	lightningstrike3	skillan34	5												1				36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	74	StrSkill11		clc2		74	StrSkill22		toht		74	lightningconvert		min(90,49+lvl)							18	strdexbonus				18	spearorjavelinrequirement																			40	Sksyn	skillname34	2		76	damageandar	spearstorm1	par8		76	damageandar	splinteringjavelin1	par8		76	damageandar	Skillname364	par8		76	damageandar	firestrike1	par8		76	damageandar	shadowstrike1	par8		76	damageandar	skillname30	par8				0
lightning fury	3	6	3	3	58		skillname35	skillld35	lightningfury3	skillan35	22																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	74	StrSkillReleasesBolts		ln12																																										40	Sksyn	skillname35	2		76	Ltngdplev	splinteringjavelin1	par8		76	Ltngdplev	skillname25	par8		76	Ltngdplev	pyrejavelin1	par8		76	Ltngdplev	frostjavelin1	par8														0
fire bolt	1	1	3	1	0	13	skillname36	skillld36	skillld36	skillan36	5																75	StrSkill5		enma	exma																										36	StrSkill3		usmc	256	7	StrSkill205		clc1		18	StrSkill286c				18	StrSkill266									40	Sksyn	skillname36	2		76	Firedplev	skillname47	par8		76	Firedplev	rainoffire1	par8		76	Firedplev	immolation1	par8																			0
warmth	3	1	1	3	2		soulshiver1	skillld37	skillld37	soulshiver1																	74	StrSkill88		pst1																											74	warmthselfsynergy		3																																																											0
charged bolt	2	1	2	2	4	19	skillname38	skillld38	skillld38	skillan38	5																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	74	StrSkill27		"min(30,ln12/2)"																																										40	Sksyn	skillname38	2		76	Ltngdplev	skillname49	par8		76	Ltngdplev	lighthydra1	par8		76	Ltngdplev	skillname53	par8		76	Ltngdplev	skillname57	par8														0
ice bolt	3	1	2	3	6		skillname39	skillld39	skillld39	skillan39	5																36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma																					36	StrSkill3		usmc	256	7	StrSkill205		clc1		18	StrSkill286c				18	StrSkill266									40	Sksyn	skillname39	2		76	Colddplev	icenova1	par8		76	Colddplev	skillname55	par8		76	Colddplev	skillname59	par8		76	Colddplev	skillname64	par8		74	eachskillcoldlengthsynergy		par7									0
frozen armor	2	1	3	2	8	18	shockarmor1	shockarmor2	shockarmor3	shockarmor1																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	75	StrSkill7		enma	exma	74	StrSkill21		ast1		74	StrSkill224		-ast2							74	StrSkill190		ast3		18	StrSkill232																			40	Sksyn	shockarmor1	2		25	Skillname369	StrSkill258			76	Defplev	skillname63	par8																								0
inferno	2	3	3	2	10	12	lightinferno1	lightinferno2	lightinferno3	lightinferno1	8																74	StrSkillManaCostPerSecond		mps		36	StrSkillRangeSingular	StrSkill56	ln12/4*2	3	18	StrSkill238				75	StrSkillLightningDamageAveragePerSecond		enms*12/256	exms*12/256	74	StrSkill224		-ast2							74	StrSkill115		par3																						40	Sksyn	lightinferno1	2		76	Ltngdplev	skillname38	par8		76	Ltngdplev	skillname49	par8		76	Ltngdplev	lighthydra1	par8		76	Ltngdplev	skillname53	par8														0
static field	2	4	1	2	12	21	skillname42	skillxld42	skillxld42	skillan42																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill33		clc1																																																																															0
telekinesis	2	3	1	2	14		skillname43	skillld43	skillld43	skillan43	5																75	StrSkill7		enma	exma																										36	StrSkill3		usmc	256																					40	Sksyn	skillname43	2		76	Ltngdplev	skillname54	par8		76	Ltngdplev	skillname42	par8		76	Ltngdplev	skillname58	par8																			0
frost nova	3	5	2	3	16	46	icenova1	skillld44	skillld44	icenova1	5																36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma																18	danceofdeathpierce																								40	Sksyn	icenova1	2		76	Colddplev	skillname39	par8		76	Colddplev	skillname55	par8		76	Colddplev	skillname59	par8		76	Colddplev	skillname64	par8		74	eachskillcoldlengthsynergy		par7									0
ice blast	3	4	3	3	18	16	snowspirit1	snowspirit2	snowspirit3	snowspirit1	5																36	StrSkill3		usmc	256	36	StrSkillFreezeLengthSingular	StrSkill29	edln	25	75	StrSkill6		enma	exma																																									40	Sksyn	snowspirit1	2		76	Colddplev	skillname39	par8		76	Colddplev	skillname55	par8		76	Colddplev	skillname59	par8		76	Colddplev	icenova1	par8		76	Colddplev	skillname64	par8		74	eachskillcoldlengthsynergy		par7				0
blaze	1	1	1	1	20		skillname46	skillld46	skillld46	skillan46	9													blaze			36	StrSkill3		usmc	256	36	StrSkillBlazeDuration	StrSkillBlazeDuration	dm12	25	74	StrSkill89		ln34		36	StrSkillFireDurationSingular	StrSkill82	miss('blaze'.rang)	25	75	StrSkillFireDamageAveragePerSecond		enms*25*3/256	exms*25*3/256																															40	Sksyn	skillname46	2		76	Firedplev	Skillname370	par8		76	Firedplev	flamewave1	par8		76	Firedplev	immolation1	par8																			0
fire ball	1	3	3	1	22	14	skillname47	skillld47	skillld47	skillan47	5													fireball			36	StrSkill3		usmc	256	75	StrSkill5		enma	exma	36	StrSkillRadiusSingular	StrSkill18	clc1*2	3																36	StrSkillRadiusSingular	StrSkill18	par1*2	3																					40	Sksyn	skillname47	2		76	Firedplev	skillname36	par8		76	Firedplev	rainoffire1	par8		76	Firedplev	immolation1	par8																			0
nova	1	5	1	1	24	45	immolation1	immolation2	immolation3	immolation1	5																36	StrSkill3		usmc	256	75	StrSkill5		enma	exma																					18	immolationsplash																								40	Sksyn	immolation1	2		76	Firedplev	skillname46	par8		76	Firedplev	Skillname370	par8		76	Firedplev	flamewave1	par8		76	Firedplev	skillname36	par8		76	Firedplev	skillname47	par8		76	Firedplev	skillname56	par8				0
lightning	2	2	3	2	26	20	skillname49	skillld49	skillld49	skillan49	5																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma																																														40	Sksyn	skillname49	2		76	Ltngdplev	skillname38	par8		76	Ltngdplev	lighthydra1	par8		76	Ltngdplev	skillname53	par8		76	Ltngdplev	skillname57	par8														0
shiver armor	1	1	2	1	28		firearmor1	firearmor2	firearmor3	firearmor4	5																36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	75	StrSkill5		enma	exma	74	StrSkill21		ast1		74	StrSkill220		-ast2							74	StrSkill188		ast3		18	StrSkill232																			40	Sksyn	firearmor1	2		25	Skillname369	StrSkill257			76	Defplev	skillsname61	par8																								0
fire wall	1	2	1	1	30		flamewave1	flamewave2	flamewave3	flamewave1	5													fire wave maker			36	StrSkill3		usmc	256	75	StrSkillFireDamageAveragePerSecond		enma*25/2	exma*25/2																					18	flamewaveprojectiles																								40	Sksyn	flamewave1	2		76	Firedplev	skillname46	par8		76	Firedplev	Skillname370	par8		76	Firedplev	immolation1	par8																			0
enchant	1	2	2	1	32	15	skillname52	skillld52	skillld52	skillan52																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	ln12	25	75	StrSkill5		enma	exma	74	StrSkill22		toht																																					40	Sksyn	skillname52	2		76	Firedplev	Skillname368	par8		76	Firedplev	meteorshower1	par8																								0
chain lightning	2	5	3	2	34	48	skillname53	skillld53	skillld53	skillan53	5																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	74	StrSkill11		ln34/par5																																										40	Sksyn	skillname53	2		76	Ltngdplev	skillname38	par8		76	Ltngdplev	skillname49	par8		76	Ltngdplev	lighthydra1	par8		76	Ltngdplev	skillname57	par8														0
teleport	2	1	1	2	36		skillname54	skillld54	skillld54	skillan54																	36	StrSkill3		"max(usmc, 1)"	256																																																																																								0
glacial spike	3	3	2	3	38	17	skillname55	skillld55	skillld55	skillan55	5																36	StrSkill3		usmc	256	36	StrSkillFreezeLengthSingular	StrSkill29	len	25	75	StrSkill6		enma	exma	36	StrSkillRadiusSingular	StrSkill18	rng*2	3																																				40	Sksyn	skillname55	2		76	Colddplev	skillname39	par8		76	Colddplev	skillname59	par8		76	Colddplev	icenova1	par8		76	Colddplev	skillname64	par8		76	FrezLenplev	skillname39	par7									0
meteor	1	4	3	1	40		rainoffire1	rainoffire2	rainoffire3	rainoffire1	5													meteorfire			36	StrSkill3		usmc	256	75	StrSkill5		enma	exma	75	StrSkill4		pnma	pxma																74	StrSkill18		10		36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25	74	StrSkillCooldown		clc5												40	Sksyn	rainoffire1	2		76	Firedplev	skillname36	par8		76	Firedplev	skillname47	par8		76	Firedplev	meteorshower1	par8		76	Damplev	skillname52	par8		76	Damplev	Skillname368	par8		76	Damplev	meteorshower1	par8				0
thunder storm	2	6	3	2	42	28	Skillname386	Skillsd386	Skillld386	Skillan386	5																36	StrSkillDurationSingular	StrSkill20	3		75	StrSkill7		enma	exma																					36	StrSkill3		usmc	256	36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																40	Sksyn	meteorshower1	2		76	Ltngdplev	skillname38	par8		76	Ltngdplev	skillname49	par8		76	Ltngdplev	lighthydra1	par8		76	Ltngdplev	skillname53	par8														0
energy shield	2	4	2	2	44		skillname58	skillld58	skillld58	skillan58																	36	StrSkillDurationSingular	StrSkill20	ln12	25	74	StrSkill41		"min(edmn,95)"																						36	StrSkill3		usmc	256	3	StrSkill163	StrSkill23	"max(75,par5-blvl*par7-(skill('Telekinesis'.blvl)+skill('Teleport'.blvl)+skill('Static Field'.blvl))*par8)"		18	StrSkill252														40	Sksyn	skillname58	2		63	skillname54	Dmmnplev	par8		63	skillname43	Dmmnplev	par8		63	skillname42	Dmmnplev	par8																			0
blizzard	3	4	1	3	46	43	skillname59	skillld59	skillld59	skillan59	5													blizzardcenter			36	StrSkill3		usmc	256	75	StrSkill6		enma	exma	36	StrSkillColdLengthSingular	StrSkill13	edln	25																36	StrSkillDurationSingular	StrSkill20	miss('blizzardcenter'.rang)	25																					40	Sksyn	skillname59	2		76	Colddplev	skillname39	par8		76	Colddplev	skillname55	par8		76	Colddplev	icenova1	par8		76	Colddplev	skillname64	par8		74	eachskillcoldlengthsynergy		par7									0
chilling armor	3	1	3	3	48	25	shiverarmor1	shiverarmor2	shiverarmor3	shiverarmor1	5																36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	75	StrSkill6		enma	exma	74	StrSkill21		ast1		74	StrSkill223		-ast2							74	StrSkill189		ast3		18	StrSkill232																			40	Sksyn	shiverarmor1	2		25	Skillname369	StrSkill259			76	Defplev	skillname65	par8																								0
fire mastery	1	6	2	1	50		skillsname61	skillld61	skillld61	skillan61																	74	StrSkillFireDamagePercent		pst1		74	fireresistskill		pst2																																																																																				0
hydra	2	3	3	2	52	49	lighthydra1	lighthydra2	lighthydra3	lighthydra1	5																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma																					36	StrSkillDurationSingular	StrSkill20	len	25																					40	Sksyn	lighthydra1	2		76	Ltngdplev	skillname38	par8		76	Ltngdplev	skillname49	par8		76	Ltngdplev	skillname53	par8		76	Ltngdplev	skillname57	par8														0
lightning mastery	2	6	2	2	54		skillname63	skillxld63	skillxld63	skillan63																	74	StrSkillLightningDamagePercent		pst1		74	lightningresistskill		pst2																																																																																				0
frozen orb	3	6	1	3	56	26	skillname64	skillld64	skillld64	skillan64	5																36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma																36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																					40	Sksyn	skillname64	2		76	Colddplev	skillname39	par8		76	Colddplev	skillname55	par8		76	Colddplev	skillname59	par8		76	Colddplev	icenova1	par8		74	eachskillcoldlengthsynergy		par7									0
cold mastery	3	6	2	3	58		skillname65	skillld65	skillld65	skillan65																	74	StrSkillColdDamagePercent		pst1		74	coldresistskill		pst2																																																																																				0
amplify damage	1	2	1	1	0		skillname66	skillsd66	skillld66	skillan66																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill37		ast1																	36	StrSkill3		usmc	256																					40	Sksyn	skillname66	2		76	Secplev2	skillname76	par7/25		76	Secplev2	skillname87	par7/25		76	Secplev2	skillname82	par7/25																			0
teeth	2	5	3	2	2		bonewave1	bonewave2	bonewave3	bonewave1	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma	74	StrSkill28		clc1																																										40	Sksyn	bonewave1	2		76	Magdplev	skillname78	par8		76	Magdplev	skillname88	par8		76	Magdplev	skillname93	par8		76	Magdplev	Skillname374	par8														0
bone armor	2	1	1	2	4		skillname68	skillsd68	skillld68	skillan68																	36	StrSkill3		usmc	256	74	StrSkill21		ast3		74	StrSkill40		ast1/256																																										40	Sksyn	skillname68	2		76	Damabsplev	skillname73	par7		76	Damabsplev	Skillname373	par7		76	Damabsplev	StrSkill261	par8		76	Damabsplev	StrSkill262	par8														0
skeleton mastery	3	1	1	3	6		skillname69	skillsd69	skillld69	skillan69																	74	skeletonkingdamagesynergy		lvl*par4		74	skeletonkinglifesynergy		lvl*par7		74	SkeletonsMageAttack		lvl*par6		74	SkeletonsMageDam		lvl*par2		74	SkeletonsMageDef		lvl*par5		74	SkeletonsMageLife		lvl*par1		74	StrSkill200		lvl/2																																						StrSkill203																					0
