description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1 Key of Terror + 1 Key of Hate + 1 Key of Destruction -> Portal to Matron's Den/Forgotten Sands/Furnace of Pain (Random)	1			100	28				3	pk1	pk2	pk3					Pandemonium Portal																																																																																							0
1 Diablo's Horn + 1 Baal's Eye + 1 Mephisto's Brain -> Portal to Tristram (Pandemonium Finale)	1			100	28				3	dhn	bey	mbr					Pandemonium Finale Portal																																																																																							0
1 Diablo's Enhanced Horn + 1 Baal's Enhanced Eye + 1 Mephisto's Enhanced Brain -> Hellfire Torch	1			100					3	ht1	ht2	ht3					Hellfire Torch	99	99	99																																																																																				0
2 Broken Hourglass Shards + 1 Broken Hourglass -> Eternal Hourglass of the Timeless Sands	1			100					3	um4	um5	um6					Eternal Hourglass	99	99	99																																																																																				0
Horadric Staff: Staff of Kings + Viper amulet	1			0	28				2	msf	vip						hst																																																																																							0
Khalim's Will: Khalim's Flail + Heart + Eye + Brain	1			0	28				4	qf1	qhr	qey	qbr				qf2																																																																																							0
Cow Portal: Club + 1 TP Tome	1			0	28				2	"club,any"	tbk						Cow Portal																																																																																							0
Negative MF Charm: SC + Decipherer + Stamina Pot	1			100					3	"scha,mag"	ddd	vps					"cx0,nor"				mag%			-25	-25																																																																															0
Negative MF Charm: SC + Decipherer + Stamina Pot	1			100					4	"scha,mag"	ddd	"vps,qty=2"					"cx0,nor"				mag%			-50	-50																																																																															0
Negative MF Charm: SC + Decipherer + Stamina Pot	1			100					5	"scha,mag"	ddd	"vps,qty=3"					"cx0,nor"				mag%			-75	-75																																																																															0
Negative MF Charm: SC + Decipherer + Stamina Pot	1			100					6	"scha,mag"	ddd	"vps,qty=4"					"cx0,nor"				mag%			-100	-100																																																																															0
Negative MF Charm: SC + Decipherer + Stamina Pot	1			100					3	"scha,mag"	ddd	mpot					"cx0,nor"				mana%			-2	-2																																																																															0
Negative MF Charm: SC + Decipherer + Stamina Pot	1			100					4	"scha,mag"	ddd	"mpot,qty=2"					"cx0,nor"				mana%			-4	-4																																																																															0
Negative MF Charm: SC + Decipherer + Stamina Pot	1			100					5	"scha,mag"	ddd	"mpot,qty=3"					"cx0,nor"				mana%			-8	-8																																																																															0
Negative MF Charm: SC + Decipherer + Stamina Pot	1			100					6	"scha,mag"	ddd	"mpot,qty=4"					"cx0,nor"				mana%			-16	-16																																																																															0
Rejuv Pot: 3 Health Pots + 3 Mana Pots + 1 C-Gem	1			100					7	"hpot,qty=3"	"mpot,qty=3"	gem0					rvs																																																																																							0
Full Rejuv Pot: 3 Health Pots + 3 Mana Pots + 1 N-Gem	1			100					7	"hpot,qty=3"	"mpot,qty=3"	gem2					rvl																																																																																							0
Full Rejuv Pot: 3 Rejuv Pots	1			100					3	"rvs,qty=3"							rvl																																																																																							0
Rejuv Pot: Heart + Soul	1			100					2	hrt	sol						rvs																																																																																							0
2 Rejuv Pots: 2 Hearts + 2 Souls	1			100					4	"hrt,qty=2"	"sol,qty=2"						rvs																													rvs																																																										0
Full Rejuv Pot: 3 Hearts + 3 Souls	1			100					6	"hrt,qty=3"	"sol,qty=3"						rvl																																																																																							0
Unsocket Weap	1			100	15	194	1		2	"weap,any"	key						"useitem,rem"																													key																																																										0
Unsocket Armo	1			100	15	194	1		2	"armo,any"	key						"useitem,rem"																													key																																																										0
Unsocket Ring	1			100	15	194	1		2	"ring,any"	key						"useitem,rem"																													key																																																										0
Unsocket Amulet	1			100	15	194	1		2	"amul,any"	key						"useitem,rem"																													key																																																										0
Unsocket Charm	1			100	15	194	1		2	"char,any"	key						"useitem,rem"																													key																																																										0
Unsocket Quiver	1			100	15	194	1		2	"misl,any"	key						"useitem,rem"																													key																																																										0
Maple Leaf: Unique Charm + Key + any rejuv pot	1			100	18	202	0		3	"char,uni"	key	rpot					map	99																												key																																																										0
Maple Leaf in Stocker: Unique Charm + Key + any rejuv pot	1			100	16	438	4000		4	can8	"char,uni"	rpot	key				useitem				item-01			1	1																					key																																																										0
Check if already Corrupted - Item	1			100	18	503	1		2	any	any						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		3	any	any,qty=2						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		4	any	any,qty=3						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		5	any	any,qty=4						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		6	any	any,qty=5						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		7	any	any,qty=6						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		8	any	any,qty=7						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		9	any	any,qty=8						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		10	any	any,qty=9						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		11	any	any,qty=10						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		12	any	any,qty=11						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		13	any	any,qty=12						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		14	any	any,qty=13						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		15	any	any,qty=14						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		16	any	any,qty=15						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		17	any	any,qty=16						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		18	any	any,qty=17						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		19	any	any,qty=18						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		20	any	any,qty=19						void																																																																																							0
Check if already Corrupted - Item	1			100	18	503	1		21	any	any,qty=20						void																																																																																							0
Add Corruption Dummy Stat - Unique Weapon	1			100	16	504	0		2	"weap,uni,sock"	wss						useitem				corrupted_dummy			1	40																																																																															0
Add Corruption Dummy Stat - Unique Shield	1			100	16	504	0		2	"shld,uni,sock"	wss						useitem				corrupted_dummy			42	72																																																																															0
Add Corruption Dummy Stat - Unique Body Armor	1			100	16	504	0		2	"tors,uni,sock"	wss						useitem				corrupted_dummy			74	104																																																																															0
Add Corruption Dummy Stat - Unique Helms	1			100	16	504	0		2	"helm,uni,sock"	wss						useitem				corrupted_dummy			266	296																																																																															0
Add Corruption Dummy Stat - Unique Weapon	1			100	16	504	0		2	"weap,uni"	wss						useitem				corrupted_dummy			1	40																																																																															0
Add Corruption Dummy Stat - Unique Shield	1			100	16	504	0		2	"shld,uni"	wss						useitem				corrupted_dummy			41	72																																																																															0
Add Corruption Dummy Stat - Unique Body Armor	1			100	16	504	0		2	"tors,uni"	wss						useitem				corrupted_dummy			73	104																																																																															0
Add Corruption Dummy Stat - Unique Boots	1			100	16	504	0		2	"boot,uni"	wss						useitem				corrupted_dummy			105	136																																																																															0
Add Corruption Dummy Stat - Unique Gloves	1			100	16	504	0		2	"glov,uni"	wss						useitem				corrupted_dummy			137	168																																																																															0
Add Corruption Dummy Stat - Unique Belts	1			100	16	504	0		2	"belt,uni"	wss						useitem				corrupted_dummy			169	200																																																																															0
Add Corruption Dummy Stat - Unique Rings	1			100	16	504	0		2	"ring,uni"	wss						useitem				corrupted_dummy			201	232																																																																															0
Add Corruption Dummy Stat - Unique Amulets	1			100	16	504	0		2	"amul,uni"	wss						useitem				corrupted_dummy			233	264																																																																															0
Add Corruption Dummy Stat - Unique Helms	1			100	16	504	0		2	"helm,uni"	wss						useitem				corrupted_dummy			265	296																																																																															0
Unique Corruption - Weapon 1	1			100	18	504	1		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-1	-1	dmg%	100		150	200																																																																					0
Unique Corruption - Weapon 2	1			100	18	504	2		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-2	-2	att	100		400	500																																																																					0
Unique Corruption - Weapon 3	1			100	18	504	3		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-3	-3	all-stats-percent	100		10	30																																																																					0
Unique Corruption - Weapon 4	1			100	18	504	4		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-4	-4	att-demon	100		400	400	dmg-demon	100		200	300																																																																0
Unique Corruption - Weapon 5	1			100	18	504	5		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-5	-5	ease	100		100	100	all-stats-percent	100		20	35																																																																0
Unique Corruption - Weapon 6	1			100	18	504	6		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-6	-6	extra-mag2	100		40	50																																																																					0
Unique Corruption - Weapon 7	1			100	18	504	7		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-7	-7	ease	100		200	200	all-stats-percent	100		25	40																																																																0
Unique Corruption - Weapon 8	1			100	18	504	8		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-8	-8	ease	100		300	300	all-stats-percent	100		30	50																																																																0
Unique Corruption - Weapon 9	1			100	18	504	9		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-9	-9	cast2	100		40	50																																																																					0
Unique Corruption - Weapon 10	1			100	18	504	10		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-10	-10	att-undead	100		400	400	dmg-undead	100		200	300																																																																0
Unique Corruption - Weapon 11	1			100	18	504	11		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-11	-11	pierce-fire	100		15	20																																																																					0
Unique Corruption - Weapon 12	1			100	18	504	12		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-12	-12	pierce-ltng	100		15	20																																																																					0
Unique Corruption - Weapon 13	1			100	18	504	13		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-13	-13	pierce-cold	100		15	20																																																																					0
Unique Corruption - Weapon 14	1			100	18	504	14		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-14	-14	pierce-pois	100		15	20																																																																					0
Unique Corruption - Weapon 15	1			100	18	504	15		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-15	-15	lifesteal	100		10	20	manasteal	100		10	20																																																																0
Unique Corruption - Weapon 16	1			100	18	504	16		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-16	-16	all-stats	100		40	50																																																																					0
Unique Corruption - Weapon 17	1			100	18	504	17		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-17	-17	extra-summ	100		20	35																																																																					0
Unique Corruption - Weapon 18	1			100	18	504	18		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-18	-18	deadly	100		40	50																																																																					0
Unique Corruption - Weapon 19	1			100	18	504	19		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-19	-19	swing1	100		40	50																																																																					0
Unique Corruption - Weapon 20	1			100	18	504	20		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-20	-20	crush	100		40	50																																																																					0
Unique Corruption - Weapon 21	1			100	18	504	21		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-21	-21	swing1	100		20	20	dmg%	100		100	150																																																																0
Unique Corruption - Weapon 22	1			100	18	504	22		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-22	-22	swing1	100		30	30	crush	100		20	30																																																																0
Unique Corruption - Weapon 23	1			100	18	504	23		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-23	-23	ignore-ac	100		1	1	dmg%	100		50	100																																																																0
Unique Corruption - Weapon 24	1			100	18	504	24		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-24	-24	deadly	100		20	30	dmg%	100		100	125																																																																0
Unique Corruption - Weapon 25	1			100	18	504	25		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-25	-25	extra-wind	100		40	50																																																																					0
Unique Corruption - Weapon 26	1			100	18	504	26		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-26	-26	allskills	100		1	1																																																																					0
Unique Corruption - Weapon 27	1			100	18	504	27		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-27	-27	extra-fire	100		20	30	cast2	100		20	20																																																																0
Unique Corruption - Weapon 28	1			100	18	504	28		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-28	-28	extra-cold	100		20	30	cast2	100		20	20																																																																0
Unique Corruption - Weapon 29	1			100	18	504	29		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-29	-29	extra-ltng	100		20	30	cast2	100		20	20																																																																0
Unique Corruption - Weapon 30	1			100	18	504	30		1	"weap,uni"							useitem				corrupted			1	1	corrupted_dummy			-30	-30	extra-pois	100		20	30	cast2	100		20	20																																																																0
Unique Corruption Brick - Weapon 1	1			100	18	504	31		1	"weap,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption Brick - Weapon 2	1			100	18	504	32		1	"weap,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption Brick - Weapon 3	1			100	18	504	33		1	"weap,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption Brick - Weapon 4	1			100	18	504	34		1	"weap,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption Brick - Weapon 5	1			100	18	504	35		1	"weap,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption Brick - Weapon 6	1			100	18	504	36		1	"weap,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption Brick - Weapon 7	1			100	18	504	37		1	"weap,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption Brick - Weapon 8	1			100	18	504	38		1	"weap,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption Brick - Weapon 9	1			100	18	504	39		1	"weap,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption Brick - Weapon 10	1			100	18	504	40		1	"weap,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption - Shield 1	1			100	18	504	41		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-41	-41	block2	100		40	50																																																																					0
Unique Corruption - Shield 2	1			100	18	504	42		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-42	-42	mag%	100		75	100																																																																					0
Unique Corruption - Shield 3	1			100	18	504	43		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-43	-43	balance1	100		40	50																																																																					0
Unique Corruption - Shield 4	1			100	18	504	44		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-44	-44	res-fire	100		40	50																																																																					0
Unique Corruption - Shield 5	1			100	18	504	45		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-45	-45	res-cold	100		40	50																																																																					0
Unique Corruption - Shield 6	1			100	18	504	46		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-46	-46	res-ltng	100		40	50																																																																					0
Unique Corruption - Shield 7	1			100	18	504	47		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-47	-47	res-pois	100		40	50																																																																					0
Unique Corruption - Shield 8	1			100	18	504	48		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-48	-48	regen-mana	100		50	100																																																																					0
Unique Corruption - Shield 9	1			100	18	504	49		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-49	-49	thorns/lvl	100	80																																																																							0
Unique Corruption - Shield 10	1			100	18	504	50		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-50	-50	hp%	100		20	30																																																																					0
Unique Corruption - Shield 11	1			100	18	504	51		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-51	-51	block	100		3	5	block1	100		20	20																																																																0
Unique Corruption - Shield 12	1			100	18	504	52		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-52	-52	indestruct	100		1	1	ac%	100		150	200																																																																0
Unique Corruption - Shield 13	1			100	18	504	53		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-53	-53	nofreeze	100		1	1																																																																					0
Unique Corruption - Shield 14	1			100	18	504	54		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-54	-54	red-dmg%	100		15	20																																																																					0
Unique Corruption - Shield 15	1			100	18	504	55		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-55	-55	magicresist	100		20	30																																																																					0
Unique Corruption - Shield 16	1			100	18	504	56		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-56	-56	block	100		4	8																																																																					0
Unique Corruption - Shield 17	1			100	18	504	57		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-57	-57	ease	100		200	200	res-all-max	100		5	8																																																																0
Unique Corruption - Shield 18	1			100	18	504	58		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-58	-58	allskills	100		1	1																																																																					0
Unique Corruption - Shield 19	1			100	18	504	59		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-59	-59	res-all	100		30	35																																																																					0
Unique Corruption - Shield 20	1			100	18	504	60		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-60	-60	res-all-max	100		3	4																																																																					0
Unique Corruption - Shield 21	1			100	18	504	61		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-61	-61	res-fire	100		30	35	res-fire-max	100		2	3																																																																0
Unique Corruption - Shield 22	1			100	18	504	62		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-62	-62	res-cold	100		30	35	res-cold-max	100		2	3																																																																0
Unique Corruption - Shield 23	1			100	18	504	63		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-63	-63	res-ltng	100		30	35	res-ltng-max	100		2	3																																																																0
Unique Corruption - Shield 24	1			100	18	504	64		1	"shld,uni"							useitem				corrupted			1	1	corrupted_dummy			-64	-64	res-pois	100		30	35	res-pois-max	100		2	3																																																																0
Unique Corruption Brick - Shield 1	1			100	18	504	65		1	"shld,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption Brick - Shield 2	1			100	18	504	66		1	"shld,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption Brick - Shield 3	1			100	18	504	67		1	"shld,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption Brick - Shield 4	1			100	18	504	68		1	"shld,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption Brick - Shield 5	1			100	18	504	69		1	"shld,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption Brick - Shield 6	1			100	18	504	70		1	"shld,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption Brick - Shield 7	1			100	18	504	71		1	"shld,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption Brick - Shield 8	1			100	18	504	72		1	"shld,uni"							"usetype,rar"			100	corrupted			1	1	corrupted_dummy			0	0																																																																										0
Unique Corruption - Body Armor 1	1			100	18	504	73		1	"tors,uni"							useitem				corrupted			1	1	corrupted_dummy			-73	-73	ac%	100		150	250																																																																					0
Unique Corruption - Body Armor 2	1			100	18	504	74		1	"tors,uni"							useitem				corrupted			1	1	corrupted_dummy			-74	-74	mag%	100		75	100																																																																					0
Unique Corruption - Body Armor 3	1			100	18	504	75		1	"tors,uni"							useitem				corrupted			1	1	corrupted_dummy			-75	-75	balance1	100		40	50																																																																					0
Unique Corruption - Body Armor 4	1			100	18	504	76		1	"tors,uni"							useitem				corrupted			1	1	corrupted_dummy			-76	-76	res-fire	100		40	50																																																																					0
Unique Corruption - Body Armor 5	1			100	18	504	77		1	"tors,uni"							useitem				corrupted			1	1	corrupted_dummy			-77	-77	res-cold	100		40	50																																																																					0
Unique Corruption - Body Armor 6	1			100	18	504	78		1	"tors,uni"							useitem				corrupted			1	1	corrupted_dummy			-78	-78	res-ltng	100		40	50																																																																					0
Unique Corruption - Body Armor 7	1			100	18	504	79		1	"tors,uni"							useitem				corrupted			1	1	corrupted_dummy			-79	-79	res-pois	100		40	50																																																																					0
Unique Corruption - Body Armor 8	1			100	18	504	80		1	"tors,uni"							useitem				corrupted			1	1	corrupted_dummy			-80	-80	regen-mana	100		50	100																																																																					0
Unique Corruption - Body Armor 9	1			100	18	504	81		1	"tors,uni"							useitem				corrupted			1	1	corrupted_dummy			-81	-81	thorns/lvl	100	80																																																																							0
Unique Corruption - Body Armor 10	1			100	18	504	82		1	"tors,uni"							useitem				corrupted			1	1	corrupted_dummy			-82	-82	hp	100		100	150																																																																					0
Unique Corruption - Body Armor 11	1			100	18	504	83		1	"tors,uni"							useitem				corrupted			1	1	corrupted_dummy			-83	-83	hp%	100		25	35																																																																					0
Unique Corruption - Body Armor 12	1			100	18	504	84		1	"tors,uni"							useitem				corrupted			1	1	corrupted_dummy			-84	-84	ease	100		200	200	allskills	100		2	3																																																																0
Unique Corruption - Body Armor 13	1			100	18	504	85		1	"tors,uni"							useitem				corrupted			1	1	corrupted_dummy			-85	-85	nofreeze	100		1	1																																																																					0
Unique Corruption - Body Armor 14	1			100	18	504	86		1	"tors,uni"							useitem				corrupted			1	1	corrupted_dummy			-86	-86	red-dmg%	100		15	20																																																																					0
Unique Corruption - Body Armor 15	1			100	18	504	87		1	"tors,uni"							useitem				corrupted			1	1	corrupted_dummy			-87	-87	magicresist	100		25	35																																																																					0
Unique Corruption - Body Armor 16	1			100	18	504	88		1	"tors,uni"							useitem				corrupted			1	1	corrupted_dummy			-88	-88	indestruct	100		1	1	ac%	100		150	200																																																																0
