index	*ID	version	enabled	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Talisman of Fukurokuju	41	0	1			8	1	45	45	sam	Amulet		12	40000	cred	cred		invfukurokuju				allskills		1	1	skilltab	3	0	1	skilltab	4	0	1	skilltab	5	0	1	red-dmg%		10	10	skill	Warmth	3	6	ac/lvl	40			gold%		50	100	regen		50	100	enr/lvl	6												0
Talisman of Ebisu	42	0	1			8	1	45	45	nam	Amulet		12	40000	dred	dred						allskills		1	1	skilltab	6	0	1	skilltab	7	0	1	skilltab	8	0	1	red-dmg%		10	10	skill	Bone Armor	3	6	ac/lvl	40			gold%		50	100	regen		50	100	enr/lvl	6												0
Talisman of Daikokuten	43	0	1			8	1	45	45	pam	Amulet		12	40000	blac	blac						allskills		1	1	skilltab	9	0	1	skilltab	10	0	1	skilltab	11	0	1	red-dmg%		10	10	skill	Holy Shield	3	6	ac/lvl	40			gold%		50	100	regen		50	100	str/lvl	6												0
Talisman of Bishamonten	44	0	1			8	1	45	45	bam	Amulet		12	40000	dblu	dblu						allskills		1	1	skilltab	12	0	1	skilltab	13	0	1	skilltab	14	0	1	red-dmg%		10	10	skill	Iron Skin	3	6	ac/lvl	40			gold%		50	100	regen		50	100	str/lvl	6												0
Talisman of Hotei	45	100	1			8	1	45	45	dam	Amulet		12	40000	dyel	dyel						allskills		1	1	skilltab	15	0	1	skilltab	16	0	1	skilltab	17	0	1	red-dmg%		10	10	skill	Spirit of Nature	3	6	ac/lvl	40			gold%		50	100	regen		50	100	vit/lvl	6												0
Talisman of Kisshoten	46	100	1			8	1	45	45	aam	Amulet		12	40000	cred	cred						allskills		1	1	skilltab	18	0	1	skilltab	19	0	1	skilltab	20	0	1	red-dmg%		10	10	skill	Wake of Fire Sentry	3	6	ac/lvl	40			gold%		50	100	regen		50	100	dex/lvl	6												0
Valhalla's Pendant	47	0	1			3	1	60	60	zam	Amulet		12	40000	bwht	bwht						ama		2	2	skill	Valkyrie	5	10	skilltab	1	1	1	dmg%		50	100	deadly		33	33	gethit-skill	Time Stop	10	20	hp		60	60	str		50	50	vit		50	50	regen		50	150										0
Jade's Locket	48	0	1			3	1	60	60	sam	Amulet		12	40000	cblu	cblu						sor		2	2	cast3		30	30	mana%		15	15	mana		60	60	hp		60	60	red-mag		15	25	res-all		35	35	skill	Enchant	6	6	hit-skill	STwister	5	40	red-dmg%		10	20	swing2		30	30						0
Daeveran's Stone	49	0	1			3	1	60	60	nam	Amulet		12	40000	lgry	lgry						nec		2	2	hp%		15	15	extra-mag2		10	30	cast3		30	30	res-all		25	25	hp		60	60	skill	Bone Armor	5	10	regen		50	150	regen-mana		50	100	move2		20	20	red-dmg%		10	20						0
Holy Deviant	50	0	1			3	1	60	60	pam	Amulet		12	40000	whit	whit						pal		2	2	oskill	Poison Mastery Passive	1	7	abs-mag%		1	3	lifesteal		8	12	manasteal		4	8	hit-skill	Poison Nova	5	40	skilltab	9	1	1	pierce-pois		10	30	enr		20	20	str		20	20	oskill	Venom	10	20						0
Khisanth	51	0	1			3	1	60	60	bam	Amulet		12	40000	oran	oran						bar		2	2	red-dmg%		10	20	red-mag		15	25	skill	Natural Resistance	4	4	skill	Iron Skin	4	4	strpercent		10	20	swing3		30	30	hp/lvl	8			str		25	25	regen		50	150	skilltab	13	2	3						0
Grim Creaper	52	100	1			3	1	60	60	dam	Amulet		12	40000	dgrn	dgrn						dru		2	2	skill	Raven	7	7	regen		50	150	crush		15	30	balance3		30	30	ac%		50	100	dex		30	30	skilltab	15	1	1	extra-summ		10	20	skill	Summon Spirit Wolf	7	7	skill	Summon Fenris	7	7						0
Sub Sanity	53	100	1			3	1	60	60	aam	Amulet		12	40000	cblu	cblu						ass		2	2	dmg%		50	100	skilltab	20	1	1	skill	Fade	4	4	skill	Quickness	4	4	skill	Shade Armor	4	4	hit-skill	Amplify Damage	5	30	dex		20	20	enr		20	20	vit		20	20										0
Plague's Last Arrowhead	54	0	1			1	1	75	75	zam	Amulet		12	40000	cgrn	cgrn						ama		1	1	res-all		30	50	manasteal		10	15	swing1		30	30	mag%		35	50	addxp		5	5	all-stats		25	40	res-all-max		2	5	allskills		1	1	hit-skill	Static Field	2	35										0
The Mistress' Leather Collar	55	0	1			1	1	75	75	sam	Amulet		12	40000	dgrn	dgrn						sor		1	1	res-all		30	50	regen-mana		100	150	cast1		30	30	mag%		35	50	addxp		5	5	all-stats		25	40	res-all-max		2	5	allskills		1	1	hit-skill	Static Field	2	35										0
The Cursed Donut	56	0	1			1	1	75	75	nam	Amulet		12	40000	blac			invcurseddonut				nec		1	1	res-all		30	50	regen-mana		100	150	cast1		30	30	mag%		35	50	addxp		5	5	all-stats		25	40	res-all-max		2	5	allskills		1	1	hit-skill	Static Field	2	35										0
BlackKnight's Holy Signet	57	0	1			1	1	75	75	pam	Amulet		12	40000	dblu	dblu						pal		1	1	res-all		30	50	lifesteal		10	15	balance1		30	30	mag%		35	50	addxp		5	5	all-stats		25	40	res-all-max		2	5	allskills		1	1	hit-skill	Static Field	2	35										0
Smaqdoun's Painful Pride	58	0	1			1	1	75	75	bam	Amulet		12	40000	blac	blac						bar		1	1	res-all		30	50	lifesteal		10	15	swing1		30	30	mag%		35	50	addxp		5	5	all-stats		25	40	res-all-max		2	5	allskills		1	1	hit-skill	Static Field	2	35										0
Yagul's Bloody Rage	59	100	1			1	1	75	75	dam	Amulet		12	40000	cred	cred						dru		1	1	res-all		30	50	regen		100	150	balance1		30	30	mag%		35	50	addxp		5	5	all-stats		25	40	res-all-max		2	5	allskills		1	1	hit-skill	Static Field	2	35										0
Dweia's Revenge	60	100	1			1	1	75	75	aam	Amulet		12	40000	dpur	dpur						ass		1	1	res-all		30	50	regen		100	150	swing1		30	30	mag%		35	50	addxp		5	5	all-stats		25	40	res-all-max		2	5	allskills		1	1	hit-skill	Static Field	2	35										0
Jindujun	61	100	1			5	1	45	40	jew	Jewel		7	20000	lblu	lblu						move3		30	30	dex		25	30	block		1	1	swing2		30	30	cast2		30	30																														0
Bohemian Stone	62	100	1			5	1	50	45	jew	Jewel		9	30000	cgrn	cgrn						dmg-pois	25	7680	10240	red-dmg%		1	3	pierce-pois		4	5	hit-skill	Poison Nova	1	40																																		0
Icestorm Shard	63	100	1			5	1	55	50	jew	Jewel		9	30000	cblu	cblu						dmg-cold	125	150	225	hit-skill	Glacial Spike	1	40	pierce-cold		4	5	regen-mana		20	30																																		0
Lady Eboshi's Greed	64	100	1			5	1	50	45	jew	Jewel		8	25000	dyel	dyel						gold%		1	100	mag%		1	100	lifesteal		5	8	manasteal		5	8																																		0
Salamander Stone	65	100	1			5	1	55	50	jew	Jewel		9	30000	dred	dred						regen		25	50	dmg-fire		175	225	hit-skill	Nova	1	40	pierce-fire		4	5																																		0
Nexus Star	66	100	1			5	1	50	45	jew	Jewel		8	25000	lgld	lgld						res-all		20	20	res-all-max		1	1	hit-skill	Poison Mastery	1	26	dmg-mag		100	200																																		0
Smiiiff Stone	67	100	1			5	1	60	55	jew	Jewel		10	35000	dgry	dgry						ama		0	1	ass		0	1	bar		0	1	dru		0	1	nec		0	1	sor		0	1	pal		0	1	ease		-1	-5																		0
Larias' Licentious Lament	68	100	1			5	1	60	55	jew	Jewel		10	35000	lyel	lyel						strpercent		1	5	dexpercent		1	5	vitpercent		1	5	enepercent		1	5	str		1	20	dex		1	20	vit		1	20	enr		1	20																		0
Sescheronya's Spark	69	100	1			5	1	55	50	jew	Jewel		9	30000	whit	whit						dmg-ltng		1	400	hit-skill	Static Field	1	40	pierce-ltng		4	5	hp		5	20	mana		5	20																														0
Ideal Craft	70	100	1			5	1	45	40	jew	Jewel		7	20000	dred							swing2		15	30	dmg%		40	75	att%		25	50	ease		25	50	mana		-20	-40																														0
Frozen Apocalypse	71	100	1			1	1	92	50	jew	Jewel		10	40000	dblu			invfrozenapocalypse				oskill	370	1	1	allskills		1	1	pierce-cold		4	8	abs-cold%		1	2	regen-mana		10	100	levelreq		20	20																										0
Infernal Gemstone	72	100	1			1	1	92	50	jew	Jewel		10	40000	dred			invinfernalgemstone				oskill	Fire Mastery	1	1	allskills		1	1	pierce-fire		4	8	abs-fire%		1	2	regen		20	200	levelreq		20	20																										0
Electrifying Vortex	73	100	1			1	1	92	50	jew	Jewel		10	40000	cblu			invelectrifyingvortex				oskill	Lightning Mastery	1	1	allskills		1	1	pierce-ltng		4	8	abs-ltng%		1	2	mag%		10	80	levelreq		20	20																										0
Intoxicating Crystal	74	100	1			1	1	92	50	jew	Jewel		10	40000	dgrn			invintoxicatingcrystal				oskill	Poison Mastery Passive	1	1	allskills		1	1	pierce-pois		4	8	res-pois-max		1	3	res-pois		10	30	gold%		10	80	levelreq		20	20																						0
Celestial Shard	75	100	1			1	1	92	50	jew	Jewel		10	40000	whit			invcelestialshard				oskill	Poison Mastery	1	15	allskills		1	1	extra-mag2		20	20	red-mag		10	40	dmg-mag		175	225	levelreq		20	20																										0
Demonic Voidstone	76	100	1			1	1	92	50	jew	Jewel		10	40000	blac			invdemonicvoidstone				oskill	Claw Mastery	1	10	allskills		1	1	dmg-norm		10	20	red-dmg%		1	8	deadly		2	12	levelreq		20	20	extra-wind		20	20																						0
Kenji's Winged Arrows	77	0	1			8	1	25	18	aq2	Arrows		8	20000	oran	oran						allskills		1	1	rep-quant	100			dmg%		10	10	swing1		30	30	att		100	100	dex		10	10	enr		10	10																						0
Delthanes' Enchanted Bolts	78	0	1			8	1	25	18	cq2	Bolts		8	20000	blac	blac						allskills		1	1	rep-quant	100			mag%		25	75	dmg-mag		95	105	dmg-ltng		1	150	dmg-cold	100	50	100	dmg-fire		75	125																						0
Sting of the Scorpion King	79	0	1			6	1	35	28	aq2	Arrows		8	20000	lgrn	lgrn						allskills		1	1	rep-quant	100			oskill	Venom	10	20	swing1		50	50	att		300	500	pierce-pois		10	15	enepercent		10	15	pierce		50	50	kill-skill	Poison Mastery	5	6														0
Pandora's Quiver	80	0	1			6	1	35	28	cq2	Bolts		8	20000	bwht	bwht						allskills		1	1	rep-quant	100			mag%		50	100	gold%		50	100	kill-skill	Freezing Arrow	5	30	kill-skill	Ice Arrow	5	30	kill-skill	Immolation Arrow	5	30	kill-skill	Fire Arrow	5	30	hit-skill	Lower Resist	5	16	enr		-30	-30	regen		-100	-100						0
Quiver of Prince Ashitaka	81	0	1			4	1	40	36	aq2	Arrows		10	30000	cblu	cblu						allskills		1	1	rep-quant	100			skilltab	0	1	1	dmg-demon		150	150	crush		10	10	deadly		10	10	dex		10	10	skill	Evade	2	2	rip		1	1	dmg-norm		15	25	dmg-undead		150	150						0
Casca's Deadly Bolts	82	0	1			4	1	40	36	cq2	Bolts		10	30000	cred	cred						allskills		1	1	rep-quant	100			skilltab	0	1	1	swing1		25	25	str		50	50	dmg-ac		-10	-10	hit-skill	Amplify Damage	5	30	att		100	100	dmg/lvl	3																0
Arrows of the Ice Queen	83	0	1			3	1	50	45	aq2	Arrows		10	30000	dblu	dblu						allskills		1	2	rep-quant	100			dex		25	50	dmg-cold	250	300	400	dmg-cold/lvl	48			pierce-cold		10	20	oskill	Cold Arrow	5	10	oskill	370	1	1	mana-kill		10	30														0
Infernal Apocalypse	84	0	1			3	1	50	45	cq2	Bolts		10	30000	dred	dred						allskills		2	2	rep-quant	100			swing1		40	40	str		25	50	dex		25	50	dmg-fire		400	500	hit-skill	Lower Resist	2	26	pierce-fire		10	20	dmg-fire/lvl	48			kill-skill	Rain of Fire	5	50										0
Legolas' Quiver	85	0	1			2	1	55	54	aq2	Arrows		12	40000	cgrn	cgrn						allskills		2	2	rep-quant	100			dmg%		50	100	swing1		20	20	dmg-demon		300	300	crush		33	33	oskill	Pierce	3	3	dex		50	50	dexpercent		10	20	deadly		33	33										0
Borgoff's Bolts	86	0	1			2	1	55	54	cq2	Bolts		12	40000	bwht	bwht						allskills		2	2	rep-quant	100			pierce		100	100	swing3		30	30	oskill	Strafe	5	10	vit		40	50	hp%		20	30	strpercent		10	20	dmg-norm		30	40														0
Tanaris' Judgement	87	0	1			1	1	92	70	aq2	Arrows		12	40000	lyel	lyel						rep-quant	100			kill-skill	Judgement	5	40	hit-skill	Ice Arrow	1	60	dmg-ltng		1	1500	oskill	Pierce	1	15	pierce-ltng		20	30	dmg-ltng/lvl	80			enepercent		1	40	res-ltng		50	100	res-ltng-max		1	10	regen		1000	1000						0
Daedalus' Bolts	88	0	1			1	1	92	70	cq2	Bolts		12	40000	dred	dred						rep-quant	100			pierce		100	100	deadly		100	100	crush		50	50	swing2		-50	-50	kill-skill	Multiple Shot	15	30	strpercent		10	100	hit-skill	Arrow Hit Skill	10	30																		0
Hijikata's Heart-blood	89	100	1			1	1	10	12	cix	Hachigane		6	10000	blac	blac						tinkerflag2		25	35	ac%		300	400	lifesteal		6	8	oskill	Sword Mastery	1	3	oskill	Critical Strike	1	3	addxp		3	5	balance1		20	20	mana/lvl	6			red-dmg%		10	10														0
The Diamond Hairband	90	100	1			1	1	20	30	ci0	Circlet		7	15000	bwht			invci0				tinkerflag2		25	35	res-all		15	30	red-dmg		5	10	red-mag		4	8	ac/lvl	16			gold%		25	125	mag%		25	125																						0
Zan-Esus' Commitment	91	100	1			1	1	40	40	ci1	Coronet		9	25000	cblu	cblu						tinkerflag2		25	35	allskills		1	1	cast3		20	30	mana%		40	40	hp		30	60	oskill	Warmth	2	4	sock		2	2	dmg%		100	100																		0
Lunar Charm	92	100	1			1	1	50	60	ci2	Tiara		10	30000	lgry			invlunarcharm				tinkerflag2		25	35	ac%		200	400	dmg-demon		150	200	dmg-undead		150	200	res-all		45	55	manasteal		6	9	move3		25	35	extra-mag2		10	30	allskills		2	2	rip		1	1	addxp		4	4						0
Heart of Jewels	93	100	1			1	1	60	70	ci3	Diadem		11	35000	lpur	lpur		invci3				tinkerflag2		25	35	res-all		30	40	res-all-max		3	5	allskills		2	2	all-stats		10	20	gold%		75	150	mag%		75	150	cast3		40	40	red-mag		10	20	addxp		5	5	sock		2	2						0
Krok's Basher	94	0	1			1	1	4	5	hax	Hand Axe		6	10000	dyel	dyel		invhaxu				tinkerflag2		25	35	dmg%		125	200	crush		10	30	swing1		15	15	dmg/lvl	8			res-pois-len		50	50	res-all		10	10	oskill	Sacrifice	1	1	att		60	60	att/lvl	4												0
Treefeller	95	0	1			1	1	12	9	axe	Axe		7	15000	dgrn	dgrn		invaxeu				tinkerflag2		25	35	dmg%		150	200	crush		15	25	swing1		30	30	skill	Sword Mastery	2	3	red-dmg		4	4	dmg/lvl	8																								0
The Skeleton Hunter	96	0	1			1	1	20	15	2ax	Double Axe		8	20000	whit	whit		invmpiu				tinkerflag2		25	35	dmg%		75	100	dmg-undead		200	200	att-undead		100	100	res-all		15	30	hp		25	50	hit-skill	Holy Bolt	25	6	res-mag		25	25	dmg/lvl	10			dmg-und/lvl	24			att-und/lvl	3								0
High General's Pick	97	0	1			1	1	28	21	mpi	Military Pick		8	20000	dred	dred		invmpiu				tinkerflag2		25	35	dmg%		140	180	stupidity		1	1	swing2		30	30	stamdrain		35	50	dmg/lvl	8			att/lvl	4			allskills		1	1	deadly		25	25														0
