Stat	*ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	advdisplay	*eol
coldresist	43		1	9											43	20		8	0	9	200																40	19		ModStr1k	ModStr1k		2	19		strModAllResistances	strModAllResistances				0
maxcoldresist	44		1	9											584	256		5	0	5	0																44	19		ModStr5v	ModStr5v										0
poisonresist	45		1	9											43	20		8	0	9	200																34	19		ModStr1n	ModStr1n		2	19		strModAllResistances	strModAllResistances				0
maxpoisonresist	46		1	9											526	256		5	0	5	10																45	19		ModStr5y	ModStr5y										0
damageaura	47		1	16																																															0
firemindam	48		1	16											11	10		11	0	11	0											1					102	19		ModStr1p	ModStr1p									2	0
firemaxdam	49		1	16											19	10		12	0	13	0											1					101	19		ModStr1o	ModStr1o									2	0
lightmindam	50		1	16											12	10		11	0	8	0											1					99	19		ModStr1r	ModStr1r									2	0
lightmaxdam	51		1	16											17	10		12	0	14	0											1					98	19		ModStr1q	ModStr1q									2	0
magicmindam	52		1	16											196	20		11	0	11	0											1					104	19		strModMagicDamage	strModMagicDamage									2	0
magicmaxdam	53		1	16											183	20		12	0	13	0											1					103	19		strModMagicDamage	strModMagicDamage									2	0
coldmindam	54		1	16											451	512		11	0	11	0											1					96	19		ModStr1t	ModStr1t									2	0
coldmaxdam	55		1	16											128	340		12	0	13	0											1					95	19		ModStr1s	ModStr1s									2	0
coldlength	56		1	16											77	4		8	0	8	0											1																		2	0
poisonmindam	57		1	19											12	28		9	0	16	0											1					92	19		ModStr4i	ModStr4i									2	0
poisonmaxdam	58		1	19											11	34		9	0	17	0											1					91	19		ModStr4h	ModStr4h									2	0
poisonlength	59		1	16											0	4		8	0	9	0											1																			0
lifedrainmindam	60		1	16											1044	341		7	0	7	0											1					88	19		ModStr2z	ModStr2z									2	0
lifedrainmaxdam	61		1	16																												1																			0
manadrainmindam	62		1	16											1179	341		7	0	7	0											1					89	19		ModStr2y	ModStr2y									2	0
manadrainmaxdam	63		1	16																												1																			0
stamdrainmindam	64		1	16																												1																			0
stamdrainmaxdam	65		1	16																												1																			0
stunlength	66			16																												1																			0
velocitypercent	67	1	1	10		1												8	50	8	50																														0
attackrate	68	1	1	10		1												8	50	8	50											1																			0
other_animrate	69	1	1	10		1																																													0
quantity	70		1	16																												1																			0
value	71		1	9														8	100	8	100																														0
durability	72		1	9														8	0	9	0									1	maxdurability																				0
maxdurability	73		1	9											9	4		8	0	8	0																														0
hpregen	74														451	410		12	1000	12	1000																56	19		ModStr2l	ModStr2w									2	0
item_maxdurability_percent	75		1	7											117	10		7	20	7	20			13			maxdurability										3	19		ModStr2i	ModStr2i										0
item_maxhp_percent	76		1	16											2500	204		8	100	8	100			11			maxhp	item_hp_perlevel									58	19		ModStr2g	ModStr2g										0
item_maxmana_percent	77		1	16											2500	204		8	100	8	100			11			maxmana	item_mana_perlevel									54	19		ModStr2h	ModStr2h										0
item_attackertakesdamage	78		1	16							1				112	128		11	0	11	0												attackedinmelee	6	damagedbymissile	6	13	19		ModStr1v	ModStr1v									2	0
item_goldbonus	79		1	16											187	34		10	100	10	100																10	19		ModStr1w	ModStr1w									2	0
item_magicbonus	80		1	16											577	102		10	100	10	100																8	19		ModStr1x	ModStr1x									2	0
item_knockback	81		1	8							1				105	0		7	0	7	0											1	domeleedamage	7	domissiledamage	7	76	19		ModStr1y	ModStr1y									2	0
item_timeduration	82		1	10														9	20	9	20																														0
item_addclassskills	83		1	6	3						1				49523	1560		5	0	5	0	3															150	13		ModStr3a	ModStr3a										0
unsentparam1	84																	3	0																																0
item_addexperience	85		1	9											36015	519		3	0	9	100																11	19		Moditem2ExpG	Moditem2ExpG									2	0
item_healafterkill	86		1	7							1				30	101		3	0	8	0												kill	28			16	19		ModitemHPaK	ModitemHPaK									2	0
item_reducedprices	87			8											18957	203		3	0	7	0																8	19		ModitemRedVendP	ModitemRedVendP									2	0
item_doubleherbduration	88		1	2														1	0	1	0																														0
item_lightradius	89		1	7							1				15	51		6	20	6	20																6	19		ModStr3f	ModStr3f									2	0
item_lightcolor	90		1	24							1				155	0		5	0	24	0																														0
item_req_percent	91		1	11											26	-34		10	100	10	100																0	19		ModStr3h	ModStr3h										0
item_levelreq	92		1															10	100	10	100																0	19		moditemreqflat	moditemreqflat										0
item_fasterattackrate	93	1	1	10											1042	156		9	150	9	150											1					145	19		ModStr4m	ModStr4m									2	0
item_levelreqpct	94																	7	20	7	64			13			item_levelreq																								0
lastblockframe	95																	6	20																																0
item_fastermovevelocity	96	1	1	9											4083	156		9	100	9	100																148	19		ModStr4s	ModStr4s									2	0
item_nonclassskill	97		1	16	11						1			1	181	327		7	20	7	20	11															81	28		ItemModifierNonClassSkill	ItemModifierNonClassSkill										0
state	98	1		1	8						1				415	64		6	20	1		8																													0
item_fastergethitrate	99	1	1	9											1065	72		8	100	8	100																139	19		ModStr4p	ModStr4p									2	0
monster_playercount	100																	7	20																																0
skill_poison_override_length	101			8														6	20																																0
item_fasterblockrate	102	1	1	9											1484	72		8	100	8	100																136	19		ModStr4y	ModStr4y									2	0
skill_bypass_undead	103			1														7	20	1	0																298	19		ignoreundeadphysicalresist	ignoreundeadphysicalresist										0
skill_bypass_demons	104			1														6	20	1	0																298	19		ignoredemonphysicalresist	ignoredemonphysicalresist										0
item_fastercastrate	105	1	1	10											3876	156		9	100	9	100																142	19		ModStr4v	ModStr4v									2	0
skill_bypass_beasts	106			1														7	20	1	0																298	19		ignorebeastphysicalresist	ignorebeastphysicalresist										0
item_singleskill	107		1	16	11						1			1	181	256		14	0	7	0	11															81	27		ItemModifierClassSkill	ItemModifierClassSkill										0
item_restinpeace	108			1							1				1987	0		14	0	1	0											1	kill	29			81	19		ModitemSMRIP	ModitemSMRIP									2	0
curse_resistance	109			9											159	33		14	0	9	0																18	19		StrSkill184	StrSkill184									2	0
item_poisonlengthresist	110		1	9											27	10		8	20	8	20																18	19		ModStr3r	ModStr3r									2	0
item_normaldamage	111		1	16											94	100		11	100	11	100											1					122	19		ModStr5b	ModStr5b										0
item_howl	112		1	8							1				55	10		7	-1	7	-1											1	domeleedamage	8	domissiledamage	8	79	5		ModStr3u	ModStr3u									2	0
item_stupidity	113		1	8							1				332	1024		7	0	7	0											1	domeleedamage	9	domissiledamage	9	80	12	2	ModStr6d	ModStr6d									2	0
item_damagetomana	114		1	7							1				43	20		10	100	10	100												damagedinmelee	13	damagedbymissile	13	11	19		ModStr3w	ModStr3w									2	0
item_ignoretargetac	115		1	2											1088	1024		1	0	1	0											1					119	19		ModStr3y	ModStr3y									2	0
item_fractionaltargetac	116		1	10											67	20		9	100	9	100											1					118	19		ModStr5o	ModStr5o									2	0
item_preventheal	117		1	8											48	50		7	0	7	0											1					81	19		ModStr4a	ModStr4a									2	0
item_halffreezeduration	118		1	2											5096	988		1	0	1	0																19	19		ModStr4b	ModStr4b									2	0
item_tohit_percent	119		1	12											981	40		10	500	10	500											1					117	19		ModStr4c	ModStr4c										0
item_damagetargetac	120		1	10											24	-20		9	200	9	200											1					75	19		ModStr4d	ModStr4d									2	0
item_demondamage_percent	121		1	12											19	12		11	1000	11	1000											1					112	19		ModStr4e	ModStr4e									2	0
item_undeaddamage_percent	122		1	12											13	12		11	1000	11	1000											1					108	19		ModStr4f	ModStr4f									2	0
item_demon_tohit	123		1	13											15	7		11	1000	11	1000											1					110	19		ModStr4j	ModStr4j										0
item_undead_tohit	124		1	13											11	7		11	1000	11	1000											1					106	19		ModStr4k	ModStr4k										0
item_throwable	125		1	2											82	1024		1	0	1	0																5	19		ModStr5a	ModStr5a										0
item_elemskill	126		1	8	4						1				76	1024		6	20	6	20	4																													0
item_allskills	127		1	8							1				15123	4096		6	20	6	20																158	19		ModStr3k	ModStr3k										0
item_attackertakeslightdamage	128		1	16							1				4	102		11	0	11	0												damagedinmelee	10			14	19		ModStr3j	ModStr3j									2	0
ironmaiden_level	129		1	10																																															0
lifetap_level	130		1	10																																															0
thorns_percent	131			12																																															0
bonearmor	132		1	32																																															0
bonearmormax	133		1	32																																															0
item_freeze	134		1	5							1				666	12		5	0	5	0											1	domeleedamage	14	domissiledamage	14	78	12	2	ModStr3l	ModStr3l									2	0
item_openwounds	135		1	10							1				23	10		9	100	9	100											1	domeleedamage	15	domissiledamage	15	83	19		ModStr3m	ModStr3m									2	0
item_crushingblow	136		1	10							1				98	40		9	100	9	100											1	domeleedamage	16	domissiledamage	16	87	19		ModStr5c	ModStr5c									2	0
item_kickdamage	137		1	10											77	51		10	100	10	100																121	19		ModStr5e	ModStr5e										0
item_manaafterkill	138		1	10							1				17	102		10	500	10	500												kill	17			16	19		ModStr5f	ModStr5f									2	0
item_healafterdemonkill	139		1	10							1				18	102		10	500	10	500												kill	18			15	19		ModStr6c	ModStr6c									2	0
item_extrablood	140		1	7											15	10		9	100	9	100											1																			0
item_deadlystrike	141		1	10											31	25		9	100	9	100											1					85	19		ModStr5q	ModStr5q									2	0
item_absorbfire_percent	142		1	7											5486	102		7	0	7	0																23	19		ModStr5g	ModStr5g		5	19		strModAbsorbElemental	strModAbsorbElemental			2	0
item_absorbfire	143		1	7											1739	204		7	0	7	0																27	19		ModStr5h	ModStr5h									2	0
item_absorblight_percent	144		1	7											5486	102		7	0	7	0																24	19		ModStr5i	ModStr5i		5	19		strModAbsorbElemental	strModAbsorbElemental			2	0
item_absorblight	145		1	7											1739	204		7	0	7	0																29	19		ModStr5j	ModStr5j									2	0
item_absorbmagic_percent	146		1	7											5486	102		7	0	7	0																26	19		ModStr5k	ModStr5k									2	0
item_absorbmagic	147		1	7											1739	204		7	0	7	0																33	19		ModStr5l	ModStr5l									2	0
item_absorbcold_percent	148		1	7											5486	102		7	0	7	0																25	19		ModStr5m	ModStr5m		5	19		strModAbsorbElemental	strModAbsorbElemental			2	0
item_absorbcold	149		1	7											1739	204		7	0	7	0																31	19		ModStr5n	ModStr5n									2	0
item_slow	150		1	7							1				101	40		7	0	7	0											1	domeleedamage	19	domissiledamage	19	77	19		ModStr5r	ModStr5r									2	0
item_aura	151		1								1							7	0	7	0	11															159	16	0	ModitemAura	ModitemAura									2	0
item_indesctructible	152		1	1														7	0	1																	160	19		ModStre9s	ModStre9s										0
item_cannotbefrozen	153		1	2											15011	2048		1		1																	20	19		ModStr5z	ModStr5z									2	0
item_staminadrainpct	154		1	7											102	20		7	20	7	20											1					49	19		ModStr6e	ModStr6e									2	0
item_reanimate	155			7	11						1							7	0	7	0	11										1	kill	31			17	23		Moditemreanimas	Moditemreanimas									2	0
item_pierce	156		1	9											1924	2048		9	100	9	100											1					132	19		ModStr6g	ModStr6g									2	0
item_magicarrow	157		1	7											511	1024		7	0	7	0																131	19		ModStr6h	ModStr6h										0
item_explosivearrow	158		1	7											492	1536		7	0	7	0																133	19		ModStr6i	ModStr6i										0
item_throw_mindamage	159		1	10											76	128		8	0	8	0											1																			0
item_throw_maxdamage	160		1	10											88	128		8	0	8	0											1																			0
skill_handofathena	161		1	12																																															0
skill_staminapercent	162		1	13																				1			maxstamina																								0
skill_passive_staminapercent	163		1	12																				1			maxstamina																								0
skill_concentration	164		1	12																																															0
skill_enchant	165		1	12																																															0
skill_pierce	166		1	12	16																																132	19		skillpiercingattack	skillpiercingattack									2	0
skill_conviction	167		1	12																																															0
skill_chillingarmor	168		1	12																																															0
skill_frenzy	169		1	12																																															0
skill_decrepify	170		1	12																																															0
skill_armor_percent	171		1	16																																															0
alignment	172	1		2																																															0
target0	173			32																																															0
target1	174			32																																															0
goldlost	175			24																																															0
conversion_level	176			8																																															0
conversion_maxhp	177			16																																															0
unit_dooverlay	178			16																																															0
attack_vs_montype	179			9	10										19	14		3	0	9		10										1					108	22		ModitemAttratvsM	ModitemAttratvsM										0
damage_vs_montype	180			9	10										27	17		3	0	9		10										1					106	22		Moditemdamvsm	Moditemdamvsm										0
fade	181	1		7														14	0	3																															0
armor_override_percent	182	1	1	10														14	0	10	100																														0
junk_01	183		1	16												0				12	0																99	3	2	jr1	jr1										0
junk_02	184		1	16												0				12	0																98	3	2	jr2	jr2										0
junk_03	185		1	16												0				12	0																97	3	2	jr3	jr3										0
junk_04	186		1	16												0				12	0																96	3	2	jr4	jr4										0
junk_05	187		1	16												0				12	0																95	3	2	jr5	jr5										0
item_addskill_tab	188		1	3	6						1				11042	768		10	0	3	0	16															151	14		StrSklTabItem1	StrSklTabItem1										0
junk_06	189		1	16												0				12	0																94	3	2	jr6	jr6										0
item_tinkerflag	190		1	4												0				4	0																			Tinker	Tinker										0
item_magic_damagemax_perlevel	191		1	16											1078	170				10	0			2	3	level	magicmaxdam					1					100	19		magicmaxdamagedesc	magicmaxdamagedesc	increaseswithplaylevelX									0
passive_mag_pierce	192		1	14											0	1024				14	0																88	19		Moditemenresmagsk	Moditemenresmagsk										0
vitality_hidden	193		1	11																10	928			9			hpregen																								0
item_numsockets	194		1	4											38	170		4	0	4	0																														0
item_skillonattack	195		1	10	20						1			2	190	256		21	0	8	0	18										1	domeleeattack	20	domissileattack	20	160	15		ItemExpansiveChancX	ItemExpansiveChancX									2	0
item_skillonkill	196		1	10	20						1			2	85	19		21	0	8	0	18										1	kill	30			160	15		ModitemskonKill	ModitemskonKill									2	0
item_skillondeath	197		1	10	20						1			2	11	9		21	0	8	0	18											killed	30			160	15		Moditemskondeath	Moditemskondeath									2	0
item_skillonhit	198		1	10	20						1			2	190	256		21	0	8	0	18										1	domeleedamage	20	domissiledamage	20	160	15		ItemExpansiveChanc1	ItemExpansiveChanc1									2	0
item_skillonlevelup	199		1	10	20						1			2	7	6		21	0	8	0	18											levelup	30			160	15		ModitemskonLevel	ModitemskonLevel									2	0
item_charge_noconsume	200			7											106	256				7	0																159	19		ModStr6k	ModStr6k									2	0
item_skillongethit	201		1	10	20						1			2	190	256		21	0	8	0	18											damagedinmelee	21	damagedbymissile	21	160	15		ItemExpansiveChanc2	ItemExpansiveChanc2									2	0
item_craftflag	202		1	10												0				10	0																163	3	0	Forged Equ	Unforgeable										0
item_randomize	203		1	10												0				10	0																														0
item_charged_skill	204		1	30							1			3	401	256		30	0	16	0	18															1	24		ModStre10d	ModStre10d										0
item_noconsume	205		1	8											106	256				8	0											1					4	19		ModStr6j	ModStr6j									2	0
passive_mastery_noconsume	206		1	9	16															8	0																														0
passive_mastery_replenish_oncrit	207		1	9	16															8	0																														0
gem_g	208		1	16												0				16	0																5	3	2	gsg2	gsg2										0
gem_r	209		1	16												0				16	0																4	3	2	gsr2	gsr2										0
gem_w	210		1	16												0				16	0																3	3	2	gsw2	gsw2										0
gem_s	211		1	16												0				16	0																2	3	2	sku	sku										0
gem_k	212		1	16												0				16	0																1	3	2	gsk	gsk										0
item_fear	213		1	8							1				75	5				7	-1												damagedinmelee	8			79	5	2	ModStr3u2	ModStr3u2										0
item_armor_perlevel	214		1	16											43	42		6	0	10	0			4	3	level	armorclass										72	19		ModStr1i	ModStr1i	increaseswithplaylevelX									0
item_armorpercent_perlevel	215		1	16											87	100		6	0	10	0			5	3	level	armorclass										73	19		Modstr2v	Modstr2v	increaseswithplaylevelX									0
item_hp_perlevel	216		1	16											92	64	8	6	0	10	0			2	3	level	maxhp										57	19		ModStr1u	ModStr1u	increaseswithplaylevelX									0
item_mana_perlevel	217		1	16											90	128	8	6	0	10	0			2	3	level	maxmana										53	19		ModStr1e	ModStr1e	increaseswithplaylevelX									0
item_maxdamage_perlevel	218		1	16											54	204		9	0	10	0			4	3	level	maxdamage	secondary_maxdamage	item_throw_maxdamage			1					125	19		ModStr1f	ModStr1f	increaseswithplaylevelX									0
item_maxdamage_percent_perlevel	219		1	16											86	100		9	0	10	0			5	3	level	maxdamage	secondary_maxdamage	item_throw_maxdamage			1					128	19		ModStr2j	ModStr2j	increaseswithplaylevelX									0
item_strength_perlevel	220		1	16											132	128		9	0	10	0			2	3	level	strength										66	19		ModStr1a	ModStr1a	increaseswithplaylevelX									0
item_dexterity_perlevel	221		1	16											132	128		9	0	10	0			2	3	level	dexterity										64	19		ModStr1b	ModStr1b	increaseswithplaylevelX									0
item_energy_perlevel	222		1	16											105	128		9	0	10	0			2	3	level	energy										60	19		ModStr1d	ModStr1d	increaseswithplaylevelX									0
item_vitality_perlevel	223		1	16											105	128		9	0	10	0			2	3	level	vitality										62	19		ModStr1c	ModStr1c	increaseswithplaylevelX									0
item_tohit_perlevel	224		1	16											53	20		10	0	10	0			2	1	level	tohit					1					114	19		ModStr1h	ModStr1h	increaseswithplaylevelX									0
item_tohitpercent_perlevel	225		1	16											10	256		10	0	10	0			2	1	level	item_tohit_percent					1					116	19		ModStr4c	ModStr4c	increaseswithplaylevelX									0
item_cold_damagemax_perlevel	226		1	16											1058	340		12	0	10	0			2	3	level	coldmaxdam					1					94	19		ModStr1s	ModStr1s	increaseswithplaylevelX									0
item_fire_damagemax_perlevel	227		1	16											49	128		12	0	10	0			2	3	level	firemaxdam					1					100	19		ModStr1o	ModStr1o	increaseswithplaylevelX									0
item_ltng_damagemax_perlevel	228		1	16											49	128		12	0	10	0			2	3	level	lightmaxdam					1					97	19		ModStr1q	ModStr1q	increaseswithplaylevelX									0
item_pois_damagemax_perlevel	229		1	16											49	128		12	0	10	0			2	3	level	poisonmaxdam					1					90	19		ModStr4h	ModStr4h	increaseswithplaylevelX									0
item_resist_cold_perlevel	230		1	6											101	128		6	0	6	0			2	3	level	coldresist										39	19		ModStr1k	ModStr1k	increaseswithplaylevelX									0
item_resist_fire_perlevel	231		1	6											101	128		6	0	6	0			2	3	level	fireresist										35	19		ModStr1j	ModStr1j	increaseswithplaylevelX									0
item_resist_ltng_perlevel	232		1	6											101	128		6	0	6	0			2	3	level	lightresist										37	19		ModStr1l	ModStr1l	increaseswithplaylevelX									0
item_resist_pois_perlevel	233		1	6											101	128		6	0	6	0			2	3	level	poisonresist										33	19		ModStr1n	ModStr1n	increaseswithplaylevelX									0
item_absorb_cold_perlevel	234		1	6											207	340		6	0	6	0			2	3	level	item_absorbcold										32	19		ModStre9p	ModStre9p	increaseswithplaylevelX								2	0
item_absorb_fire_perlevel	235		1	6											207	340		6	0	6	0			2	3	level	item_absorbfire										28	19		ModStre9o	ModStre9o	increaseswithplaylevelX								2	0
item_absorb_ltng_perlevel	236		1	6											207	340		6	0	6	0			2	3	level	item_absorblight										30	19		ModStre9q	ModStre9q	increaseswithplaylevelX								2	0
item_absorb_pois_perlevel	237		1	6											207	340		6	0	6	0			2	3	level	item_absorbmagic																							2	0
item_thorns_perlevel	238		1	16											55	256		6	0	10	0			2	3	level	item_attackertakesdamage										12	19		ModStr1v	ModStr1v	increaseswithplaylevelX									0
item_find_gold_perlevel	239		1	16											42	256		6	0	6	0			2	3	level	item_goldbonus										9	19		ModStr1w	ModStr1w	increaseswithplaylevelX								2	0
item_find_magic_perlevel	240		1	16											814	1024		6	0	6	0			2	3	level	item_magicbonus										7	19		ModStr1x	ModStr1x	increaseswithplaylevelX								2	0
item_regenstamina_perlevel	241		1	16											79	256		6	0	7	0			2	3	level	staminarecoverybonus										47	19		ModStr3v	ModStr3v	increaseswithplaylevelX								2	0
item_stamina_perlevel	242		1	16											104	64		6	0	7	0			2	3	level	maxstamina										50	19		ModStr5d	ModStr5d	increaseswithplaylevelX									0
item_damage_demon_perlevel	243		1	16											56	10		6	0	7	0			2	3	level	item_demondamage_percent					1					111	19		ModStr4e	ModStr4e	increaseswithplaylevelX								2	0
item_damage_undead_perlevel	244		1	16											91	10		6	0	7	0			2	3	level	item_undeaddamage_percent					1					107	19		ModStr4f	ModStr4f	increaseswithplaylevelX								2	0
item_tohit_demon_perlevel	245		1	16											55	10		6	0	7	0			2	1	level	item_demon_tohit					1					109	19		ModStr4j	ModStr4j	increaseswithplaylevelX									0
item_tohit_undead_perlevel	246		1	16											12	10		6	0	7	0			2	1	level	item_undead_tohit					1					105	19		ModStr4k	ModStr4k	increaseswithplaylevelX									0
item_crushingblow_perlevel	247		1	16											213	1024		6	0	6	0			2	3	level	item_crushingblow					1					86	19		ModStr5c	ModStr5c	increaseswithplaylevelX								2	0
item_openwounds_perlevel	248		1	16											181	128		6	0	6	0			2	3	level	item_openwounds					1					82	19		ModStr3m	ModStr3m	increaseswithplaylevelX								2	0
item_kick_damage_perlevel	249		1	16											104	128		6	0	8	0			2	3	level	item_kickdamage					1					120	19		ModStr5e	ModStr5e	increaseswithplaylevelX									0
item_deadlystrike_perlevel	250		1	16											118	512		6	0	6	0			2	3	level	item_deadlystrike					1					84	19		ModStr5q	ModStr5q	increaseswithplaylevelX								2	0
item_meldflag	251		1	4												0				4	0																														0
item_replenish_durability	252		1	5											106	256		5	0	6	0																1	11		ModStre9t	ModStre9t										0
item_replenish_quantity	253		1	5											106	256		5	0	6	0																2	19		ModStre9v	ModStre9v										0
item_extra_stack	254		1												99	10		8	0	8	0																4	19		ModStre9i	ModStre9i										0
strengthpercent	255		1	8											1250	300				8	50			11			strength	item_strength_perlevel									40	19		strModStrengthPercent	strModStrengthPercent		3	19		strModAllAttributesPercent	strModAllAttributesPercent			2	0
dexteritypercent	256		1	8											1000	300				8	50			11			dexterity	item_dexterity_perlevel									40	19		strModDexterityPercent	strModDexterityPercent		3	19		strModAllAttributesPercent	strModAllAttributesPercent			2	0
vitalitypercent	257		1	8											1250	300				8	50			11			vitality	item_vitality_perlevel									40	19		strModVitalityPercent	strModVitalityPercent		3	19		strModAllAttributesPercent	strModAllAttributesPercent			2	0
energypercent	258		1	8											1000	300				8	50			11			energy	item_energy_perlevel									40	19		strModEnergyPercent	strModEnergyPercent		3	19		strModAllAttributesPercent	strModAllAttributesPercent			2	0
progressive_execute	259		1	3																																															0
passive_elemental_mastery	260		1	12											1117	415				9	50			11			passive_fire_mastery	passive_ltng_mastery	passive_cold_mastery																						0
gem_v	261		1	16												0				16	0																8	3	2	gsv2	gsv2										0
gem_y	262		1	16												0				16	0																7	3	2	gsy2	gsy2										0
gem_b	263		1	16												0				16	0																6	3	2	gsb2	gsb2										0
rune_01	264		1	14												0				12	0																50	3	2	r01	r01										0
passive_summ_elemental_resist	265		1	10											1000	300		8	0	9	100																88	19		summoningskillelementalresist	summoningskillelementalresist										0
passive_summ_life	266		1	10											1000	300		8	0	9	50																88	19		summoningskilllife	summoningskilllife										0
passive_summ_phys_resist	267		1	10											1000	300		8	0	9	50																88	19		summoningskillphysicalresist	summoningskillphysicalresist										0
item_skill_cooldown	268		1	10											1000	300		8	0	9	100																88	19		skillcooldownreduction	skillcooldownreduction										0
trap_limit	269		1	6											1000	300		6	0	6	5																298	19		traplimitpositive	traplimitpositive										0
passive_summ_limit	270		1	6											1000	300		6	0	6	5																298	19		maxsummons	maxsummons										0
twister_limit	271		1	12											1000	300		10	200	10	200																298	19		twisterlimit	twisterlimit										0
blade_nova_max_res	272		1	10											1000	300		6	0	6	5																298	19		bladenovamaxres	bladenovamaxres										0
tome_19	273		1	1												0				1	0																32	3	2	19a	19a										0
