Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
55	429	835	1241	429	982	1459	759	1404	2948	759	1404	2948	605	2346	4150	726	2346	5534	51	67	94	51	67	94	2837	8942	13413	2837	8942	13413
56	436	848	1261	436	998	1483	773	1427	2997	773	1427	2997	623	2416	4270	748	2416	5694	52	70	97	52	70	97	2941	9477	14216	2941	9477	14216
57	444	861	1279	444	1014	1505	787	1450	3047	787	1450	3047	640	2482	4444	768	2482	5924	52	70	97	52	70	97	3045	10044	15066	3045	10044	15066
58	452	874	1300	452	1029	1528	802	1474	3096	802	1474	3096	658	2552	4616	790	2552	6154	54	72	100	54	72	100	3149	10647	15971	3149	10647	15971
59	460	887	1319	460	1045	1552	816	1497	3146	816	1497	3146	608	2356	4309	730	2356	5745	51	68	95	51	68	95	3253	11286	16929	3253	11286	16929
60	468	902	1337	468	1060	1574	830	1521	3195	830	1521	3195	626	2419	4464	752	2419	5952	51	68	95	51	68	95	3357	11964	17946	3357	11964	17946
61	475	915	1358	475	1076	1597	845	1544	3244	845	1544	3244	645	2482	4620	774	2482	6159	53	71	98	53	71	98	3461	12680	19020	3461	12680	19020
62	483	928	1376	483	1092	1619	859	1567	3294	859	1567	3294	662	2541	4775	795	2541	6366	53	71	98	53	71	98	3565	13442	20163	3565	13442	20163
63	491	941	1396	491	1107	1643	873	1591	3343	873	1591	3343	680	2604	4930	817	2604	6573	54	72	100	54	72	100	3669	14249	21374	3669	14249	21374
64	499	954	1417	499	1123	1666	887	1614	3393	887	1614	3393	698	2664	5085	838	2664	6780	54	72	100	54	72	100	3773	15104	22656	3773	15104	22656
65	507	968	1435	507	1138	1688	902	1638	3442	902	1638	3442	715	2727	5241	858	2727	6987	56	74	103	56	74	103	3877	16010	24015	3877	16010	24015
66	514	981	1454	514	1154	1712	916	1661	3491	916	1661	3491	733	2788	5396	880	2788	7194	57	77	106	57	77	106	3981	16916	25374	3981	16916	25374
67	522	994	1474	522	1170	1734	930	1684	3541	930	1684	3541	750	2849	5551	901	2849	7401	57	77	106	57	77	106	4085	17822	26733	4085	17822	26733
68	530	1007	1493	530	1185	1757	945	1708	3590	945	1708	3590	769	2910	5706	923	2910	7608	58	78	109	58	78	109	4189	18728	28092	4189	18728	28092
69	538	1020	1514	538	1201	1781	959	1731	3640	959	1731	3640	700	2641	5211	840	2641	6947	55	74	104	55	74	104	4293	19634	29451	4293	19634	29451
70	546	1034	1532	546	1216	1803	973	1755	3689	973	1755	3689	718	2696	5348	862	2696	7131	55	74	104	55	74	104	4397	20540	30810	4397	20540	30810
71	553	1047	1552	553	1232	1826	988	1778	3738	988	1778	3738	735	2752	5486	883	2752	7315	57	76	105	57	76	105	4501	21446	32169	4501	21446	32169
72	561	1060	1571	561	1248	1848	1002	1801	3788	1002	1801	3788	753	2804	5624	904	2804	7499	57	76	105	57	76	105	4605	22352	33528	4605	22352	33528
73	569	1073	1591	569	1263	1872	1016	1825	3837	1016	1825	3837	771	2860	5763	926	2860	7683	58	78	107	58	78	107	4709	23258	34887	4709	23258	34887
74	577	1086	1610	577	1279	1895	1030	1848	3887	1030	1848	3887	789	2913	5900	947	2913	7867	59	79	110	59	79	110	4813	24164	36246	4813	24164	36246
75	585	1101	1630	585	1294	1917	1045	1872	3936	1045	1872	3936	806	2969	6038	968	2969	8051	59	79	110	59	79	110	4917	25070	37605	4917	25070	37605
76	592	1114	1649	592	1310	1940	1059	1895	3985	1059	1895	3985	823	3025	6176	988	3025	8235	61	81	113	61	81	113	5021	25976	38964	5021	25976	38964
77	600	1127	1669	600	1326	1963	1073	1918	4035	1073	1918	4035	842	3078	6315	1011	3078	8419	61	81	113	61	81	113	5125	26882	40323	5125	26882	40323
78	608	1140	1688	608	1341	1986	1088	1942	4084	1088	1942	4084	860	3134	6452	1032	3134	8603	62	83	115	62	83	115	5229	27788	41682	5229	27788	41682
79	616	1153	1708	616	1357	2009	1102	1965	4134	1102	1965	4134	767	2788	5766	921	2788	7688	58	78	109	58	78	109	5333	28694	43041	5333	28694	43041
80	624	1167	1727	624	1372	2031	1116	1989	4183	1116	1989	4183	785	2837	5887	942	2837	7849	58	78	109	58	78	109	5437	29600	44400	5437	29600	44400
81	631	1180	1747	631	1388	2055	1131	2012	4232	1131	2012	4232	802	2885	6008	963	2885	8010	60	80	111	60	80	111	5541	30506	45759	5541	30506	45759
82	639	1193	1765	639	1404	2077	1145	2035	4282	1145	2035	4282	818	2933	6129	982	2933	8171	60	80	111	60	80	111	5645	31412	47118	5645	31412	47118
83	647	1206	1786	647	1419	2100	1159	2059	4331	1159	2059	4331	835	2980	6249	1003	2980	8332	61	81	112	61	81	112	5749	32318	48477	5749	32318	48477
84	655	1219	1805	655	1435	2124	1173	2082	4381	1173	2082	4381	853	3028	6370	1024	3028	8493	61	81	112	61	81	112	5853	33224	49836	5853	33224	49836
85	663	1233	1823	663	1450	2146	1188	2106	4430	1188	2106	4430	870	3075	6491	1044	3075	8654	62	82	115	62	82	115	5957	34130	51195	5957	34130	51195
86	670	1246	1844	670	1466	2169	1202	2129	4479	1202	2129	4479	887	3124	6612	1065	3124	8815	63	84	117	63	84	117	6061	35036	52554	6061	35036	52554
87	678	1259	1862	678	1482	2191	1216	2152	4529	1216	2152	4529	904	3171	6732	1085	3171	8976	63	84	117	63	84	117	6165	35942	53913	6165	35942	53913
88	686	1272	1882	686	1497	2215	1231	2176	4578	1231	2176	4578	921	3220	6853	1106	3220	9137	64	86	120	64	86	120	6269	36848	55272	6269	36848	55272
89	694	1285	1903	694	1513	2238	1245	2199	4628	1245	2199	4628	805	2799	5978	966	2799	7970	60	80	112	60	80	112	6373	37754	56631	6373	37754	56631
90	702	1300	1921	702	1528	2260	1259	2223	4677	1259	2223	4677	820	2841	6081	985	2841	8108	60	80	112	60	80	112	6477	38660	57990	6477	38660	57990
91	709	1313	1940	709	1544	2284	1274	2246	4726	1274	2246	4726	836	2883	6184	1004	2883	8246	61	81	114	61	81	114	6581	39566	59349	6581	39566	59349
92	717	1326	1960	717	1560	2306	1288	2269	4776	1288	2269	4776	852	2923	6288	1023	2923	8384	61	81	114	61	81	114	6685	40472	60708	6685	40472	60708
93	725	1339	1979	725	1575	2329	1302	2293	4825	1302	2293	4825	867	2965	6392	1041	2965	8522	62	83	115	62	83	115	6789	41378	62067	6789	41378	62067
94	733	1352	2000	733	1591	2353	1316	2316	4875	1316	2316	4875	883	3004	6495	1060	3004	8660	63	84	117	63	84	117	6893	42284	63426	6893	42284	63426
95	741	1366	2018	741	1606	2375	1331	2340	4924	1331	2340	4924	900	3046	6598	1080	3046	8798	63	84	117	63	84	117	6997	43190	64785	6997	43190	64785
96	748	1379	2038	748	1622	2398	1345	2363	4973	1345	2363	4973	915	3087	6702	1099	3087	8936	64	85	119	64	85	119	7101	44096	66144	7101	44096	66144
97	756	1392	2057	756	1638	2420	1359	2386	5023	1359	2386	5023	931	3128	6806	1118	3128	9074	64	85	119	64	85	119	7205	45002	67503	7205	45002	67503
98	764	1405	2077	764	1653	2444	1374	2410	5072	1374	2410	5072	947	3169	6909	1137	3169	9212	66	88	122	66	88	122	7309	45908	68862	7309	45908	68862
99	772	1418	2096	772	1669	2467	1388	2433	5122	1388	2433	5122	963	3210	7012	1156	3210	9350	66	88	122	66	88	122	7413	46814	70221	7413	46814	70221
100	780	1432	1600	780	1684	2489	1402	2457	4000	1402	2457	4000	981	3250	7000	1178	3250	7000	67	89	100	67	89	100	7517	47720	71580	7517	47720	71580
101	787	1445	1700	787	1700	2512	1417	2480	4200	1417	2480	4200	998	3292	7300	1198	3292	7300	68	90	105	68	90	105	7621	48626	72939	7621	48626	72939
102	795	1458	1800	795	1716	2535	1431	2503	4400	1431	2503	4400	1015	3332	7600	1219	3332	7600	68	90	110	68	90	110	7725	49532	74298	7725	49532	74298
103	803	1471	1900	803	1731	2558	1445	2527	4600	1445	2527	4600	1032	3374	7900	1239	3374	7900	69	92	115	69	92	115	7829	50438	75657	7829	50438	75657
104	811	1484	2000	811	1747	2581	1459	2550	4800	1459	2550	4800	1050	3414	8200	1261	3414	8200	69	92	120	69	92	120	7933	51344	77016	7933	51344	77016
105	819	1498	2100	819	1762	2603	1474	2574	5000	1474	2574	5000	1067	3456	8500	1281	3456	8500	70	93	125	70	93	125	8037	52250	78375	8037	52250	78375
106	826	1511	2200	826	1778	2627	1488	2597	5200	1488	2597	5200	1085	3498	8800	1302	3498	8800	71	94	130	71	94	130	8141	53156	79734	8141	53156	79734
107	834	1524	2300	834	1794	2649	1502	2620	5400	1502	2620	5400	1102	3537	9100	1323	3537	9100	71	94	135	71	94	135	8245	54062	81093	8245	54062	81093
108	842	1537	2400	842	1809	2672	1517	2644	5600	1517	2644	5600	1120	3579	9400	1344	3579	9400	72	96	140	72	96	140	8349	54968	82452	8349	54968	82452
109	850	1550	2500	850	1825	2696	1531	2667	5800	1531	2667	5800	1136	3619	9700	1364	3619	9700	73	97	145	73	97	145	8453	55874	83811	8453	55874	83811
110	2100	2100	2100	2100	2100	2100	6532	6532	6532	6532	6532	6532	8333	10000	10000	10000	10000	10000	130	130	130	130	130	130	160000	160000	160000	160000	160000	160000
