Name	Level	Rooms	Rooms(N)	Rooms(H)	SizeX	SizeY	*LevelType	Merge
Tier 1 Map - Crypt of Damnation	143	94	94	94	8	8	Only Maze	500
Tier 1 Map - Necropolis Level 1	145	42	42	42	12	12		500
Tier 1 Map - Necropolis Level 2	146	18	18	18	12	12		500
Tier 1 Map - Cellar of Pain Level 1	148	42	42	42	12	12		500
Tier 1 Map - Cellar of Pain Level 2	149	6	6	6	8	8		500
Tier 2 Map - Ancient Tomb	151	47	47	47	16	16	Only Maze	500
Tier 2 Map - Infested Lair Level 1	153	50	50	50	10	10		500
Tier 2 Map - Infested Lair Level 2	154	1	1	1	24	24		0
Tier 2 Map - Chaos Rift Level 1	156	8	8	8	24	24		500
Tier 2 Map - Chaos Rift Level 2	157	15	15	15	12	12		500
Tier 2 Map - Chaos Rift Level 3	158	15	15	15	12	12		500
Tier 2 Map - Chaos Rift Level 4	159	18	18	18	12	12		500
Tier 2 Map - Labyrinth of Suffering Level 1	161	36	36	36	14	14		0
Tier 3 Map - Twisted Maze	164	63	63	63	12	12	Only Maze	500
Tier 3 Map - Endless Abyss Level 1	166	4	4	4	14	14		500
Tier 3 Map - Endless Abyss Level 2	167	4	4	4	14	14		500
Tier 3 Map - Endless Abyss Level 3	168	4	4	4	14	14		500
Tier 3 Map - Endless Abyss Level 4	169	4	4	4	14	14		500
Tier 3 Map - Endless Abyss Level 5	170	4	4	4	14	14		500
Tier 3 Map - Endless Abyss Level 6	171	4	4	4	14	14		500
Tier 3 Map - Endless Abyss Level 7	172	4	4	4	14	14		500
Tier 3 Map - Endless Abyss Level 8	173	4	4	4	14	14		500
Tier 3 Map - Endless Abyss Level 9	174	4	4	4	14	14		500
Tier 3 Map - Decaying Depths	177	63	63	63	12	12	Only Maze	800
Tier 3 Map - Frozen Wastes	179	20	20	20	16	16		500
Tier 4 Map - Shrine of Destruction Level 1	183	31	31	31	16	16		500
Tier 4 Map - Infernal Nexus	185	31	31	31	24	24	Only Maze	500
Tier 4 Map - Reliquary of Souls Level 1	187	4	4	4	40	40		500
Tier 4 Map - Reliquary of Souls Level 2	188	4	4	4	40	40		500
Tier 4 Map - Reliquary of Souls Level 3	189	4	4	4	40	40		500
Tier 4 Map - Reliquary of Souls Level 4	190	4	4	4	40	40		500
Tier 4 Map - Cursed Ossuary	191	63	63	63	12	12	Only Maze	500
Tier 5 Map - Eye of the Storm	193	4	4	4	16	16		1000
Tier 5 Map - The Iron Keep Level 1	194	42	42	42	12	12		500
Tier 5 Map - The Spiral of Souls Level 1	195	36	36	36	14	14		0
Tier 5 Map - The Rift of Perdition Level 1	196	31	31	31	16	16		500
Tier 5 Map - The Icecrown Citadel	201	47	47	47	16	16		500
