Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax	equivalentcharclass
Rogue Scout	Fire - Hell	0	4	271	1	3	85	150	merc01	merc41	12500	65	2148	50	1680	24	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	farw	10	Exploding Arrow	4	90	0	35	14	Strafe	4	50	0	25	15	Legendary Arrow	4	50	0	25	15	Inner Sight	4	10	0	25	10	Magic Arrow	4	35	0	25	10	Slow Missiles	4	5	0	16	6	5	15	2	50000	ama
Rogue Scout	Ice - Hell	0	5	271	1	3	85	150	merc01	merc41	14000	65	2148	50	1680	24	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	carw	10	Cold Arrow	4	90	0	21	8	Multiple Shot	4	50	0	25	15	Legendary Arrow	4	50	0	25	15	Inner Sight	4	10	0	25	10	Magic Arrow	4	35	0	25	10	Slow Missiles	4	5	0	16	6	5	15	2	50000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	10	150	merc01	merc41	100	65	132	17	90	20	40	12	50	18	50	12	3	7	6	20	8	20	8	20	8	20	8	farw	110	Exploding Arrow	4	70	0	3	14	Inner Sight	4	10	0	3	10	Magic Arrow	4	55	0	3	10	Slow Missiles	4	5	0	3	6													1	15	2	50000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	40	150	merc01	merc41	100	65	636	34	690	22	85	12	117	18	410	24	25	29	8	80	6	80	6	80	6	80	6	farw	60	Exploding Arrow	4	80	0	16	14	Inner Sight	4	10	0	12	10	Magic Arrow	4	45	0	12	10	Slow Missiles	4	5	0	8	6													1	15	2	50000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	85	150	merc01	merc41	100	65	2148	50	1680	24	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	farw	10	Immolation Arrow	4	90	0	35	14	Inner Sight	4	10	0	25	10	Magic Arrow	4	35	0	25	10	Slow Missiles	4	5	0	16	6													1	15	2	50000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	10	150	merc01	merc41	150	65	132	17	90	20	40	12	50	18	50	12	3	7	6	20	8	20	8	20	8	20	8	carw	110	Cold Arrow	4	70	0	3	8	Inner Sight	4	10	0	3	10	Magic Arrow	4	55	0	3	10	Slow Missiles	4	5	0	3	6													1	15	2	50000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	40	150	merc01	merc41	150	65	636	34	690	22	85	12	117	18	410	24	25	29	8	80	6	80	6	80	6	80	6	carw	60	Freezing Arrow	4	80	0	10	8	Inner Sight	4	10	0	12	10	Magic Arrow	4	45	0	12	10	Slow Missiles	4	5	0	8	6													1	15	2	50000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	85	150	merc01	merc41	150	65	2148	50	1680	24	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	carw	10	Freezing Arrow	4	90	0	21	8	Inner Sight	4	10	0	25	10	Magic Arrow	4	35	0	25	10	Slow Missiles	4	5	0	16	6													1	15	2	50000	ama
Rogue Scout	Fire - Nightmare	100	2	271	1	2	40	150	merc01	merc41	6000	65	636	34	690	22	85	12	117	18	410	24	25	29	8	80	6	80	6	80	6	80	6	farw	60	Exploding Arrow	4	80	0	16	14	Strafe	4	50	0	15	10	Inner Sight	4	10	0	12	10	Magic Arrow	4	45	0	12	10	Slow Missiles	4	5	0	8	6							1	15	2	50000	ama
Rogue Scout	Fire - Nightmare	100	2	271	1	2	85	150	merc01	merc41	6000	65	2148	50	1680	24	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	farw	10	Immolation Arrow	4	90	0	35	14	Multiple Shot	4	50	0	15	10	Inner Sight	4	10	0	25	10	Magic Arrow	4	35	0	25	10	Slow Missiles	4	5	0	16	6							1	15	2	50000	ama
Rogue Scout	Ice - Nightmare	100	3	271	1	2	40	150	merc01	merc41	7500	65	636	34	690	22	85	12	117	18	410	24	25	29	8	80	6	80	6	80	6	80	6	carw	60	Cold Arrow	4	80	0	10	8	Strafe	4	50	0	15	10	Inner Sight	4	10	0	12	10	Magic Arrow	4	45	0	12	10	Slow Missiles	4	5	0	8	6							1	15	2	50000	ama
Rogue Scout	Ice - Nightmare	100	3	271	1	2	85	150	merc01	merc41	7500	65	2148	50	1680	24	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	carw	10	Freezing Arrow	4	90	0	21	8	Ice Arrow	4	50	0	15	10	Inner Sight	4	10	0	25	10	Magic Arrow	4	35	0	25	10	Slow Missiles	4	5	0	16	6							1	15	2	50000	ama
Rogue Scout	Fire - Hell	100	4	271	1	3	85	150	merc01	merc41	12500	65	2148	50	1680	24	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	farw	10	Exploding Arrow	4	90	0	35	14	Strafe	4	50	0	25	15	Legendary Arrow	4	50	0	25	15	Inner Sight	4	10	0	25	10	Magic Arrow	4	35	0	25	10	Slow Missiles	4	5	0	16	6	1	15	2	50000	ama
Rogue Scout	Ice - Hell	100	5	271	1	3	85	150	merc01	merc41	14000	65	2148	50	1680	24	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	carw	10	Cold Arrow	4	90	0	21	8	Multiple Shot	4	50	0	25	15	Legendary Arrow	4	50	0	25	15	Inner Sight	4	10	0	25	10	Magic Arrow	4	35	0	25	10	Slow Missiles	4	5	0	16	6	1	15	2	50000	ama
Desert Mercenary	Comb-Normal	0	6	338	2	1	20	198	merca201	merca221	350	65	204	19	270	24	65	16	45	14	180	12	8	14	7	40	8	40	8	40	8	40	8	comb	85	Defiance	1	20	0	8	10	Fend	4	25	0	5	10	Spearstorm	4	25	0	3	6	Dance of Death	4	50	0	8	10													5	15	2	50000	
Desert Mercenary	Comb-Normal	0	6	338	2	1	50	198	merca201	merca221	350	65	780	38	990	26	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	comb	50	Defiance	1	20	0	17	10	Fend	4	50	0	14	10	Spearstorm	4	50	0	8	6	Dance of Death	4	40	0	17	10													5	15	2	50000	
Desert Mercenary	Comb-Normal	0	6	338	2	1	85	198	merca201	merca221	350	65	2124	58	1900	28	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	comb	10	Defiance	1	20	0	27	10	Fend	4	75	0	24	10	Spearstorm	4	75	0	14	6	Dance of Death	4	30	0	27	10													5	15	2	50000	
Desert Mercenary	Def-Normal	0	7	338	2	1	20	198	merca201	merca221	350	65	204	19	270	24	65	16	45	14	180	12	8	14	7	40	8	40	8	40	8	40	8	def	85	Prayer	1	20	0	8	10	Zeal	4	25	0	5	10	Concentrate	4	25	0	3	6	Dance of Death	4	50	0	8	10													5	15	2	50000	
Desert Mercenary	Def-Normal	0	7	338	2	1	50	198	merca201	merca221	350	65	780	38	990	26	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	def	50	Prayer	1	20	0	17	10	Zeal	4	50	0	14	10	Concentrate	4	50	0	8	6	Dance of Death	4	40	0	17	10													5	15	2	50000	
Desert Mercenary	Def-Normal	0	7	338	2	1	85	198	merca201	merca221	350	65	2124	58	1900	28	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	def	10	Prayer	1	20	0	27	10	Zeal	4	75	0	24	10	Concentrate	4	75	0	14	6	Dance of Death	4	30	0	27	10													5	15	2	50000	
Desert Mercenary	Off-Normal	0	8	338	2	1	20	198	merca201	merca221	350	65	204	19	270	24	65	16	45	14	180	12	8	14	7	40	8	40	8	40	8	40	8	off	85	Holy Fire	1	20	0	8	10	Vengeance	4	25	0	5	10	Lightning Strike	4	25	0	3	6	Dance of Death	4	50	0	8	10													5	15	2	50000	
Desert Mercenary	Off-Normal	0	8	338	2	1	50	198	merca201	merca221	350	65	780	38	990	26	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	off	50	Holy Fire	1	20	0	17	10	Vengeance	4	50	0	14	10	Lightning Strike	4	50	0	8	6	Dance of Death	4	40	0	17	10													5	15	2	50000	
Desert Mercenary	Off-Normal	0	8	338	2	1	85	198	merca201	merca221	350	65	2124	58	1900	28	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	off	10	Holy Fire	1	20	0	27	10	Vengeance	4	75	0	24	10	Lightning Strike	4	75	0	14	6	Dance of Death	4	30	0	27	10													5	15	2	50000	
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	50	198	merca201	merca221	7900	65	780	38	990	26	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	comb	50	Might	1	20	0	4	6	Fend	4	50	0	14	10	Spearstorm	4	50	0	8	6	Dance of Death	4	40	0	17	10													5	15	2	50000	
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	85	198	merca201	merca221	7900	65	2124	58	1900	28	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	comb	10	Might	1	20	0	10	6	Fend	4	75	0	24	10	Spearstorm	4	75	0	14	6	Dance of Death	4	30	0	27	10													5	15	2	50000	
Desert Mercenary	Def-Nightmare	0	10	338	2	2	50	198	merca201	merca221	7900	65	780	38	990	26	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	def	50	Meditation	1	20	0	17	10	Zeal	4	50	0	14	10	Concentrate	4	50	0	8	6	Dance of Death	4	40	0	17	10													5	15	2	50000	
Desert Mercenary	Def-Nightmare	0	10	338	2	2	85	198	merca201	merca221	7900	65	2124	58	1900	28	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	def	10	Meditation	1	20	0	27	10	Zeal	4	75	0	24	10	Concentrate	4	75	0	14	6	Dance of Death	4	30	0	27	10													5	15	2	50000	
Desert Mercenary	Off-Nightmare	0	11	338	2	2	50	198	merca201	merca221	7900	65	780	38	990	26	125	16	98	14	540	24	34	40	9	100	6	100	6	100	6	100	6	off	50	Blessed Aim	1	20	0	17	10	Judgement	4	5	0	14	10	Spearstorm	4	50	0	8	6	Dance of Death	4	40	0	27	10													5	15	2	50000	
Desert Mercenary	Off-Nightmare	0	11	338	2	2	85	198	merca201	merca221	7900	65	2124	58	1900	28	195	16	97	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	off	10	Blessed Aim	1	20	0	27	10	Judgement	4	10	0	24	10	Spearstorm	4	75	0	14	6	Dance of Death	4	30	0	27	10													5	15	2	50000	
Desert Mercenary	Comb-Hell	0	12	338	2	3	85	198	merca201	merca221	15000	65	2124	58	1900	28	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	comb	10	Conviction	1	20	0	3	6	Vengeance	4	75	0	24	10	Lightning Strike	4	75	0	14	6	Dance of Death	4	30	0	27	10													5	15	2	50000	
Desert Mercenary	Def-Hell	0	13	338	2	3	85	198	merca201	merca221	15000	65	2124	58	1900	28	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	def	10	Concentration	1	20	0	7	6	Zeal	4	75	0	24	10	Concentrate	4	75	0	14	6	Dance of Death	4	30	0	27	10													5	15	2	50000	
Desert Mercenary	Off-Hell	0	14	338	2	3	85	198	merca201	merca221	15000	65	2124	58	1900	28	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	off	10	Fanaticism	1	20	0	4	6	Judgement	4	10	0	24	10	Spearstorm	4	75	0	14	6	Dance of Death	4	30	0	27	10													5	15	2	50000	
Desert Mercenary	Comb-Normal	100	6	338	2	1	20	198	merca201	merca221	350	65	204	19	270	24	65	16	45	14	180	12	8	14	7	40	8	40	8	40	8	40	8	comb	85	Defiance	1	20	0	8	10	Fend	4	25	0	5	10	Spearstorm	4	25	0	3	6	Dance of Death	4	50	0	8	10													1	15	2	50000	
Desert Mercenary	Comb-Normal	100	6	338	2	1	50	198	merca201	merca221	350	65	780	38	990	26	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	comb	50	Defiance	1	20	0	17	10	Fend	4	50	0	14	10	Spearstorm	4	50	0	8	6	Dance of Death	4	40	0	17	10													1	15	2	50000	
Desert Mercenary	Comb-Normal	100	6	338	2	1	85	198	merca201	merca221	350	65	2124	58	1900	28	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	comb	10	Defiance	1	20	0	27	10	Fend	4	75	0	24	10	Spearstorm	4	75	0	14	6	Dance of Death	4	30	0	27	10													1	15	2	50000	
Desert Mercenary	Def-Normal	100	7	338	2	1	20	198	merca201	merca221	350	65	204	19	270	24	65	16	45	14	180	12	8	14	7	40	8	40	8	40	8	40	8	def	85	Prayer	1	20	0	8	10	Zeal	4	25	0	5	10	Concentrate	4	25	0	3	6	Dance of Death	4	50	0	8	10													1	15	2	50000	
Desert Mercenary	Def-Normal	100	7	338	2	1	50	198	merca201	merca221	350	65	780	38	990	26	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	def	50	Prayer	1	20	0	17	10	Zeal	4	50	0	14	10	Concentrate	4	50	0	8	6	Dance of Death	4	40	0	17	10													1	15	2	50000	
Desert Mercenary	Def-Normal	100	7	338	2	1	85	198	merca201	merca221	350	65	2124	58	1900	28	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	def	10	Prayer	1	20	0	27	10	Zeal	4	75	0	24	10	Concentrate	4	75	0	14	6	Dance of Death	4	30	0	27	10													1	15	2	50000	
Desert Mercenary	Off-Normal	100	8	338	2	1	20	198	merca201	merca221	350	65	204	19	270	24	65	16	45	14	180	12	8	14	7	40	8	40	8	40	8	40	8	off	85	Holy Fire	1	20	0	8	10	Vengeance	4	25	0	5	10	Lightning Strike	4	25	0	3	6	Dance of Death	4	50	0	8	10													1	15	2	50000	
Desert Mercenary	Off-Normal	100	8	338	2	1	50	198	merca201	merca221	350	65	780	38	990	26	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	off	50	Holy Fire	1	20	0	17	10	Vengeance	4	50	0	14	10	Lightning Strike	4	50	0	8	6	Dance of Death	4	40	0	17	10													1	15	2	50000	
Desert Mercenary	Off-Normal	100	8	338	2	1	85	198	merca201	merca221	350	65	2124	58	1900	28	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	off	10	Holy Fire	1	20	0	27	10	Vengeance	4	75	0	24	10	Lightning Strike	4	75	0	14	6	Dance of Death	4	30	0	27	10													1	15	2	50000	
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	50	198	merca201	merca221	7900	65	780	38	990	26	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	comb	50	Might	1	20	0	4	6	Fend	4	50	0	14	10	Spearstorm	4	50	0	8	6	Dance of Death	4	40	0	17	10													1	15	2	50000	
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	85	198	merca201	merca221	7900	65	2124	58	1900	28	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	comb	10	Might	1	20	0	10	6	Fend	4	75	0	24	10	Spearstorm	4	75	0	14	6	Dance of Death	4	30	0	27	10													1	15	2	50000	
Desert Mercenary	Def-Nightmare	100	10	338	2	2	50	198	merca201	merca221	7900	65	780	38	990	26	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	def	50	Meditation	1	20	0	17	10	Zeal	4	50	0	14	10	Concentrate	4	50	0	8	6	Dance of Death	4	40	0	17	10													1	15	2	50000	
Desert Mercenary	Def-Nightmare	100	10	338	2	2	85	198	merca201	merca221	7900	65	2124	58	1900	28	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	def	10	Meditation	1	20	0	27	10	Zeal	4	75	0	24	10	Concentrate	4	75	0	14	6	Dance of Death	4	30	0	27	10													1	15	2	50000	
Desert Mercenary	Off-Nightmare	100	11	338	2	2	50	198	merca201	merca221	7900	65	780	38	990	26	125	16	98	14	540	24	34	40	9	100	6	100	6	100	6	100	6	off	50	Blessed Aim	1	20	0	17	10	Judgement	4	5	0	14	10	Spearstorm	4	50	0	8	6	Dance of Death	4	40	0	27	10													1	15	2	50000	
Desert Mercenary	Off-Nightmare	100	11	338	2	2	85	198	merca201	merca221	7900	65	2124	58	1900	28	195	16	97	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	off	10	Blessed Aim	1	20	0	27	10	Judgement	4	10	0	24	10	Spearstorm	4	75	0	14	6	Dance of Death	4	30	0	27	10													1	15	2	50000	
Desert Mercenary	Comb-Hell	100	12	338	2	3	85	198	merca201	merca221	15000	65	2124	58	1900	28	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	comb	10	Conviction	1	20	0	3	6	Vengeance	4	75	0	24	10	Lightning Strike	4	75	0	14	6	Dance of Death	4	30	0	27	10													1	15	2	50000	
Desert Mercenary	Def-Hell	100	13	338	2	3	85	198	merca201	merca221	15000	65	2124	58	1900	28	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	def	10	Concentration	1	20	0	7	6	Zeal	4	75	0	24	10	Concentrate	4	75	0	14	6	Dance of Death	4	30	0	27	10													1	15	2	50000	
Desert Mercenary	Off-Hell	100	14	338	2	3	85	198	merca201	merca221	15000	65	2124	58	1900	28	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	off	10	Fanaticism	1	20	0	4	6	Judgement	4	10	0	24	10	Spearstorm	4	75	0	14	6	Dance of Death	4	30	0	27	10													1	15	2	50000	
Eastern Sorceror	Fire-Normal	0	15	359	3	1	25	252	merca222	merca241	1000	65	276	17	180	18	50	14	40	16	120	12	6	11	6	45	8	45	8	45	8	45	8	fire	10	Resist Fire	1	10	0	4	6	SEruption	7	40	0	6	12	Nova	7	50	0	5	8	Volcano	7	15	0	5	5	Flameburst	7	70	0	6	12	Fire Ball	7	120	0	10	12	1	15	2	50000	
Eastern Sorceror	Fire-Normal	0	15	359	3	1	55	252	merca222	merca241	1000	65	780	34	720	20	102	14	100	16	480	24	28	33	8	105	6	105	6	105	6	105	6	fire	10	Resist Fire	1	10	0	9	6	SEruption	7	40	0	17	12	Nova	7	50	0	15	8	Volcano	7	15	0	15	5	Flameburst	7	30	0	17	12	Fire Ball	7	80	0	21	12	1	15	2	50000	
Eastern Sorceror	Fire-Normal	0	15	359	3	1	85	252	merca222	merca241	1000	65	1788	50	1320	22	154	14	160	16	1200	36	60	66	10	150	5	150	5	150	5	150	5	fire	10	Resist Fire	1	10	0	14	6	SEruption	7	50	0	28	12	Nova	7	50	0	25	8	Volcano	7	15	0	25	5	Flameburst	7	30	0	28	12	Fire Ball	7	50	0	32	12	1	15	2	50000	
Eastern Sorceror	Cold-Normal	0	16	359	3	1	25	252	merca222	merca241	1500	65	276	17	180	18	50	14	40	16	120	12	6	11	6	45	8	45	8	45	8	45	8	cold	10	Resist Cold	1	10	0	4	6	Frost Nova	7	30	0	2	12	Hurricane	7	10	0	5	8	Frozen Orb	7	15	0	5	5	Blizzard	7	100	0	14	14	Glacial Spike	7	100	0	10	8	1	15	2	50000	
Eastern Sorceror	Cold-Normal	0	16	359	3	1	55	252	merca222	merca241	1500	65	780	34	720	20	102	14	100	16	480	24	28	33	8	105	6	105	6	105	6	105	6	cold	10	Resist Cold	1	10	0	9	6	Frost Nova	7	35	0	13	12	Hurricane	7	10	0	15	8	Frozen Orb	7	15	0	15	5	Blizzard	7	75	0	27	14	Glacial Spike	7	75	0	17	8	1	15	2	50000	
Eastern Sorceror	Cold-Normal	0	16	359	3	1	85	252	merca222	merca241	1500	65	1788	50	1320	22	154	14	160	16	1200	36	60	66	10	150	5	150	5	150	5	150	5	cold	10	Resist Cold	1	10	0	14	6	Frost Nova	7	60	0	24	12	Hurricane	7	10	0	25	8	Frozen Orb	7	15	0	25	5	Blizzard	7	50	0	40	14	Glacial Spike	7	50	0	24	8	1	15	2	50000	
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	25	252	merca222	merca241	1000	65	276	17	180	18	50	14	40	16	120	12	6	11	6	45	8	45	8	45	8	45	8	ltng	10	Resist Lightning	1	10	0	4	6	Hydra	7	30	0	6	14	Thunder Storm Sorc	7	10	0	5	8	Time Stop	7	15	0	5	5	Static Field	7	30	0	6	8	Lightning	7	200	0	13	14	1	15	2	50000	
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	55	252	merca222	merca241	1000	65	780	34	720	20	102	14	100	16	480	24	28	33	8	105	6	105	6	105	6	105	6	ltng	10	Resist Lightning	1	10	0	9	6	Hydra	7	30	0	19	14	Thunder Storm Sorc	7	10	0	15	8	Time Stop	7	15	0	15	5	Static Field	7	40	0	13	8	Chain Lightning	7	90	0	21	12	1	15	2	50000	
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	85	252	merca222	merca241	1000	65	1788	50	1320	22	154	14	160	16	1200	36	60	66	10	150	5	150	5	150	5	150	5	ltng	10	Resist Lightning	1	10	0	14	6	Hydra	7	30	0	32	14	Thunder Storm Sorc	7	10	0	25	8	Time Stop	7	15	0	25	5	Static Field	7	50	0	20	8	Chain Lightning	7	60	0	32	12	1	15	2	50000	
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	55	252	merca222	merca241	9500	65	780	34	720	20	102	14	100	16	480	24	28	33	8	105	6	105	6	105	6	105	6	fire	10	Resist Fire	1	10	0	9	6	SEruption	7	40	0	17	12	Nova	7	50	0	15	15	Volcano	7	20	0	15	10	Firestorm	7	30	0	17	12	Fire Ball	7	80	0	21	12	5	15	2	50000	
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	85	252	merca222	merca241	9500	65	1788	50	1320	22	154	14	160	16	1200	36	60	66	10	150	5	150	5	150	5	150	5	fire	10	Resist Fire	1	10	0	14	6	SEruption	7	50	0	28	12	Nova	7	50	0	25	15	Volcano	7	20	0	25	10	Firestorm	7	30	0	28	12	Fire Ball	7	50	0	32	12	5	15	2	50000	
Eastern Sorceror	Cold-Nightmare	0	19	359	3	2	55	252	merca222	merca241	12000	65	780	34	720	20	102	14	100	16	480	24	28	33	8	105	6	105	6	105	6	105	6	cold	10	Resist Cold	1	10	0	9	6	Frost Nova	7	35	0	13	12	Hurricane	7	10	0	15	15	Frozen Orb	7	20	0	15	10	Blizzard	7	75	0	27	14	Glacial Spike	7	75	0	17	8	5	15	2	50000	
