Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
Russet	100	1	1	12	45	9				18	118	res-fire		11	20									1	dred	amul	circ	ring	armo									0	0	0
Garnet	100	1	1	18		13				18	118	res-fire		21	30									1	cred	amul	circ	ring	armo									0	0	0
Ruby	100	1	1	25		18				18	118	res-fire		31	40									1	cred	amul	circ	boot										0	0	0
Tangerine	100	1	1	5	30	3				18	119	res-ltng		5	10									1	dyel	amul	circ	ring	armo									0	0	0
Ocher	100	1	1	12	45	9				18	119	res-ltng		11	20									1	dyel	amul	circ	ring	armo									0	0	0
Coral	100	1	1	18		13				18	119	res-ltng		21	30									1	lyel	amul	circ	ring	armo									0	0	0
Amber	100	1	1	25		18				18	119	res-ltng		31	40									1	lyel	amul	circ	boot										0	0	0
Beryl	100	1	1	5	30	3				18	120	res-pois		5	10									1	dgrn	amul	circ	ring	armo									0	0	0
Viridian	100	1	1	12	45	9				18	120	res-pois		11	20									1	dgrn	amul	circ	ring	armo									0	0	0
Jade	100	1	1	18		13				18	120	res-pois		21	30									1	cgrn	amul	circ	ring	armo									0	0	0
Emerald	100	1	1	25		18				18	120	res-pois		31	40									1	cgrn	amul	circ	boot										0	0	0
Triumphant	100	1	1	3	20	2				18	121	mana-kill		1	1									1	lgry	weap	circ	ring										0	0	0
Victorious	100	1	1	17	40	12				18	121	mana-kill		2	4									1	whit	weap	circ	ring										0	0	0
Champion's	100	1	1	30		20				18	121	mana-kill		5	8									1	cblu	weap	circ	ring										0	0	0
Mechanist's	100	1	1	52		47				16	122	sock		2	2											glov	belt	boot										0	0	0
Mechanist's	100	1	1	52		47				16	122	sock		3	3											weap	tors	shld	helm	belt	boot	glov						0	0	0
Jeweler's	100	1		39		27				20	122	sock		3	3											weap	tors	shld	helm									0	0	0
Jeweler's	100	1		50		37				20	122	sock		4	4											weap	tors	shld	helm									0	0	0
Jeweler's	100	1		61		47				16	122	sock		5	5											weap	tors											0	0	0
Jeweler's	100	1		72		57				12	122	sock		6	6											weap	tors											0	0	0
Assamic	100	1	1	1	20	1				14	123	att-demon		25	50	dmg-demon		25	50					1	lgld	weap	circ						staf	wand				0	0	0
Arcadian	100	1	1	15	30	11				14	123	att-demon		51	100	dmg-demon		51	100					1	lgld	weap	circ						staf	wand				0	0	0
Unearthly	100	1	1	25	40	18				14	123	att-demon		101	150	dmg-demon		101	150					1	lgld	weap							staf	wand				0	0	0
Astral	100	1	1	35		27				14	123	att-demon		151	250	dmg-demon		151	250					1	lgld	weap							staf	wand				0	0	0
Elysian	100	1	1	45		37				14	123	att-demon		256	400	dmg-demon		256	400					1	lgld	weap							staf	wand				0	0	0
Consecrated	100	1	1	1	20	1				14	124	att-undead		25	50	dmg-undead		25	50					1	whit	weap	circ						staf	wand				0	0	0
Pure	100	1	1	15	30	11				14	124	att-undead		51	100	dmg-undead		51	100					1	whit	weap							staf	wand				0	0	0
Sacred	100	1	1	25	40	18				14	124	att-undead		101	150	dmg-undead		101	150					1	whit	weap							staf	wand				0	0	0
Hallowed	100	1	1	35		27				14	124	att-undead		151	250	dmg-undead		151	250					1	whit	weap							staf	wand				0	0	0
Divine	100	1	1	45		37				14	124	att-undead		256	400	dmg-undead		256	400					1	whit	weap							staf	wand				0	0	0
Fletcher's	100	1	1	20		15	ama		10	17	125	skilltab	0	1	1											amul	circ	glov	miss	scrn								0	0	0
Bowyer's	100	1	1	40		30	ama		20	17	125	skilltab	0	2	2											amul	circ	glov	miss	scrn								0	0	0
Archer's	100	1	1	60		45	ama		30	17	125	skilltab	0	3	3											amul	glov	miss	scrn									0	0	0
Acrobat's	100	1	1	20		15	ama		10	17	125	skilltab	1	1	1											amul	circ	glov	scrn									0	0	0
Gymnast's	100	1	1	40		30	ama		20	17	125	skilltab	1	2	2											amul	circ	glov	scrn									0	0	0
Athlete's	100	1	1	60		45	ama		30	17	125	skilltab	1	3	3											amul	glov	scrn										0	0	0
Harpoonist's	100	1	1	20		15	ama		10	17	125	skilltab	2	1	1											amul	circ	glov	spea	scrn								0	0	0
Spearmaiden's	100	1	1	40		30	ama		20	17	125	skilltab	2	2	2											amul	circ	glov	spea	scrn								0	0	0
Lancer's	100	1	1	60		45	ama		30	17	125	skilltab	2	3	3											amul	glov	spea	scrn									0	0	0
Burning	100	1	1	20		15	sor		10	17	125	skilltab	3	1	1											amul	circ	staf	mana	robe								0	0	0
Blazing	100	1	1	40		30	sor		20	17	125	skilltab	3	2	2											amul	circ	staf	mana	robe								0	0	0
Volcanic	100	1	1	60		45	sor		30	17	125	skilltab	3	3	3											amul	staf	mana	robe									0	0	0
Sparking	100	1	1	20		15	sor		10	17	125	skilltab	4	1	1											amul	circ	staf	mana	robe								0	0	0
Charged	100	1	1	40		30	sor		20	17	125	skilltab	4	2	2											amul	circ	staf	mana	robe								0	0	0
Powered	100	1	1	60		45	sor		30	17	125	skilltab	4	3	3											amul	staf	mana	robe									0	0	0
Chilling	100	1	1	20		15	sor		10	17	125	skilltab	5	1	1											amul	circ	staf	mana	robe								0	0	0
Freezing	100	1	1	40		30	sor		20	17	125	skilltab	5	2	2											amul	circ	staf	mana	robe								0	0	0
Glacial	100	1	1	60		45	sor		30	17	125	skilltab	5	3	3											amul	staf	mana	robe									0	0	0
Hexing	100	1	1	20		15	nec		10	17	125	skilltab	6	1	1											amul	circ	head	wand									0	0	0
Blighting	100	1	1	40		30	nec		20	17	125	skilltab	6	2	2											amul	circ	head	wand									0	0	0
Accursed	100	1	1	60		45	nec		30	17	125	skilltab	6	3	3											amul	head	wand										0	0	0
Fungal	100	1	1	20		15	nec		10	17	125	skilltab	7	1	1											amul	circ	head	wand	knif								0	0	0
Noxious	100	1	1	40		30	nec		20	17	125	skilltab	7	2	2											amul	circ	head	wand	knif								0	0	0
Venomous	100	1	1	60		45	nec		30	17	125	skilltab	7	3	3											amul	head	wand	knif									0	0	0
Graverobber's	100	1	1	20		15	nec		10	17	125	skilltab	8	1	1											amul	circ	head	wand									0	0	0
Vodoun	100	1	1	40		30	nec		20	17	125	skilltab	8	2	2											amul	circ	head	wand									0	0	0
Golemlord's	100	1	1	60		45	nec		30	17	125	skilltab	8	3	3											amul	head	wand										0	0	0
Lion Branded	100	1	1	20		15	pal		10	17	125	skilltab	9	1	1											amul	circ	shld	scep									0	0	0
Hawk Branded	100	1	1	40		30	pal		20	17	125	skilltab	9	2	2											amul	circ	shld	scep									0	0	0
Rose Branded	100	1	1	60		45	pal		30	17	125	skilltab	9	3	3											amul	shld	scep										0	0	0
Captain's	100	1	1	20		15	pal		10	17	125	skilltab	10	1	1											amul	circ	shld	scep									0	0	0
Commander's	100	1	1	40		30	pal		20	17	125	skilltab	10	2	2											amul	circ	shld	scep									0	0	0
Marshal's	100	1	1	60		45	pal		30	17	125	skilltab	10	3	3											amul	shld	scep										0	0	0
Preserver's	100	1	1	20		15	pal		10	17	125	skilltab	11	1	1											amul	circ	shld	scep									0	0	0
Warder's	100	1	1	40		30	pal		20	17	125	skilltab	11	2	2											amul	circ	shld	scep									0	0	0
Guardian's	100	1	1	60		45	pal		30	17	125	skilltab	11	3	3											amul	shld	scep										0	0	0
Expert's	100	1	1	20		15	bar		10	17	125	skilltab	12	1	1											amul	circ	phlm	mele				rod	amaz	sorc	necr	pala	0	0	0
Veteran's	100	1	1	40		30	bar		20	17	125	skilltab	12	2	2											amul	circ	phlm	mele				rod	amaz	sorc	necr	pala	0	0	0
Master's	100	1	1	60		45	bar		30	17	125	skilltab	12	3	3											amul	phlm	mele					rod	amaz	sorc	necr	pala	0	0	0
Fanatic	100	1	1	20		15	bar		10	17	125	skilltab	13	1	1											amul	circ	phlm	mele	taxe	bjav		rod	amaz	sorc	necr	pala	0	0	0
Raging	100	1	1	40		30	bar		20	17	125	skilltab	13	2	2											amul	circ	phlm	mele	taxe	bjav		rod	amaz	sorc	necr	pala	0	0	0
Furious	100	1	1	60		45	bar		30	17	125	skilltab	13	3	3											amul	phlm	mele	taxe	bjav			rod	amaz	sorc	necr	pala	0	0	0
Sounding	100	1	1	20		15	bar		10	17	125	skilltab	14	1	1											amul	circ	phlm	mele	taxe	bjav		rod	amaz	sorc	necr	pala	0	0	0
Resonant	100	1	1	40		30	bar		20	17	125	skilltab	14	2	2											amul	circ	phlm	mele	taxe	bjav		rod	amaz	sorc	necr	pala	0	0	0
Echoing	100	1	1	60		45	bar		30	17	125	skilltab	14	3	3											amul	phlm	mele	taxe	bjav			rod	amaz	sorc	necr	pala	0	0	0
Trainer's	100	1	1	20		15	dru		10	17	125	skilltab	15	1	1											amul	circ	club	pelt									0	0	0
Caretaker's	100	1	1	40		30	dru		20	17	125	skilltab	15	2	2											amul	circ	club	pelt									0	0	0
Keeper's	100	1	1	60		45	dru		30	17	125	skilltab	15	3	3											amul	club	pelt										0	0	0
Spiritual	100	1	1	20		15	dru		10	17	125	skilltab	16	1	1											amul	circ	club	pelt									0	0	0
Feral	100	1	1	40		30	dru		20	17	125	skilltab	16	2	2											amul	circ	club	pelt									0	0	0
Communal	100	1	1	60		45	dru		30	17	125	skilltab	16	3	3											amul	club	pelt										0	0	0
Nature's	100	1	1	20		15	dru		10	17	125	skilltab	17	1	1											amul	circ	club	pelt									0	0	0
Terra's	100	1	1	40		30	dru		20	17	125	skilltab	17	2	2											amul	circ	club	pelt									0	0	0
Gaea's	100	1	1	60		45	dru		30	17	125	skilltab	17	3	3											amul	club	pelt										0	0	0
Entrapping	100	1	1	20		15	ass		10	17	125	skilltab	18	1	1											amul	circ	claw	asnx	tkni	cloa							0	0	0
Trickster's	100	1	1	40		30	ass		20	17	125	skilltab	18	2	2											amul	circ	claw	asnx	tkni	cloa							0	0	0
Cunning	100	1	1	60		45	ass		30	17	125	skilltab	18	3	3											amul	claw	asnx	tkni	cloa								0	0	0
Mentalist's	100	1	1	20		15	ass		10	17	125	skilltab	19	1	1											amul	circ	claw	asnx	cloa								0	0	0
Psychic	100	1	1	40		30	ass		20	17	125	skilltab	19	2	2											amul	circ	claw	asnx	cloa								0	0	0
Shadow	100	1	1	60		45	ass		30	17	125	skilltab	19	3	3											amul	claw	asnx	cloa									0	0	0
Shogukusha's	100	1	1	20		15	ass		10	17	125	skilltab	20	1	1											amul	circ	claw	asnx	glov	cloa							0	0	0
Sensei's	100	1	1	40		30	ass		20	17	125	skilltab	20	2	2											amul	circ	claw	asnx	glov	cloa							0	0	0
Kenshi's	100	1	1	60		45	ass		30	17	125	skilltab	20	3	3											amul	claw	asnx	glov	cloa								0	0	0
Maiden's	100	1	1	36		30	ama		18	16	125	ama		1	1											amul	circ	ring	scrn									0	0	0
Maiden's	100	1	1	36		30	ama		18	2	125	ama		1	1	skilltab	0	1	2							amul	circ	ring	scrn									0	0	0
Maiden's	100	1	1	36		30	ama		18	2	125	ama		1	1	skilltab	1	1	2							amul	circ	ring	scrn									0	0	0
Maiden's	100	1	1	36		30	ama		18	2	125	ama		1	1	skilltab	2	1	2							amul	circ	ring	scrn									0	0	0
Valkyrie's	100	1	1	90		67	ama		45	15	125	ama		2	2											amul	circ	scrn										0	0	0
Valkyrie's	100	1	1	90		67	ama		45	1	125	ama		2	2	skilltab	0	1	2							amul	circ	scrn										0	0	0
Valkyrie's	100	1	1	90		67	ama		45	1	125	ama		2	2	skilltab	1	1	2							amul	circ	scrn										0	0	0
Valkyrie's	100	1	1	90		67	ama		45	1	125	ama		2	2	skilltab	2	1	2							amul	circ	scrn										0	0	0
Valkyrie's	100	1		90		67	ama		45	14	125	ama		3	3											amul	circ	scrn										0	0	0
Angel's	100	1	1	36		30	sor		18	16	125	sor		1	1											amul	circ	ring										0	0	0
Angel's	100	1	1	36		30	sor		18	2	125	sor		1	1	skilltab	3	1	2							amul	circ	ring										0	0	0
Angel's	100	1	1	36		30	sor		18	2	125	sor		1	1	skilltab	4	1	2							amul	circ	ring										0	0	0
Angel's	100	1	1	36		30	sor		18	2	125	sor		1	1	skilltab	5	1	2							amul	circ	ring										0	0	0
Arch-Angel's	100	1	1	90		67	sor		45	15	125	sor		2	2											amul	circ											0	0	0
Arch-Angel's	100	1	1	90		67	sor		45	1	125	sor		2	2	skilltab	3	1	2							amul	circ											0	0	0
Arch-Angel's	100	1	1	90		67	sor		45	1	125	sor		2	2	skilltab	4	1	2							amul	circ											0	0	0
Arch-Angel's	100	1	1	90		67	sor		45	1	125	sor		2	2	skilltab	5	1	2							amul	circ											0	0	0
Arch-Angel's	100	1		90		67	sor		45	14	125	sor		3	3											amul	circ											0	0	0
Summoner's	100	1	1	36		30	nec		18	16	125	nec		1	1											amul	circ	ring										0	0	0
Summoner's	100	1	1	36		30	nec		18	2	125	nec		1	1	skilltab	6	1	2							amul	circ	ring										0	0	0
Summoner's	100	1	1	36		30	nec		18	2	125	nec		1	1	skilltab	7	1	2							amul	circ	ring										0	0	0
Summoner's	100	1	1	36		30	nec		18	2	125	nec		1	1	skilltab	8	1	2							amul	circ	ring										0	0	0
Necromancer's	100	1	1	90		67	nec		45	15	125	nec		2	2											amul	circ											0	0	0
Necromancer's	100	1	1	90		67	nec		45	1	125	nec		2	2	skilltab	6	1	2							amul	circ											0	0	0
Necromancer's	100	1	1	90		67	nec		45	1	125	nec		2	2	skilltab	7	1	2							amul	circ											0	0	0
Necromancer's	100	1	1	90		67	nec		45	1	125	nec		2	2	skilltab	8	1	2							amul	circ											0	0	0
Necromancer's	100	1		90		67	nec		45	14	125	nec		3	3											amul	circ											0	0	0
Monk's	100	1	1	36		30	pal		18	16	125	pal		1	1											amul	circ	ring										0	0	0
Monk's	100	1	1	36		30	pal		18	2	125	pal		1	1	skilltab	9	1	2							amul	circ	ring										0	0	0
Monk's	100	1	1	36		30	pal		18	2	125	pal		1	1	skilltab	10	1	2							amul	circ	ring										0	0	0
Monk's	100	1	1	36		30	pal		18	2	125	pal		1	1	skilltab	11	1	2							amul	circ	ring										0	0	0
Priest's	100	1	1	90		67	pal		45	15	125	pal		2	2											amul	circ											0	0	0
Priest's	100	1	1	90		67	pal		45	1	125	pal		2	2	skilltab	9	1	2							amul	circ											0	0	0
Priest's	100	1	1	90		67	pal		45	1	125	pal		2	2	skilltab	10	1	2							amul	circ											0	0	0
Priest's	100	1	1	90		67	pal		45	1	125	pal		2	2	skilltab	11	1	2							amul	circ											0	0	0
Priest's	100	1		90		67	pal		45	14	125	pal		3	3											amul	circ											0	0	0
Slayer's	100	1	1	36		30	bar		18	16	125	bar		1	1											amul	circ	ring										0	0	0
Slayer's	100	1	1	36		30	bar		18	2	125	bar		1	1	skilltab	12	1	2							amul	circ	ring										0	0	0
Slayer's	100	1	1	36		30	bar		18	2	125	bar		1	1	skilltab	13	1	2							amul	circ	ring										0	0	0
Slayer's	100	1	1	36		30	bar		18	2	125	bar		1	1	skilltab	14	1	2							amul	circ	ring										0	0	0
Berserker's	100	1	1	90		67	bar		45	15	125	bar		2	2											amul	circ											0	0	0
Berserker's	100	1	1	90		67	bar		45	1	125	bar		2	2	skilltab	12	1	2							amul	circ											0	0	0
Berserker's	100	1	1	90		67	bar		45	1	125	bar		2	2	skilltab	13	1	2							amul	circ											0	0	0
Berserker's	100	1	1	90		67	bar		45	1	125	bar		2	2	skilltab	14	1	2							amul	circ											0	0	0
Berserker's	100	1		90		67	bar		45	14	125	bar		3	3											amul	circ											0	0	0
Shaman's	100	1	1	36		30	dru		18	16	125	dru		1	1											amul	circ	ring										0	0	0
Shaman's	100	1	1	36		30	dru		18	2	125	dru		1	1	skilltab	15	1	2							amul	circ	ring										0	0	0
Shaman's	100	1	1	36		30	dru		18	2	125	dru		1	1	skilltab	16	1	2							amul	circ	ring										0	0	0
Shaman's	100	1	1	36		30	dru		18	2	125	dru		1	1	skilltab	17	1	2							amul	circ	ring										0	0	0
Hierophant's	100	1	1	90		67	dru		45	15	125	dru		2	2											amul	circ											0	0	0
Hierophant's	100	1	1	90		67	dru		45	1	125	dru		2	2	skilltab	15	1	2							amul	circ											0	0	0
Hierophant's	100	1	1	90		67	dru		45	1	125	dru		2	2	skilltab	16	1	2							amul	circ											0	0	0
Hierophant's	100	1	1	90		67	dru		45	1	125	dru		2	2	skilltab	17	1	2							amul	circ											0	0	0
Hierophant's	100	1		90		67	dru		45	14	125	dru		3	3											amul	circ											0	0	0
Magekiller's	100	1	1	36		30	ass		18	16	125	ass		1	1											amul	circ	ring										0	0	0
Magekiller's	100	1	1	36		30	ass		18	2	125	ass		1	1	skilltab	18	1	2							amul	circ	ring										0	0	0
Magekiller's	100	1	1	36		30	ass		18	2	125	ass		1	1	skilltab	19	1	2							amul	circ	ring										0	0	0
Magekiller's	100	1	1	36		30	ass		18	2	125	ass		1	1	skilltab	20	1	2							amul	circ	ring										0	0	0
Witch-hunter's	100	1	1	90		67	ass		45	15	125	ass		2	2											amul	circ											0	0	0
Witch-hunter's	100	1	1	90		67	ass		45	1	125	ass		2	2	skilltab	18	1	2							amul	circ											0	0	0
Witch-hunter's	100	1	1	90		67	ass		45	1	125	ass		2	2	skilltab	19	1	2							amul	circ											0	0	0
Witch-hunter's	100	1	1	90		67	ass		45	1	125	ass		2	2	skilltab	20	1	2							amul	circ											0	0	0
Witch-hunter's	100	1		90		67	ass		45	14	125	ass		3	3											amul	circ											0	0	0
Maiden's	100	1	1	30		22	ama		15	22	125	ama		1	1											miss	spea											0	0	0
Valkyrie's	100	1	1	50		42	ama		28	18	125	ama		2	2											miss	spea											0	0	0
Angel's	100	1	1	30		22	sor		15	22	125	sor		1	1											staf	mana											0	0	0
Arch-Angel's	100	1	1	50		42	sor		28	18	125	sor		2	2											staf	mana											0	0	0
Summoner's	100	1	1	30		22	nec		15	22	125	nec		1	1											head	wand	knif	npol									0	0	0
Necromancer's	100	1	1	50		42	nec		28	18	125	nec		2	2											head	wand	knif	npol									0	0	0
Monk's	100	1	1	30		22	pal		15	22	125	pal		1	1											shld	scep											0	0	0
Priest's	100	1	1	50		42	pal		28	18	125	pal		2	2											shld	scep											0	0	0
Slayer's	100	1	1	30		22	bar		15	22	125	bar		1	1											phlm	taxe	bjav	mele				rod	amaz	sorc	necr	pala	0	0	0
Berserker's	100	1	1	50		42	bar		28	18	125	bar		2	2											phlm	taxe	bjav	mele				rod	amaz	sorc	necr	pala	0	0	0
Shaman's	100	1	1	30		22	dru		15	22	125	dru		1	1											club	pelt											0	0	0
Hierophant's	100	1	1	50		42	dru		28	18	125	dru		2	2											club	pelt											0	0	0
Magekiller's	100	1	1	30		22	ass		15	22	125	ass		1	1											claw	tkni	asnx										0	0	0
Witch-hunter's	100	1	1	50		42	ass		28	18	125	ass		2	2											claw	tkni	asnx										0	0	0
Snowflake	100	1	1	15	30	18				20	137	cold-len		25	25	cold-min		15	30	cold-max		31	60	1	dblu	weap	circ											0	0	0
Snowflake	100	1	1	25	40	28				20	137	cold-len		25	25	cold-min		61	90	cold-max		91	127	1	dblu	weap	circ											0	0	0
