skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Fire Arrow	11	ama	fire arrow	4											poisonarrow																																																																															amazon_cast_poison		1												11						poisonarrow													1	3		rng		miss										A1	A1	A1				1																										1	30														1	1					1	7	4	1	1																																					5	damage synergy									1	10	10						5	128														pois	2	4	6	8	10	12	20	20	24	28	32	36	(skill('Immolation Arrow'.blvl)+skill('Freezing Arrow'.blvl)+skill('Ice Arrow'.blvl))*par8	10								1000	0
Multiple Shot	12	ama	multiple shot	4	8													multipleshotarrow	multipleshotbolt																																																																																									11	17						multipleshotarrow	multipleshotbolt											1	7		rng		miss										A1	A1	xx				1																										6	30														1	1					1	8	4	1	1											"(min(24,ln12)+blvl)/2"	# missiles	par3	activation frame	2+blvl/3	triggered							4	number of arrows to fire	1	additional arrows per level	1	Acivation frame of arrows.	12	Damage % per level							6	damage synergy									1								8	160	1	1	1	1	1	1	2	2	2	2	2	2	(100+(skill('Magic Arrow'.blvl)+skill('Tornado Shot'.blvl)+skill('Legendary Arrow'.blvl)+skill('Strafe'.blvl))*par8)*(100+stat('strength'.accr)+stat('dexterity'.accr))/100-100																							3000	0
Dodge	13	ama	dodge																																											dodge			passive_dodge	dm12+blvl	passive_avoid	dm12+blvl	passive_evade	dm12+blvl																																									amazon_dodge_1																																1	0		h2h												S1	S1	xx																														12	25					Avoid									0	0					0	8	0	0	1								1															1	min % dodge	25	max % dodge											0	dodge synergy									1								8																																					3000	0
Spearstorm	14	ama	spearstorm	6	11													spearstorm	spearstorm	spearstorm																																																																											amazon_jab_1		1												19						spearstorm	spearstorm	spearstorm										1	5		h2h		spea										A1	A1	A1			1	1		1	1								1															1	30														1	1					1	6	16	1	1											1+lvl/30	# of spears					min(100,skill('Lightning Strike'.blvl)*5)						3	Bolts to send out	5	Additional bolts per N levels											6	damage synergy									1	10		10*lvl+(skill('Lightning Strike'.blvl)+skill('Dance of Death'.blvl)+skill('Inferno Fury'.blvl)+skill('Fend'.blvl)+skill('Splintering Javelin'.blvl)+skill('Hailstorm'.blvl))*par8					8	26	1	1	1	1	1	1	2	2	2	2	2	2	(100+(skill('Splintering Javelin'.blvl)+skill('Dance of Death'.blvl)+skill('Hailstorm'.blvl)+skill('Fend'.blvl)+skill('Inferno Fury'.blvl)+skill('Lightning Strike'.blvl))*par8)*(100+stat('strength'.accr)/4+stat('dexterity'.accr)/4)/100-100	ltng																						8000	0
Pyre Javelin	15	ama	pyre javelin	4											pyrejavelin																																																																															weapon_throw_1		1												11						pyrejavelin													1	2		rng		thro										TH	TH	xx				1																										6	30					Splintering Javelin									1	1					1	6	16	1	1																																					5	damage synergy									1								8	128														fire	10	10	10	15	20	20	20	20	20	25	30	30	(skill('Splintering Javelin'.blvl)+skill('Frost Javelin'.blvl)+skill('Plague Javelin'.blvl)+skill('Lightning Fury'.blvl))*par8									3000	0
Exploding Arrow	16	ama	exploding arrow	4											explodingarrow																																																																																													11						explodingarrow													1	5		rng		miss										A1	A1	A1				1																										24	20					Cold Arrow									1	1					1	7	4	1	1																																					10	damage synergy									1	10		10*lvl+par8*(skill('Magic Arrow'.blvl)+skill('Cold Arrow'.blvl)+skill('Legendary Arrow'.blvl))					8	64														fire	1	1	2	4	6	8	2	2	4	6	8	10	par8*(skill('Cold Arrow'.blvl)+skill('Magic Arrow'.blvl)+skill('Legendary Arrow'.blvl))									8000	0
Slow Missiles	17	ama	slow missiles		6																		50563		slowmissiles	ln34	ln56	skill_handofathena	100-dm12	skill_missile_damage_scale	100-dm78																																																															amazon_handofathena											cast_slowmissiles																						1	8		none												SC	SC	xx					4															1							amazon_handofathena	cast_slowmissiles		12	25					Inner Sight									0	1					1	7	10	0	1																							25	% Velocity of missiles Min	75	% Velocity of missiles Max	300	Duration baseline	150	Duration per level	27	Radius baseline	0	Radius per level	0	Missile Damage Reduction Min	40	Missile Damage Reduction Max									1								8																																				512	8000	0
Avoid	18	ama	avoid																																											avoid			armorclass	(blvl<1)?(0):((edmn*(100+(skill('Dodge'.blvl)+skill('Evade'.blvl))*par8))/100)	damageresist	blvl																																																																											1	0		h2h												S1	S1	xx																														6	30														0	0					0	8	0	0	1								1																													10	def synergy									1								8																10	10	20	30	40	40																8000	0
Inferno Fury	19	ama	inferno fury	4											infernofury												16+lvl/7																																																																			weapon_throw_1															17					infernofury													1	4		rng		jave										TH	TH	xx				1																										12	25					Spearstorm									1	1					1	7	6	1	1											3+lvl/7																										5	damage synergy									1	10		5*lvl+(skill('Spearstorm'.blvl)+skill('Dance of Death'.blvl)+skill('Hailstorm'.blvl)+skill('Fend'.blvl)+skill('Splintering Javelin'.blvl)+skill('Lightning Strike'.blvl))*par8					8	32														fire	1	1	2	4	6	8	2	2	4	6	8	10	(skill('Spearstorm'.blvl)+skill('Dance of Death'.blvl)+skill('Hailstorm'.blvl)+skill('Fend'.blvl)+skill('Splintering Javelin'.blvl)+skill('Lightning Strike'.blvl))*par8								384	10000	0
Frost Javelin	20	ama	frost javelin	4											frostjav																																																																																													11						frostjav													1	6		rng		thro										TH	TH	xx				1																										24	20					Plague Javelin									1	1					1	6	24	1	1																							4	radius	0	radius per level	50	freeze frames	0	freeze frames per level			1	radius synergy	5	freeze synergy	5	damage synergy									1								8	128														cold	20	20	30	40	50	50	30	30	40	50	60	60	(skill('Splintering Javelin'.blvl)+skill('Pyre Javelin'.blvl)+skill('Plague Javelin'.blvl)+skill('Lightning Fury'.blvl))*par8	25	5	5	5					8000	0
Ice Arrow	21	ama	ice arrow	4											lightningarrow								42371				par3																																																																																	11						lightningarrow													1	6		rng		miss										A1	A1	A1				1																										30	20					Freezing Arrow									1	1					1	7	20	1	1											"(ln12+min(30,ln12))/2"	num targets											2	lightning spells from target	1	extra spells/level	10	Target search radius									4	damage synergy									1								8	128														ltng	1						30	20	26	32	38	44	(skill('Fire Arrow'.blvl)+skill('Immolation Arrow'.blvl)+skill('Freezing Arrow'.blvl))*par8									64000	0
Tornado Shot	22	ama	tornado shot	4	8													tornadoshotarrow	tornadoshotbolt																																																																																									11	17						tornadoshotarrow	tornadoshotbolt											1	4		rng		miss										A1	A1	xx				1																										18	25					Multiple Shot									1	1					1	8	10	1	1											1+lvl/15	# main projectiles											6	Damage increase	6	Damage increase per level											6	damage synergy									1								8	128	1	1	1	1	1	1	2	2	2	2	2	2	(100+(skill('Cold Arrow'.blvl)+skill('Multiple Shot'.blvl)+skill('Legendary Arrow'.blvl)+skill('Strafe'.blvl))*par8)*(100+stat('strength'.accr)+stat('dexterity'.accr))/100-100																							16000	0
Penetrate	23	ama	penetrate																																											penetrate			item_tohit_percent	ln12	item_fractionaltargetac	par3 + blvl																																																																											1	1		rng			miss											xx																														18	25														0	0					0	8	0	0	1								1															35	add % to hit with missiles base	10	add % to hit with missiles/level																					1								8																																					16000	0
Hailstorm	24	ama	hailstorm	4											rainofjavelins		1																																																																													weapon_throw_1															28					rainofjavelins													1	5		rng		jave										TH	TH	xx				1		1	1								1															24	20					Inferno Fury									1	1					1	7	4	1	1																																					5	damage synergy									1	10		5*lvl+(skill('Spearstorm'.blvl)+skill('Dance of Death'.blvl)+skill('Inferno Fury'.blvl)+skill('Fend'.blvl)+skill('Splintering Javelin'.blvl)+skill('Lightning Strike'.blvl))*par8					8	96														cold	1	1	2	4	6	8	2	2	4	6	8	10	(skill('Spearstorm'.blvl)+skill('Dance of Death'.blvl)+skill('Inferno Fury'.blvl)+skill('Fend'.blvl)+skill('Splintering Javelin'.blvl)+skill('Lightning Strike'.blvl))*par8									16000	0
Plague Javelin	25	ama	plague javelin	4											plaguejav																																																																															amazon_cast_poison		1												11						plaguejav													1	3		rng		thro										TH	TH	xx				1																										12	25					Pyre Javelin									1	1			1		1	7	14	1	1																																			10	length synergy	5	damage synergy									1								8	128														pois	1						6	3	4	6	8	8	(skill('Splintering Javelin'.blvl)+skill('Pyre Javelin'.blvl)+skill('Frost Javelin'.blvl)+skill('Lightning Fury'.blvl))*par8	10								16000	0
Strafe	26	ama	strafe	8	12													strafearrow	strafebolt								par5																																																																				amazon_dodge_1				paladin_charge									13	20						strafearrow	strafebolt											1	0		rng		miss										A1	A1	A1				1																										30	20					Legendary Arrow									1	1					1	8	11	0												5+lvl/10	#missiles	ln12+(skill('Magic Arrow'.blvl)+skill('Multiple Shot'.blvl)+skill('Tornado Shot'.blvl)+skill('Legendary Arrow'.blvl))*par8	damage %	5+lvl/10	min # missiles							12	Damage increase	12	Damage increase per level	4	Base Shots to take (+1 per level)	25	Max shots to take	35	Radius	15	% frame rollback			6	damage synergy									1	50		10*lvl					8	96																																				32000	0
Immolation Arrow	27	ama	immolation arrow	4											immolationarrow																																																																																													11						immolationarrow													1	6		rng		miss										A1	A1	A1				1																										6	30					Fire Arrow									1	1					1	7	4	1	1											1	missiles	par2	damage radius									2	Fire disc radius	3	Radial Damage Radius											5	damage synergy									1								8	128														fire	1	1	2	3	4	5	2	2	3	4	5	6	(skill('Fire Arrow'.blvl)+skill('Freezing Arrow'.blvl)+skill('Ice Arrow'.blvl))*par8									32000	0
Valkyrie Mastery	28	ama	valkyrie mastery																																											valkyriemastery																																																																																	1	0		none														xx																														30	20					Valkyrie									0	0					0	8	0	0	1	1							1															20	min % chance pierce	3	% chance pierce per level													0	chance to not consume min	66	chance to not consume max					1								8																																					64000	0
Evade	29	ama	evade		30																		3		stoned	ln34+skill('Inner Sight'.blvl)*par7	ln12+blvl/3	velocitypercent	ln56+skill('Slow Missiles'.blvl)*par8																																																																	amazon_eyeofzeus											warcry	warcry		18	30																		1	0		none												SC	SC	xx					4															1							amazon_eyeofzeus	warcry		1	30								1						0	1					1	8	4	0	1																							2	radius	0	radius per level	150	duration	5	duration/lvl	-50	slow	-3	slow/lvl	5	duration synergy	3	slow synergy									1								8																																					32000	0
Fend	30	ama	fend	37	13																																																																																										amazon_jab_1	1												53	21																		1	0		h2h		spea										A1	A1	A1	9		1	1		1	1								1															6	30					Spearstorm									1	1					1	8	4	0												min(6,2+lvl/12)	max targets	ln34+(skill('Spearstorm'.blvl)+skill('Dance of Death'.blvl)+skill('Hailstorm'.blvl)+skill('Splintering Javelin'.blvl)+skill('Inferno Fury'.blvl)+skill('Lightning Strike'.blvl))*par8	damage %									1	additional target/level		% frame rollback	0	% damage percent	15	damage % per level							6	damage % per level									1	10		10*lvl+(skill('Spearstorm'.blvl)+skill('Dance of Death'.blvl)+skill('Hailstorm'.blvl)+skill('Splintering Javelin'.blvl)+skill('Inferno Fury'.blvl)+skill('Lightning Strike'.blvl))*par8					8	128																																				32000	0
Freezing Arrow	31	ama	freezing arrow	4	8													freezingarrow																																																																																										11	17						freezingarrow												1	7		rng		miss										A1	A1	A1				1																										18	25					Immolation Arrow	Multiple Shot								1	1					1	7	18	1	1											"max(1, 1 + ((blvl<15)?0:1) + ((blvl<25)?0:1)	missiles											6	Radius of impact											5	length synergy	4	damage synergy									1	10	10						8	128														cold	6	6	8	10	12	12	30	20	24	28	32	32	(skill('Fire Arrow'.blvl)+skill('Immolation Arrow'.blvl)+skill('Ice Arrow'.blvl))*par8	25	1	1	1					64000	0
Valkyrie	32	ama	valkyrie		16																							strength	lvl * par2	dexterity	lvl * par4	fireresist	"min(lvl*2,75)"	lightresist	"min(lvl*2,75)"	coldresist	"min(lvl*2,75)"	poisonresist	"min(lvl*2,75)"										item_armor_percent	par3*(lvl-1)	tohit	toht	damagepercent	(100+(skill('Valkyrie Mastery'.lvl)*10))*(100+stat('passive_summ_mastery'.accr))/100-100																							valkyrie	valkyrie	1+skill('Valkyrie Mastery'.lvl)/20	NU	Dodge	skill('Dodge'.blvl)+stat('item_summskills'.accr)+skill('Valkyrie Mastery'.lvl)/10	Avoid	skill('Avoid'.blvl)+stat('item_summskills'.accr)+skill('Valkyrie Mastery'.lvl)/10	Critical Strike	skill('Critical Strike'.blvl)+stat('item_summskills'.accr)+skill('Valkyrie Mastery'.lvl)/10								amazon_valkyrie_cast																																	1	6		none												SC	SC	xx					4															1										18	25								1						0	1					1	8	30	0	1	1										par1*(lvl-1)+skill('Valkyrie Mastery'.lvl)*20	bonus hp%	"min(ln56+skill('Valkyrie Mastery'.lvl),99)"	itemlevel									20	% hitpoints more per level	25	str per level	10	% AC increase per level	12	dex per level	20	Magic Item level	1	Magic Item level per level	2	resistances	10	hp & ac synergy									1			40*lvl+40*skill('Penetrate'.blvl)					8																																					64000	0
Pierce	33	ama	pierce																																											pierce			skill_pierce	"min(100,ln12)"																																																																													1	0		rng		miss												xx																														30	20					Penetrate									0	0					0	8	0	0	1	1							1															20	min % chance pierce	3	% chance pierce per level													0	chance to not consume min	66	chance to not consume max					1								8																																					64000	0
Lightning Strike	34	ama	lightning strike	10	14													lightningstrike	lightningstrike	lightningstrike							par1																																																																																		22						lightningstrike	lightningstrike	lightningstrike										1	8		h2h		spea										A1	A1	A1				1		1	1								1															30	20					Hailstorm									1	1					1	7	6	1	1											par1	radius	5+lvl/2	hits									22	radius of jump to next target													5	damage synergy									1	10		10*lvl+(skill('Spearstorm'.blvl)+skill('Dance of Death'.blvl)+skill('Inferno Fury'.blvl)+skill('Fend'.blvl)+skill('Splintering Javelin'.blvl)+skill('Hailstorm'.blvl))*par8					8	128	1	1	1	1	1	1	2	2	2	2	2	2	stat('dexterity'.accr)+stat('strength'.accr)+(skill('Spearstorm'.blvl)+skill('Dance of Death'.blvl)+skill('Inferno Fury'.blvl)+skill('Fend'.blvl)+skill('Splintering Javelin'.blvl)+skill('Hailstorm'.blvl))*par8																							64000	0
Lightning Fury	35	ama	lightning fury	4											lightningfury								42371				16+lvl/7																																																																																	11						lightningfury													1	8		rng		thro										TH	TH	xx				1																										30	20					Frost Javelin									1	1					1	7	20	1	1											"(ln12+min(30,ln12))/2"	num targets											2	lightning spells from target	1	extra spells/level	15	Target search radius									5	damage synergy									1								8	128														ltng	1						20	15	20	25	30	30	(skill('Splintering Javelin'.blvl)+skill('Pyre Javelin'.blvl)+skill('Plague Javelin'.blvl)+skill('Frost Javelin'.blvl))*par8									64000	0
Fire Bolt	36	sor	fire bolt		8													firebolt	firebolt	firebolt																																																																										sorceress_cast_fire											fire_cast_1				17						firebolt	firebolt	firebolt										1	1		none												SC	SC	SC																				1							sorceress_cast_fire			1	30														1	1					1	6	10	1	1											1+blvl/15	# missiles	par3	activation frame									0	number of missiles	0	additional missiles/level	0	Acivation frame of teeth									7	damage synergy									1								8															fire	10	10	15	20	30	30	20	15	20	25	35	35	(skill('Fire Ball'.blvl)+skill('Rain of Fire'.blvl)+skill('Nova'.blvl))*par8									1000	0
Warmth	37	sor	warmth																																											warmth			manarecoverybonus	ln12																																																																													1	0		none												SC	SC	xx																														1	30														0	0					0	8	0	0	1	1							1															30	increase in mana recovery	12	additional increase/level																					1								8															cold																						1000	0
Charged Bolt	38	sor	charged bolt		17													chargedbolt	chargedbolt	chargedbolt																																																																										sorceress_cast_lightning											light_cast_1				23						chargedbolt												1	1		none												SC	SC	xx																				1							sorceress_cast_lightning			1	30														1	1					1	5	16	4	1											"min(30,ln12/2)"	# bolts											6	Bolts to send out (1/2)	1	Additional bolts per level (1/2)											7	damage synergy									1								8															ltng	1						10	10	15	25	35	35	(skill('Lightning'.blvl)+skill('Thunder Storm Sorc'.blvl)+skill('Hydra'.blvl)+skill('Chain Lightning'.blvl))*par8									1000	0
Ice Bolt	39	sor	ice bolt		8													icebolt	icebolt	icebolt																																																																										sorceress_cast_cold											ice_cast_1				17						icebolt	icebolt	icebolt										1	1		none												SC	SC	SC																				1							sorceress_cast_cold			1	30														1	1					1	6	12	1	1											1+blvl/15	# missiles	par3	activation frame									0	number of missiles	0	additional missiles/level	0	Acivation frame of teeth							7		7	damage synergy									1								8															cold	5	5	10	15	25	25	15	10	15	20	30	30	(skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par8	150	35	35	35	(skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par7				1000	0
